Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,39.37619,[33 52] ; [115  29],[54.93449782 30.06550218] ; [93.06550218 50.93449782],1
a5,1,8.4e-05,15.456348,[28 58] ; [86 59],[42.44155844 43.55844156] ; [71.55844156 73.44155844],1
a4,1,0.008288,6.970131,[10 76] ; [ 38 107],[17.87012987 68.12987013] ; [ 30.12987013 114.87012987],0
p3,1,0.008701,6.88316,[22 64] ; [62 83],[31.27272727 54.72727273] ; [52.72727273 92.27272727],0
s7,1,0.012032,6.306146,[19 65] ; [53 83],[27.49090909 56.50909091] ; [44.50909091 91.49090909],0
s6,1,0.017622,5.63336,[36 50] ; [83 60],[44.68995633 41.31004367] ; [74.31004367 68.68995633],0
r1,1,0.025174,5.011896,[45 41] ; [98 48],[53.00862069 32.99137931] ; [89.99137931 56.00862069],0
n6,1,0.033606,4.514615,[56 30] ; [113  32],[62.91774892 23.08225108] ; [106.08225108  38.91774892],0
v3,1,0.039987,4.218453,[13 70] ; [ 39 102],[19.26785714 63.73214286] ; [ 32.73214286 108.26785714],0
a3,1,0.048046,3.908361,[35 51] ; [78 66],[42.25217391 43.74782609] ; [70.74782609 73.25217391],0
p1,1,0.111908,2.527071,[ 3 82] ; [ 13 130],[ 5.96491228 79.03508772] ; [ 10.03508772 132.96491228],0
p5,1,0.136164,2.220779,[ 4 80] ; [ 15 129],[ 7. 77.] ; [ 12. 132.],0
p10,1,0.139389,2.184691,[49 35] ; [96 45],[54.13333333 29.86666667] ; [90.86666667 50.13333333],0
p2,1,0.163978,1.937157,[56 29] ; [108  37],[60.60869565 24.39130435] ; [103.39130435  41.60869565],0
s4,1,0.170427,1.879187,[20 66] ; [ 23 121],[16.07826087 69.92173913] ; [ 26.92173913 117.07826087],0
p12,1,0.177198,1.820969,[ 2 84] ; [  9 135],[ 4.11304348 81.88695652] ; [  6.88695652 137.11304348],0
n1,1,0.182273,1.778992,[ 8 22] ; [18 25],[10.68493151 19.31506849] ; [15.31506849 27.68493151],0
r4,1,0.197417,1.661382,[60 26] ; [113  33],[64.12931034 21.87068966] ; [108.87068966  37.12931034],0
a2,1,0.205048,1.606052,[ 1 85] ; [  6 140],[ 2.59482759 83.40517241] ; [  4.40517241 141.59482759],0
s3,1,0.206785,1.593794,[35 51] ; [70 72],[39.60526316 46.39473684] ; [65.39473684 76.60526316],0
d3,1,0.233463,1.41964,[35 49] ; [49 96],[30.81222707 53.18777293] ; [53.18777293 91.81222707],0
b3,1,0.240703,1.376471,[ 8 31] ; [24 54],[10.66666667 28.33333333] ; [21.33333333 56.66666667],0
b2,1,0.240703,1.376471,[ 8 31] ; [24 54],[10.66666667 28.33333333] ; [21.33333333 56.66666667],0
s5,1,0.245077,1.351149,[17 67] ; [ 38 102],[20.625 63.375] ; [ 34.375 105.625],0
b5,1,0.259177,1.273147,[49 37] ; [72 74],[44.85344828 41.14655172] ; [76.14655172 69.85344828],0
d2,1,0.30313,1.060372,[11 75] ; [ 26 119],[13.77489177 72.22510823] ; [ 23.22510823 121.77489177],0
p9,1,0.31679,1.002154,[54 30] ; [99 41],[57.375 26.625] ; [95.625 44.375],0
a8,1,0.337609,0.91949,[ 7 73] ; [ 18 120],[ 9.17431193 70.82568807] ; [ 15.82568807 122.17431193],0
d5,1,0.365551,0.818732,[39 46] ; [76 70],[42.31601732 42.68398268] ; [72.68398268 73.31601732],0
u3,1,0.381068,0.767253,[23 26] ; [26 41],[20.69827586 28.30172414] ; [28.30172414 38.69827586],0
a6,1,0.387379,0.747153,[46 40] ; [86 59],[49.14285714 36.85714286] ; [82.85714286 62.14285714],0
s1,1,0.393061,0.729453,[ 5 81] ; [  5 140],[ 3.72294372 82.27705628] ; [  6.27705628 138.72294372],0
b4,1,0.400647,0.706383,[44 42] ; [83 63],[47.07758621 38.92241379] ; [79.92241379 66.07758621],0
p11,1,0.453713,0.561359,[56 30] ; [102  44],[58.56896552 27.43103448] ; [99.43103448 46.56896552],0
p4,1,0.511364,0.431275,[34 51] ; [64 80],[36.37554585 48.62445415] ; [61.62445415 82.37554585],0
r2,1,0.552187,0.353414,[69 17] ; [120  24],[70.66956522 15.33043478] ; [118.33043478  25.66956522],0
d4,1,0.554655,0.349044,[44 42] ; [80 65],[46.16450216 39.83549784] ; [77.83549784 67.16450216],0
v2,1,0.585276,0.297782,[25 57] ; [47 91],[26.83636364 55.16363636] ; [45.16363636 92.83636364],0
p6,1,0.634323,0.226244,[21 65] ; [ 39 104],[22.53275109 63.46724891] ; [ 37.46724891 105.53275109],0
b1,1,0.671471,0.179886,[37 49] ; [67 79],[38.55172414 47.44827586] ; [65.44827586 80.55172414],0
u2,1,0.689386,0.159751,[25 25] ; [31 36],[23.93162393 26.06837607] ; [32.06837607 34.93162393],0
n3,1,0.695785,0.152894,[22  9] ; [28 14],[21.23287671  9.76712329] ; [28.76712329 13.23287671],0
s2,1,0.718773,0.129671,[30 56] ; [54 91],[31.27272727 54.72727273] ; [52.72727273 92.27272727],0
a7,1,0.724144,0.124556,[53 32] ; [87 58],[51.73913043 33.26086957] ; [88.26086957 56.73913043],0
s8,1,0.773211,0.083046,[21 65] ; [ 33 112],[20.1038961 65.8961039] ; [ 33.8961039 111.1038961],0
a1,1,0.844471,0.038486,[ 4 82] ; [  6 140],[ 3.70689655 82.29310345] ; [  6.29310345 139.70689655],0
n2,1,0.867276,0.027929,[22  9] ; [32 12],[22.32  8.68] ; [31.68 12.32],0
r3,1,0.895475,0.017261,[73 13] ; [124  21],[73.34199134 12.65800866] ; [123.65800866  21.34199134],0
p8,1,0.897658,0.016543,[37 48] ; [61 82],[36.53508772 48.46491228] ; [61.46491228 81.53508772],0
p7,1,0.945378,0.004694,[44 37] ; [77 66],[43.75446429 37.24553571] ; [77.24553571 65.75446429],0
v4,1,0.971863,0.001244,[74 11] ; [126  19],[73.91304348 11.08695652] ; [126.08695652  18.91304348],0
