Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.2e-05,16.383901,[90 54] ; [24 48],[76. 68.] ; [38. 34.],1
v2,1,7e-05,15.808091,[108  37] ; [34 38],[94.88479263 50.11520737] ; [47.11520737 24.88479263],1
n5,1,0.001795,9.748177,[132  17] ; [54 21],[123.72321429  25.27678571] ; [62.27678571 12.72321429],0
s5,1,0.00201,9.54027,[78 62] ; [24 48],[67.35849057 72.64150943] ; [34.64150943 37.35849057],0
n2,1,0.002414,9.204299,[19  2] ; [11 12],[14.31818182  6.68181818] ; [15.68181818  7.31818182],0
n4,1,0.026693,4.91054,[132  17] ; [58 17],[126.38392857  22.61607143] ; [63.61607143 11.38392857],0
n1,1,0.034621,4.463768,[14  7] ; [ 8 15],[10.5 10.5] ; [11.5 11.5],0
s2,1,0.047884,3.914057,[115  33] ; [49 26],[108.84304933  39.15695067] ; [55.15695067 19.84304933],0
b5,1,0.070855,3.263097,[91 59] ; [36 39],[84.66666667 65.33333333] ; [42.33333333 32.66666667],0
p10,1,0.072392,3.227942,[136  12] ; [63 12],[132.07174888  15.92825112] ; [66.92825112  8.07174888],0
r2,1,0.079098,3.083333,[146   2] ; [70  4],[144.   4.] ; [72.  2.],0
d5,1,0.100121,2.703616,[133  16] ; [61 14],[129.04464286  19.95535714] ; [64.95535714 10.04464286],0
p12,1,0.109407,2.562771,[ 26 122] ; [ 7 67],[ 22. 126.] ; [11. 63.],0
p6,1,0.112837,2.514024,[88 59] ; [36 38],[82.47963801 64.52036199] ; [41.52036199 32.47963801],0
a1,1,0.118474,2.437373,[ 12 138] ; [ 2 73],[  9.33333333 140.66666667] ; [ 4.66666667 70.33333333],0
b2,1,0.129345,2.300349,[56 54] ; [19 31],[51.5625 58.4375] ; [23.4375 26.5625],0
b3,1,0.129345,2.300349,[56 54] ; [19 31],[51.5625 58.4375] ; [23.4375 26.5625],0
p5,1,0.131289,2.277197,[ 37 112] ; [12 63],[ 32.59375 116.40625] ; [16.40625 58.59375],0
a8,1,0.136061,2.221951,[ 24 112] ; [ 7 64],[ 20.36714976 115.63285024] ; [10.63285024 60.36714976],0
u4,1,0.148915,2.083333,[  8 142] ; [ 1 74],[  6. 144.] ; [ 3. 72.],0
p9,1,0.176196,1.829417,[142   7] ; [68  7],[139.6875   9.3125] ; [70.3125  4.6875],0
p7,1,0.225822,1.466987,[120  27] ; [56 19],[116.54054054  30.45945946] ; [59.45945946 15.54054054],0
u3,1,0.253312,1.304945,[18  6] ; [8 6],[16.42105263  7.57894737] ; [9.57894737 4.42105263],0
d4,1,0.261118,1.262819,[133  16] ; [63 12],[130.375  18.625] ; [65.625  9.375],0
n6,1,0.291258,1.113799,[135  13] ; [65 10],[132.73542601  15.26457399] ; [67.26457399  7.73542601],0
a5,1,0.308969,1.035078,[128  22] ; [60 15],[125.33333333  24.66666667] ; [62.66666667 12.33333333],0
r3,1,0.380048,0.770548,[147   3] ; [72  3],[146.   4.] ; [73.  2.],0
d3,1,0.415294,0.663594,[106  44] ; [49 26],[103.33333333  46.66666667] ; [51.66666667 23.33333333],0
s7,1,0.42192,0.644962,[114  30] ; [52 18],[111.70093458  32.29906542] ; [54.29906542 15.70093458],0
u1,1,0.453116,0.562845,[ 37 113] ; [22 53],[ 39.33333333 110.66666667] ; [19.66666667 55.33333333],0
a2,1,0.466587,0.530048,[ 41 109] ; [24 51],[ 43.33333333 106.66666667] ; [21.66666667 53.33333333],0
b4,1,0.50407,0.446356,[89 61] ; [41 34],[86.66666667 63.33333333] ; [43.33333333 31.66666667],0
p8,1,0.524565,0.404909,[106  41] ; [51 24],[103.95945946  43.04054054] ; [53.04054054 21.95945946],0
r1,1,0.524863,0.404327,[127  23] ; [61 14],[125.33333333  24.66666667] ; [62.66666667 12.33333333],0
r4,1,0.529096,0.396127,[143   7] ; [70  5],[142.   8.] ; [71.  4.],0
a3,1,0.538919,0.377547,[126  23] ; [61 14],[124.38839286  24.61160714] ; [62.61160714 12.38839286],0
s4,1,0.564527,0.331927,[ 27 122] ; [16 59],[ 28.60267857 120.39732143] ; [14.39732143 60.60267857],0
d2,1,0.565711,0.329912,[86 64] ; [46 29],[88. 62.] ; [44. 31.],0
n3,1,0.601132,0.273292,[15  6] ; [18  5],[15.75  5.25] ; [17.25  5.75],0
d1,1,0.601358,0.272952,[109  41] ; [52 23],[107.33333333  42.66666667] ; [53.66666667 21.33333333],0
u2,1,0.640854,0.217627,[13 10] ; [9 5],[13.67567568  9.32432432] ; [8.32432432 5.67567568],0
s1,1,0.654505,0.200268,[  8 141] ; [ 3 72],[  7.31696429 141.68303571] ; [ 3.68303571 71.31696429],0
p11,1,0.699676,0.14881,[127  23] ; [62 13],[126.  24.] ; [63. 12.],0
a7,1,0.712721,0.135575,[101  48] ; [49 26],[99.77678571 49.22321429] ; [50.22321429 24.77678571],0
b1,1,0.77572,0.081169,[67 83] ; [32 43],[66. 84.] ; [33. 42.],0
a4,1,0.777124,0.080128,[73 77] ; [35 40],[72. 78.] ; [36. 39.],0
a6,1,0.893797,0.017823,[100  49] ; [51 24],[100.44196429  48.55803571] ; [50.55803571 24.44196429],0
s3,1,0.959778,0.002543,[109  39] ; [55 20],[108.84304933  39.15695067] ; [55.15695067 19.84304933],0
p1,1,0.970282,0.001388,[ 20 128] ; [10 65],[ 19.9103139 128.0896861] ; [10.0896861 64.9103139],0
s6,1,0.983279,0.000439,[123  24] ; [62 12],[123.05429864  23.94570136] ; [61.94570136 12.05429864],0
p2,1,0.987889,0.00023,[135  14] ; [68  7],[135.03125  13.96875] ; [67.96875  7.03125],0
p4,1,1.0,0.0,[122  28] ; [61 14],[122.  28.] ; [61. 14.],0
v4,1,1.0,0.0,[146   4] ; [73  2],[146.   4.] ; [73.  2.],0
