Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,43.705686,[30 48] ; [114  24],[52. 26.] ; [92. 46.],1
n6,1,1e-06,25.261359,[40 38] ; [115  23],[55.97222222 22.02777778] ; [99.02777778 38.97222222],1
p10,1,0.002516,9.128985,[34 43] ; [89 47],[44.46478873 32.53521127] ; [78.53521127 57.46478873],0
p9,1,0.002773,8.950844,[39 37] ; [97 38],[48.98578199 27.01421801] ; [87.01421801 47.98578199],0
n1,1,0.015535,5.854713,[ 7 24] ; [23 23],[12.07792208 18.92207792] ; [17.92207792 28.07792208],0
a5,1,0.016025,5.80009,[39 39] ; [92 46],[47.30555556 30.69444444] ; [83.69444444 54.30555556],0
p4,1,0.019206,5.482692,[16 62] ; [49 88],[23.58139535 54.41860465] ; [41.41860465 95.58139535],0
a1,1,0.027771,4.842242,[ 1 77] ; [ 12 126],[ 4.69444444 73.30555556] ; [  8.30555556 129.69444444],0
u1,1,0.028413,4.802823,[ 3 75] ; [ 18 120],[ 7.58333333 70.41666667] ; [ 13.41666667 124.58333333],0
n2,1,0.032815,4.555417,[14 16] ; [34 14],[18.46153846 11.53846154] ; [29.53846154 18.46153846],0
d4,1,0.04176,4.144905,[63 15] ; [93 44],[56.59534884 21.40465116] ; [99.40465116 37.59534884],0
a2,1,0.043834,4.062959,[ 8 70] ; [ 29 109],[13.36111111 64.63888889] ; [ 23.63888889 114.36111111],0
p11,1,0.043873,4.061431,[43 35] ; [95 43],[49.83333333 28.16666667] ; [88.16666667 49.83333333],0
p5,1,0.055474,3.667782,[ 1 77] ; [ 10 128],[ 3.97222222 74.02777778] ; [  7.02777778 130.97222222],0
a6,1,0.064571,3.415894,[47 31] ; [100  38],[53.08333333 24.91666667] ; [93.91666667 44.08333333],0
v2,1,0.070501,3.271308,[37 39] ; [47 84],[30.84057971 45.15942029] ; [53.15942029 77.84057971],0
u2,1,0.101964,2.674545,[18 13] ; [21 32],[14.39285714 16.60714286] ; [24.60714286 28.39285714],0
d2,1,0.115672,2.474969,[25 53] ; [58 77],[30.3943662 47.6056338] ; [52.6056338 82.3943662],0
s6,1,0.158673,1.986828,[22 56] ; [52 86],[26.72222222 51.27777778] ; [47.27777778 90.72222222],0
d5,1,0.169338,1.888793,[60 18] ; [94 44],[55.61111111 22.38888889] ; [98.38888889 39.61111111],0
a7,1,0.174909,1.840356,[55 23] ; [84 53],[50.42790698 27.57209302] ; [88.57209302 48.42790698],0
a8,1,0.180212,1.795876,[ 4 71] ; [ 14 115],[ 6.61764706 68.38235294] ; [ 11.38235294 117.61764706],0
p3,1,0.187156,1.739867,[13 64] ; [ 34 104],[16.83255814 60.16744186] ; [ 30.16744186 107.83255814],0
r3,1,0.236871,1.399118,[67 11] ; [108  28],[63.78504673 14.21495327] ; [111.21495327  24.78504673],0
d3,1,0.240552,1.377357,[51 27] ; [79 59],[46.94444444 31.05555556] ; [83.05555556 54.94444444],0
s8,1,0.250798,1.318852,[ 9 69] ; [ 24 114],[11.91666667 66.08333333] ; [ 21.08333333 116.91666667],0
u3,1,0.285447,1.140971,[16 15] ; [21 32],[13.6547619 17.3452381] ; [23.3452381 29.6547619],0
a4,1,0.321636,0.982281,[29 49] ; [60 76],[32.43925234 45.56074766] ; [56.56074766 79.43925234],0
r4,1,0.330146,0.948325,[51 27] ; [99 39],[54.16666667 23.83333333] ; [95.83333333 42.16666667],0
p8,1,0.352444,0.864638,[14 64] ; [ 32 105],[16.68837209 61.31162791] ; [ 29.31162791 107.68837209],0
r1,1,0.358916,0.841682,[54 24] ; [87 51],[50.91666667 27.08333333] ; [90.08333333 47.91666667],0
v4,1,0.372664,0.794764,[61 16] ; [116  22],[63.39069767 13.60930233] ; [113.60930233  24.39069767],0
s1,1,0.41073,0.676686,[ 4 74] ; [  4 133],[ 2.90232558 75.09767442] ; [  5.09767442 131.90232558],0
n3,1,0.435487,0.608144,[15 14] ; [28 18],[16.62666667 12.37333333] ; [26.37333333 19.62666667],0
p1,1,0.457547,0.551888,[ 5 72] ; [ 13 125],[ 6.44651163 70.55348837] ; [ 11.55348837 126.44651163],0
r2,1,0.512393,0.429176,[63 13] ; [119  19],[64.63551402 11.36448598] ; [117.36448598  20.63551402],0
b5,1,0.524376,0.405278,[47 31] ; [77 61],[44.77777778 33.22222222] ; [79.22222222 58.77777778],0
b2,1,0.530334,0.393751,[17 26] ; [35 42],[18.63333333 24.36666667] ; [33.36666667 43.63333333],0
b3,1,0.530334,0.393751,[17 26] ; [35 42],[18.63333333 24.36666667] ; [33.36666667 43.63333333],0
v1,1,0.540881,0.373909,[24 53] ; [48 88],[26.02816901 50.97183099] ; [45.97183099 90.02816901],0
s7,1,0.594369,0.283573,[13 60] ; [ 28 106],[14.4589372 58.5410628] ; [ 26.5410628 107.4589372],0
