Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000395,12.5545,[91 46] ; [81 12],[102.45217391  34.54782609] ; [69.54782609 23.45217391],1
s8,1,0.002983,8.818049,[47 89] ; [51 43],[57.94782609 78.05217391] ; [40.05217391 53.94782609],0
s5,1,0.006715,7.347539,[37 99] ; [41 51],[46.52631579 89.47368421] ; [31.47368421 60.52631579],0
n5,1,0.007563,7.134198,[89 48] ; [77 18],[98.02586207 38.97413793] ; [67.97413793 27.02586207],0
p4,1,0.007708,7.099992,[84 53] ; [74 21],[93.30172414 43.69827586] ; [64.69827586 30.30172414],0
p10,1,0.013698,6.07666,[99 38] ; [80 13],[106.62173913  30.37826087] ; [72.37826087 20.62173913],0
d4,1,0.018694,5.529899,[96 40] ; [79 15],[103.47826087  32.52173913] ; [71.52173913 22.47826087],0
r4,1,0.025091,5.017578,[115  22] ; [89  6],[120.46551724  16.53448276] ; [83.53448276 11.46551724],0
v3,1,0.02705,4.887648,[ 19 117] ; [24 70],[ 25.42608696 110.57391304] ; [17.57391304 76.42608696],0
a3,1,0.028374,4.805212,[83 54] ; [70 24],[90.74025974 46.25974026] ; [62.25974026 31.74025974],0
p9,1,0.02868,4.786741,[102  33] ; [82 12],[108.47161572  26.52838428] ; [75.52838428 18.47161572],0
u1,1,0.06311,3.45372,[ 12 125] ; [16 79],[ 16.53448276 120.46551724] ; [11.46551724 83.53448276],0
b2,1,0.069204,3.301803,[23 54] ; [29 36],[28.1971831 48.8028169] ; [23.8028169 41.1971831],0
b3,1,0.069204,3.301803,[23 54] ; [29 36],[28.1971831 48.8028169] ; [23.8028169 41.1971831],0
n2,1,0.082572,3.013527,[27 14] ; [15  2],[29.68965517 11.31034483] ; [12.31034483  4.68965517],0
r2,1,0.087621,2.91755,[119  16] ; [90  5],[122.67391304  12.32608696] ; [86.32608696  8.67391304],0
s1,1,0.102133,2.671916,[  7 129] ; [ 1 91],[  4.77192982 131.22807018] ; [ 3.22807018 88.77192982],0
a5,1,0.103046,2.657753,[87 50] ; [70 25],[92.7112069 44.2887931] ; [64.2887931 30.7112069],0
n1,1,0.14698,2.103317,[13 27] ; [9 8],[15.43859649 24.56140351] ; [ 6.56140351 10.43859649],0
s6,1,0.175765,1.833074,[87 46] ; [68 24],[91.62222222 41.37777778] ; [63.37777778 28.62222222],0
v4,1,0.178791,1.807646,[125  12] ; [91  4],[127.55172414   9.44827586] ; [88.44827586  6.55172414],0
p8,1,0.191614,1.705162,[84 51] ; [67 28],[88.63043478 46.36956522] ; [62.36956522 32.63043478],0
p12,1,0.208884,1.579142,[  6 130] ; [ 8 87],[  8.24242424 127.75757576] ; [ 5.75757576 89.24242424],0
d5,1,0.212741,1.552678,[98 37] ; [75 19],[101.98689956  33.01310044] ; [71.01310044 22.98689956],0
u3,1,0.216659,1.526361,[26 27] ; [16  9],[28.53846154 24.46153846] ; [13.46153846 11.53846154],0
