Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.6e-05,16.226054,[4 1] ; [ 2 28],[0.85714286 4.14285714] ; [ 5.14285714 24.85714286],1
p10,1,0.016395,5.76,[3 3] ; [ 3 27],[1. 5.] ; [ 5. 25.],0
p3,1,0.016395,5.76,[3 3] ; [ 3 27],[1. 5.] ; [ 5. 25.],0
p6,1,0.0173,5.665709,[2 4] ; [ 1 28],[0.51428571 5.48571429] ; [ 2.48571429 26.51428571],0
p11,1,0.038301,4.291626,[3 3] ; [ 4 26],[1.16666667 4.83333333] ; [ 5.83333333 24.16666667],0
v3,1,0.072998,3.214286,[3 3] ; [ 5 25],[1.33333333 4.66666667] ; [ 6.66666667 23.33333333],0
p2,1,0.121335,2.4,[3 3] ; [ 6 24],[1.5 4.5] ; [ 7.5 22.5],0
a3,1,0.154398,2.028257,[5 1] ; [15 14],[3.42857143 2.57142857] ; [16.57142857 12.42857143],0
d3,1,0.173617,1.851429,[4 2] ; [11 19],[2.5 3.5] ; [12.5 17.5],0
s8,1,0.193059,1.694118,[1 5] ; [ 1 29],[0.33333333 5.66666667] ; [ 1.66666667 28.33333333],0
v1,1,0.230139,1.44,[2 4] ; [ 4 26],[1. 5.] ; [ 5. 25.],0
s2,1,0.230139,1.44,[2 4] ; [ 4 26],[1. 5.] ; [ 5. 25.],0
v4,1,0.230139,1.44,[4 2] ; [12 18],[2.66666667 3.33333333] ; [13.33333333 16.66666667],0
b1,1,0.230139,1.44,[2 4] ; [18 12],[3.33333333 2.66666667] ; [16.66666667 13.33333333],0
s7,1,0.266716,1.23356,[2 4] ; [ 4 24],[1.05882353 4.94117647] ; [ 4.94117647 23.05882353],0
a5,1,0.295971,1.09226,[4 2] ; [13 17],[2.83333333 3.16666667] ; [14.16666667 15.83333333],0
r2,1,0.29751,1.08532,[4 1] ; [16 13],[2.94117647 2.05882353] ; [17.05882353 11.94117647],0
n4,1,0.342782,0.9,[3 3] ; [21  9],[4. 2.] ; [20. 10.],0
v2,1,0.346373,0.8867,[2 4] ; [ 5 25],[1.16666667 4.83333333] ; [ 5.83333333 24.16666667],0
r4,1,0.418492,0.654545,[1 5] ; [ 2 28],[0.5 5.5] ; [ 2.5 27.5],0
a7,1,0.437813,0.602007,[3 3] ; [10 20],[2.16666667 3.83333333] ; [10.83333333 19.16666667],0
b3,1,0.446248,0.580165,[1 3] ; [10 12],[1.69230769 2.30769231] ; [ 9.30769231 12.69230769],0
b2,1,0.446248,0.580165,[1 3] ; [10 12],[1.69230769 2.30769231] ; [ 9.30769231 12.69230769],0
r1,1,0.540818,0.374026,[3 3] ; [11 19],[2.33333333 3.66666667] ; [11.66666667 18.33333333],0
s4,1,0.605577,0.266667,[1 5] ; [ 8 22],[1.5 4.5] ; [ 7.5 22.5],0
s1,1,0.635256,0.225,[1 5] ; [ 3 27],[0.66666667 5.33333333] ; [ 3.33333333 26.66666667],0
b4,1,0.650147,0.205714,[3 3] ; [18 12],[3.5 2.5] ; [17.5 12.5],0
n1,1,0.682665,0.167142,[2 2] ; [ 7 11],[1.63636364 2.36363636] ; [ 7.36363636 10.63636364],0
s3,1,0.691579,0.157381,[1 5] ; [ 7 22],[1.37142857 4.62857143] ; [ 6.62857143 22.37142857],0
n3,1,0.748328,0.102941,[2 2] ; [ 7 10],[1.71428571 2.28571429] ; [7.28571429 9.71428571],0
b5,1,0.764177,0.09,[3 3] ; [13 17],[2.66666667 3.33333333] ; [13.33333333 16.66666667],0
d2,1,0.816921,0.053596,[3 3] ; [13 16],[2.74285714 3.25714286] ; [13.25714286 15.74285714],0
n2,1,0.840039,0.040741,[2 2] ; [ 8 10],[1.81818182 2.18181818] ; [8.18181818 9.81818182],0
s6,1,0.850618,0.035468,[1 5] ; [ 6 24],[1.16666667 4.83333333] ; [ 5.83333333 24.16666667],0
n5,1,0.871457,0.026182,[4 2] ; [21  9],[4.16666667 1.83333333] ; [20.83333333  9.16666667],0
a6,1,0.881316,0.022291,[3 3] ; [14 16],[2.83333333 3.16666667] ; [14.16666667 15.83333333],0
d4,1,0.881316,0.022291,[3 3] ; [16 14],[3.16666667 2.83333333] ; [15.83333333 14.16666667],0
d5,1,0.881316,0.022291,[3 3] ; [16 14],[3.16666667 2.83333333] ; [15.83333333 14.16666667],0
d1,1,1.0,0.0,[2 4] ; [10 20],[2. 4.] ; [10. 20.],0
