Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,6.1e-05,16.07184,[30 41] ; [25  4],[39.05 31.95] ; [15.95 13.05],1
b1,1,0.008697,6.884074,[31 45] ; [ 4 25],[25.33333333 50.66666667] ; [ 9.66666667 19.33333333],0
a7,1,0.011919,6.322896,[57 19] ; [28  1],[61.52380952 14.47619048] ; [23.47619048  5.52380952],0
v1,1,0.022751,5.187437,[28 47] ; [18 11],[33.17307692 41.82692308] ; [12.82692308 16.17307692],0
p9,1,0.066843,3.358894,[50 24] ; [24  4],[53.68627451 20.31372549] ; [20.31372549  7.68627451],0
p10,1,0.076689,3.133715,[48 27] ; [23  5],[51.69902913 23.30097087] ; [19.30097087  8.69902913],0
u2,1,0.083053,3.00412,[13 10] ; [8 1],[15.09375  7.90625] ; [5.90625 3.09375],0
n1,1,0.08599,2.947891,[10 21] ; [ 1 12],[ 7.75 23.25] ; [3.25 9.75],0
p5,1,0.08744,2.920878,[ 2 74] ; [ 3 25],[ 3.65384615 72.34615385] ; [ 1.34615385 26.65384615],0
p8,1,0.092573,2.829052,[29 46] ; [16 12],[32.76699029 42.23300971] ; [12.23300971 15.76699029],0
s3,1,0.142198,2.154011,[35 41] ; [18 11],[38.36190476 37.63809524] ; [14.63809524 14.36190476],0
a2,1,0.154,2.032173,[16 60] ; [10 19],[18.81904762 57.18095238] ; [ 7.18095238 21.81904762],0
s6,1,0.238427,1.38987,[45 30] ; [21  8],[47.59615385 27.40384615] ; [18.40384615 10.59615385],0
u1,1,0.240065,1.38021,[11 65] ; [ 7 22],[13.02857143 62.97142857] ; [ 4.97142857 24.02857143],0
a5,1,0.326597,0.962346,[53 23] ; [23  6],[55.00952381 20.99047619] ; [20.99047619  8.00952381],0
p4,1,0.357039,0.848281,[33 43] ; [15 13],[35.07692308 40.92307692] ; [12.92307692 15.07692308],0
p11,1,0.357404,0.846996,[45 31] ; [20  9],[47.04761905 28.95238095] ; [17.95238095 11.04761905],0
p7,1,0.392444,0.731356,[34 40] ; [15 12],[35.9009901 38.0990099] ; [13.0990099 13.9009901],0
v4,1,0.406097,0.6902,[69  6] ; [28  1],[69.95192308  5.04807692] ; [27.04807692  1.95192308],0
d3,1,0.41411,0.666969,[70  6] ; [28  1],[70.93333333  5.06666667] ; [27.06666667  1.93333333],0
b2,1,0.428252,0.62756,[15 29] ; [6 7],[16.21052632 27.78947368] ; [4.78947368 8.21052632],0
b3,1,0.428252,0.62756,[15 29] ; [6 7],[16.21052632 27.78947368] ; [4.78947368 8.21052632],0
s4,1,0.466799,0.529544,[21 55] ; [ 6 23],[19.54285714 56.45714286] ; [ 7.45714286 21.54285714],0
a1,1,0.474765,0.510865,[ 1 75] ; [ 1 28],[ 1.44761905 74.55238095] ; [ 0.55238095 28.44761905],0
u3,1,0.495868,0.463768,[18  5] ; [6 3],[17.25  5.75] ; [6.75 2.25],0
p2,1,0.522175,0.409595,[55 21] ; [22  6],[56.26923077 19.73076923] ; [20.73076923  7.26923077],0
p3,1,0.523255,0.407473,[27 48] ; [12 16],[28.39805825 46.60194175] ; [10.60194175 17.39805825],0
d2,1,0.532791,0.389065,[47 29] ; [16 13],[45.6 30.4] ; [17.4 11.6],0
s7,1,0.533936,0.386895,[21 48] ; [10 17],[22.28125 46.71875] ; [ 8.71875 18.28125],0
s8,1,0.537002,0.381125,[24 52] ; [11 18],[25.33333333 50.66666667] ; [ 9.66666667 19.33333333],0
n6,1,0.572048,0.319267,[47 29] ; [19  9],[48.23076923 27.76923077] ; [17.76923077 10.23076923],0
b5,1,0.581668,0.303546,[54 22] ; [19 10],[52.83809524 23.16190476] ; [20.16190476  8.83809524],0
r1,1,0.619214,0.246973,[56 19] ; [23  6],[56.97115385 18.02884615] ; [22.02884615  6.97115385],0
a6,1,0.622139,0.242872,[54 22] ; [22  7],[55.00952381 20.99047619] ; [20.99047619  8.00952381],0
n5,1,0.622139,0.242872,[22 54] ; [ 7 22],[20.99047619 55.00952381] ; [ 8.00952381 20.99047619],0
a4,1,0.666767,0.185407,[35 41] ; [12 17],[34.01904762 41.98095238] ; [12.98095238 16.01904762],0
r2,1,0.704906,0.143418,[69  7] ; [27  2],[69.48571429  6.51428571] ; [26.51428571  2.48571429],0
n3,1,0.707162,0.141128,[18 12] ; [7 6],[17.44186047 12.55813953] ; [7.55813953 5.44186047],0
p1,1,0.715356,0.132986,[ 4 72] ; [ 2 26],[ 4.38461538 71.61538462] ; [ 1.61538462 26.38461538],0
r3,1,0.747148,0.103943,[72  4] ; [27  2],[71.65714286  4.34285714] ; [27.34285714  1.65714286],0
r4,1,0.770931,0.084772,[61 15] ; [24  5],[61.52380952 14.47619048] ; [23.47619048  5.52380952],0
s1,1,0.822294,0.050443,[ 2 74] ; [ 1 28],[ 2.17142857 73.82857143] ; [ 0.82857143 28.17142857],0
s5,1,0.830915,0.045594,[27 46] ; [11 17],[27.46534653 45.53465347] ; [10.53465347 17.46534653],0
b4,1,0.858554,0.03176,[46 30] ; [17 12],[45.6 30.4] ; [17.4 11.6],0
n2,1,0.864188,0.029257,[17 13] ; [7 6],[16.74418605 13.25581395] ; [7.25581395 5.74418605],0
a3,1,0.938805,0.005894,[53 23] ; [20  9],[52.83809524 23.16190476] ; [20.16190476  8.83809524],0
p6,1,0.943559,0.005012,[18 56] ; [ 7 21],[18.1372549 55.8627451] ; [ 6.8627451 21.1372549],0
s2,1,0.979856,0.000638,[36 39] ; [14 15],[36.05769231 38.94230769] ; [13.94230769 15.05769231],0
