Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.1e-05,18.100746,[54 12] ; [13 20],[44.66666667 21.33333333] ; [22.33333333 10.66666667],1
s8,1,0.000614,11.733333,[44 22] ; [10 23],[36. 30.] ; [18. 15.],1
s3,1,0.007307,7.195926,[53 13] ; [18 15],[47.33333333 18.66666667] ; [23.66666667  9.33333333],0
s5,1,0.009583,6.710843,[40 21] ; [12 20],[34.10752688 26.89247312] ; [17.89247312 14.10752688],0
a3,1,0.015051,5.910448,[50 16] ; [17 16],[44.66666667 21.33333333] ; [22.33333333 10.66666667],0
s6,1,0.020337,5.382762,[59  5] ; [24  8],[55.33333333  8.66666667] ; [27.66666667  4.33333333],0
n2,1,0.027159,4.880672,[16  1] ; [4 3],[14.16666667  2.83333333] ; [5.83333333 1.16666667],0
v3,1,0.12273,2.382134,[25 40] ; [ 7 24],[21.66666667 43.33333333] ; [10.33333333 20.66666667],0
p8,1,0.134251,2.242649,[49 17] ; [19 13],[45.79591837 20.20408163] ; [22.20408163  9.79591837],0
u2,1,0.154044,2.031746,[9 7] ; [ 5 11],[7. 9.] ; [7. 9.],0
p12,1,0.192306,1.699863,[ 7 59] ; [ 1 32],[ 5.33333333 60.66666667] ; [ 2.66666667 30.33333333],0
r3,1,0.194247,1.685106,[64  2] ; [30  3],[62.66666667  3.33333333] ; [31.33333333  1.66666667],0
a7,1,0.218297,1.515533,[39 27] ; [23  9],[41.75510204 24.24489796] ; [20.24489796 11.75510204],0
d1,1,0.246616,1.342373,[42 24] ; [17 16],[39.33333333 26.66666667] ; [19.66666667 13.33333333],0
b1,1,0.248412,1.332212,[30 36] ; [11 22],[27.33333333 38.66666667] ; [13.66666667 19.33333333],0
p6,1,0.251381,1.315615,[40 26] ; [16 17],[37.33333333 28.66666667] ; [18.66666667 14.33333333],0
p1,1,0.258195,1.278409,[ 9 57] ; [ 2 31],[ 7.33333333 58.66666667] ; [ 3.66666667 29.33333333],0
a5,1,0.274358,1.194828,[49 17] ; [21 12],[46.66666667 19.33333333] ; [23.33333333  9.66666667],0
p11,1,0.296934,1.087912,[54 12] ; [24  9],[52. 14.] ; [26.  7.],0
r2,1,0.296934,1.087912,[62  4] ; [29  4],[60.66666667  5.33333333] ; [30.33333333  2.66666667],0
v1,1,0.31609,1.005057,[36 30] ; [14 18],[33.67346939 32.32653061] ; [16.32653061 15.67346939],0
r1,1,0.319742,0.99,[52 14] ; [23 10],[50. 16.] ; [25.  8.],0
p9,1,0.365712,0.818182,[60  6] ; [28  5],[58.66666667  7.33333333] ; [29.33333333  3.66666667],0
b4,1,0.391805,0.733333,[34 32] ; [20 13],[36. 30.] ; [18. 15.],0
d5,1,0.409767,0.679477,[56 10] ; [25  7],[54.55102041 11.44897959] ; [26.44897959  5.55102041],0
p3,1,0.454278,0.559955,[45 21] ; [20 13],[43.33333333 22.66666667] ; [21.66666667 11.33333333],0
d3,1,0.461218,0.542937,[50 16] ; [22 10],[48.48979592 17.51020408] ; [23.51020408  8.48979592],0
u1,1,0.470393,0.521053,[14 52] ; [ 5 28],[12.66666667 53.33333333] ; [ 6.33333333 26.66666667],0
a4,1,0.470673,0.520395,[29 37] ; [12 21],[27.33333333 38.66666667] ; [13.66666667 19.33333333],0
u3,1,0.476033,0.507937,[10  6] ; [8 8],[9. 7.] ; [9. 7.],0
d2,1,0.476727,0.506342,[33 33] ; [14 19],[31.33333333 34.66666667] ; [15.66666667 17.33333333],0
n6,1,0.509682,0.434721,[57  9] ; [26  6],[55.89795918 10.10204082] ; [27.10204082  4.89795918],0
b3,1,0.50986,0.434354,[10 31] ; [ 3 15],[ 9.03389831 31.96610169] ; [ 3.96610169 14.03389831],0
b2,1,0.50986,0.434354,[10 31] ; [ 3 15],[ 9.03389831 31.96610169] ; [ 3.96610169 14.03389831],0
p5,1,0.513601,0.426724,[ 9 57] ; [ 3 30],[ 8. 58.] ; [ 4. 29.],0
v4,1,0.516301,0.421277,[62  4] ; [32  1],[62.66666667  3.33333333] ; [31.33333333  1.66666667],0
n4,1,0.54333,0.369403,[46 20] ; [21 12],[44.66666667 21.33333333] ; [22.33333333 10.66666667],0
n1,1,0.562069,0.336134,[ 7 10] ; [2 5],[ 6.375 10.625] ; [2.625 4.375],0
d4,1,0.602008,0.271978,[53 13] ; [25  8],[52. 14.] ; [26.  7.],0
p2,1,0.651077,0.204545,[58  8] ; [30  3],[58.66666667  7.33333333] ; [29.33333333  3.66666667],0
s1,1,0.718159,0.130263,[ 3 63] ; [ 1 32],[ 2.66666667 63.33333333] ; [ 1.33333333 31.66666667],0
n5,1,0.746705,0.10432,[48 18] ; [25  8],[48.66666667 17.33333333] ; [24.33333333  8.66666667],0
b5,1,0.774303,0.082226,[38 28] ; [18 15],[37.33333333 28.66666667] ; [18.66666667 14.33333333],0
v2,1,0.827217,0.047643,[32 33] ; [16 15],[32.5 32.5] ; [15.5 15.5],0
r4,1,0.838391,0.041597,[57  9] ; [28  5],[56.66666667  9.33333333] ; [28.33333333  4.66666667],0
n3,1,0.840825,0.040336,[14  3] ; [6 1],[14.16666667  2.83333333] ; [5.83333333 1.16666667],0
p4,1,1.0,0.0,[48 18] ; [24  9],[48. 18.] ; [24.  9.],0
a2,1,1.0,0.0,[14 52] ; [ 7 26],[14. 52.] ; [ 7. 26.],0
a6,1,1.0,0.0,[42 24] ; [21 12],[42. 24.] ; [21. 12.],0
p10,1,1.0,0.0,[58  8] ; [29  4],[58.  8.] ; [29.  4.],0
