Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,125.248286,[15 49] ; [237  28],[49.0212766 14.9787234] ; [202.9787234  62.0212766],1
p11,1,0.0,34.080655,[33 31] ; [226  40],[50.23030303 13.76969697] ; [208.76969697  57.23030303],1
v4,1,0.0,27.770839,[51 12] ; [260   6],[59.55319149  3.44680851] ; [251.44680851  14.55319149],1
p2,1,0.0,26.245357,[36 28] ; [223  39],[50.84662577 13.15337423] ; [208.15337423  53.84662577],1
r4,1,1e-06,24.327558,[45 19] ; [246  20],[56.43636364  7.56363636] ; [234.56363636  31.43636364],1
r3,1,4e-06,21.194727,[53 11] ; [259   7],[60.50909091  3.49090909] ; [251.49090909  14.50909091],1
p7,1,0.000195,13.883422,[24 39] ; [166  94],[37.05882353 25.94117647] ; [152.94117647 107.05882353],1
n5,1,0.00033,12.892674,[35 29] ; [204  61],[46.49240122 17.50759878] ; [192.50759878  72.49240122],1
n6,1,0.000395,12.556937,[42 21] ; [228  38],[51.70212766 11.29787234] ; [218.29787234  47.70212766],1
n4,1,0.000534,11.994328,[41 23] ; [222  44],[51.00606061 12.99393939] ; [211.99393939  54.00606061],1
b1,1,0.000591,11.804218,[36 28] ; [ 88 178],[24.04848485 39.95151515] ; [ 99.95151515 166.04848485],1
s8,1,0.001086,10.674744,[14 50] ; [117 148],[25.48328267 38.51671733] ; [105.51671733 159.48328267],0
r2,1,0.001287,10.361468,[54  8] ; [254   8],[58.9382716  3.0617284] ; [249.0617284  12.9382716],0
p4,1,0.002127,9.436837,[26 37] ; [165  99],[36.79816514 26.20183486] ; [154.20183486 109.79816514],0
p6,1,0.002192,9.381499,[10 52] ; [ 95 166],[20.15479876 41.84520124] ; [ 84.84520124 176.15479876],0
v3,1,0.002887,8.87743,[15 47] ; [112 137],[25.31832797 36.68167203] ; [101.68167203 147.31832797],0
n3,1,0.002947,8.839812,[ 8 14] ; [44 17],[13.78313253  8.21686747] ; [38.21686747 22.78313253],0
p3,1,0.004024,8.273157,[18 44] ; [130 134],[28.14723926 33.85276074] ; [119.85276074 144.14723926],0
r1,1,0.008095,7.012362,[46 18] ; [228  38],[53.13939394 10.86060606] ; [220.86060606  45.13939394],0
v2,1,0.008148,7.000674,[28 35] ; [160  95],[37.24528302 25.75471698] ; [150.75471698 104.24528302],0
v1,1,0.008618,6.900285,[22 42] ; [136 122],[31.40372671 32.59627329] ; [126.59627329 131.40372671],0
s6,1,0.012307,6.266082,[28 36] ; [161 103],[36.87804878 27.12195122] ; [152.12195122 111.87804878],0
n2,1,0.017386,5.657029,[ 8 14] ; [40 21],[12.72289157  9.27710843] ; [35.27710843 25.72289157],0
d5,1,0.027122,4.883005,[60  4] ; [261   4],[62.443769  1.556231] ; [258.556231   6.443769],0
a5,1,0.030925,4.657102,[45 19] ; [219  47],[51.2 12.8] ; [212.8  53.2],0
a3,1,0.039971,4.219127,[43 21] ; [210  55],[49.21580547 14.78419453] ; [203.78419453  61.21580547],0
s3,1,0.060524,3.522969,[24 40] ; [133 130],[30.72782875 33.27217125] ; [126.27217125 136.72782875],0
s7,1,0.062351,3.473708,[19 40] ; [117 140],[25.39240506 33.60759494] ; [110.60759494 146.39240506],0
p8,1,0.088885,2.89446,[26 38] ; [137 124],[32.09846154 31.90153846] ; [130.90153846 130.09846154],0
s2,1,0.089354,2.885965,[21 42] ; [120 146],[27. 36.] ; [114. 152.],0
p1,1,0.096753,2.758273,[ 7 57] ; [ 14 251],[ 4.08510638 59.91489362] ; [ 16.91489362 248.08510638],0
a8,1,0.10614,2.61077,[ 4 53] ; [ 36 201],[ 7.75510204 49.24489796] ; [ 32.24489796 204.75510204],0
n1,1,0.117577,2.449309,[ 4 19] ; [21 39],[ 6.92771084 16.07228916] ; [18.07228916 41.92771084],0
u3,1,0.15676,2.005208,[15  6] ; [30 26],[12.27272727  8.72727273] ; [32.72727273 23.27272727],0
a6,1,0.170115,1.881933,[44 20] ; [204  61],[48.24316109 15.75683891] ; [199.75683891  65.24316109],0
d2,1,0.229642,1.443078,[49 14] ; [186  79],[45.13719512 17.86280488] ; [189.86280488  75.13719512],0
d4,1,0.2343,1.414567,[61  2] ; [262   3],[62.03963415  0.96036585] ; [260.96036585   4.03963415],0
a4,1,0.264376,1.245697,[31 32] ; [151 114],[34.95731707 28.04268293] ; [147.04268293 117.95731707],0
p5,1,0.303161,1.060236,[ 2 62] ; [ 17 245],[ 3.73006135 60.26993865] ; [ 15.26993865 246.73006135],0
b4,1,0.306255,1.046758,[42 22] ; [156 110],[38.4 25.6] ; [159.6 106.4],0
u4,1,0.323555,0.974523,[ 1 63] ; [ 11 255],[ 2.32727273 61.67272727] ; [  9.67272727 256.32727273],0
a7,1,0.333051,0.936997,[48 16] ; [214  52],[50.81212121 13.18787879] ; [211.18787879  54.81212121],0
s4,1,0.349738,0.874408,[ 9 54] ; [ 27 238],[ 6.91463415 56.08536585] ; [ 29.08536585 235.91463415],0
b5,1,0.365508,0.818881,[38 26] ; [174  92],[41.11515152 22.88484848] ; [170.88484848  95.11515152],0
s1,1,0.51256,0.428837,[ 3 61] ; [  8 255],[ 2.1529052 61.8470948] ; [  8.8470948 254.1529052],0
a1,1,0.560955,0.338054,[ 4 60] ; [ 12 254],[ 3.1030303 60.8969697] ; [ 12.8969697 253.1030303],0
a2,1,0.563763,0.333231,[19 45] ; [ 89 177],[20.94545455 43.05454545] ; [ 87.05454545 178.94545455],0
u1,1,0.622546,0.242305,[14 50] ; [ 66 200],[15.51515152 48.48484848] ; [ 64.48484848 201.51515152],0
u2,1,0.667696,0.184309,[12  9] ; [35 21],[12.81818182  8.18181818] ; [34.18181818 21.81818182],0
b2,1,0.670678,0.18081,[14 28] ; [ 59 101],[15.17821782 26.82178218] ; [ 57.82178218 102.17821782],0
b3,1,0.670678,0.18081,[14 28] ; [ 59 101],[15.17821782 26.82178218] ; [ 57.82178218 102.17821782],0
d3,1,0.930594,0.007586,[57  7] ; [235  30],[56.80243161  7.19756839] ; [235.19756839  29.80243161],0
