Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,69.86638,[247   8] ; [3 6],[241.47727273  13.52272727] ; [8.52272727 0.47727273],1
v4,1,0.0,28.992634,[249   5] ; [6 3],[246.27376426   7.72623574] ; [8.72623574 0.27376426],1
r1,1,5e-06,20.662002,[223  32] ; [3 6],[218.29545455  36.70454545] ; [7.70454545 1.29545455],1
n6,1,2.5e-05,17.788729,[227  25] ; [4 5],[223.03448276  28.96551724] ; [7.96551724 1.03448276],1
d1,1,0.007861,7.064955,[167  88] ; [2 7],[163.23863636  91.76136364] ; [5.76136364 3.23863636],0
p9,1,0.035242,4.433401,[227  27] ; [6 3],[225.02661597  28.97338403] ; [7.97338403 1.02661597],0
a7,1,0.058082,3.591326,[186  68] ; [4 5],[183.49809886  70.50190114] ; [6.50190114 2.49809886],0
p12,1,0.090758,2.860876,[ 34 220] ; [3 6],[ 35.7338403 218.2661597] ; [1.2661597 7.7338403],0
s5,1,0.106789,2.601111,[120 122] ; [2 7],[117.62549801 124.37450199] ; [4.37450199 4.62549801],0
s4,1,0.109055,2.56786,[ 55 198] ; [4 5],[ 56.97328244 196.02671756] ; [2.02671756 6.97328244],0
v1,1,0.112328,2.521165,[149 100] ; [3 6],[146.69767442 102.30232558] ; [5.30232558 3.69767442],0
b4,1,0.115618,2.475698,[152 103] ; [3 6],[149.71590909 105.28409091] ; [5.28409091 3.71590909],0
b1,1,0.134321,2.24184,[106 149] ; [6 3],[108.18181818 146.81818182] ; [3.81818182 5.18181818],0
b3,1,0.16657,1.913549,[63 93] ; [1 6],[61.25153374 94.74846626] ; [2.74846626 4.25153374],0
b2,1,0.16657,1.913549,[63 93] ; [1 6],[61.25153374 94.74846626] ; [2.74846626 4.25153374],0
a5,1,0.170463,1.878867,[193  62] ; [5 4],[191.25  63.75] ; [6.75 2.25],0
a8,1,0.181527,1.785077,[ 39 200] ; [3 6],[ 40.47580645 198.52419355] ; [1.52419355 7.47580645],0
n5,1,0.200457,1.639044,[212  43] ; [6 3],[210.56818182  44.43181818] ; [7.43181818 1.56818182],0
a3,1,0.206392,1.596553,[189  65] ; [5 4],[187.36121673  66.63878327] ; [6.63878327 2.36121673],0
s7,1,0.219414,1.5082,[175  74] ; [4 4],[173.42801556  75.57198444] ; [5.57198444 2.42801556],0
d3,1,0.255278,1.294188,[185  69] ; [5 4],[183.49809886  70.50190114] ; [6.50190114 2.49809886],0
n4,1,0.262135,1.257447,[208  47] ; [6 3],[206.70454545  48.29545455] ; [7.29545455 1.70454545],0
d2,1,0.28202,1.15733,[131 123] ; [3 6],[129.41444867 124.58555133] ; [4.58555133 4.41444867],0
d5,1,0.284944,1.143355,[205  48] ; [6 3],[203.7519084  49.2480916] ; [7.2480916 1.7519084],0
p4,1,0.335681,0.926857,[190  64] ; [8 1],[191.2243346  62.7756654] ; [6.7756654 2.2243346],0
s2,1,0.347457,0.882724,[203  52] ; [6 3],[201.875  53.125] ; [7.125 1.875],0
v3,1,0.368,0.810408,[121 128] ; [3 6],[119.6744186 129.3255814] ; [4.3255814 4.6744186],0
d4,1,0.400974,0.705403,[221  32] ; [7 2],[220.16793893  32.83206107] ; [7.83206107 1.16793893],0
p6,1,0.404986,0.693471,[133 120] ; [6 3],[134.22519084 118.77480916] ; [4.77480916 4.22519084],0
a6,1,0.409619,0.679906,[163  90] ; [7 2],[164.16030534  88.83969466] ; [5.83969466 3.16030534],0
p10,1,0.423037,0.641862,[221  33] ; [7 2],[220.19771863  33.80228137] ; [7.80228137 1.19771863],0
u3,1,0.477148,0.505375,[37 28] ; [3 1],[37.68115942 27.31884058] ; [2.31884058 1.68115942],0
p5,1,0.506805,0.440658,[ 51 203] ; [1 8],[ 50.22053232 203.77946768] ; [1.77946768 7.22053232],0
p2,1,0.520832,0.412246,[239  15] ; [8 1],[238.54752852  15.45247148] ; [8.45247148 0.54752852],0
s8,1,0.533475,0.387768,[166  87] ; [5 4],[165.1259542  87.8740458] ; [5.8740458 3.1259542],0
a1,1,0.603144,0.27028,[ 17 238] ; [1 8],[ 17.38636364 237.61363636] ; [0.61363636 8.38636364],0
p7,1,0.686324,0.163094,[208  40] ; [8 1],[208.43579767  39.56420233] ; [7.56420233 1.43579767],0
n3,1,0.730579,0.118581,[23 14] ; [1 1],[22.76923077 14.23076923] ; [1.23076923 0.76923077],0
p11,1,0.730865,0.118319,[216  39] ; [8 1],[216.36363636  38.63636364] ; [7.63636364 1.36363636],0
v2,1,0.831398,0.04533,[146 101] ; [5 4],[145.69140625 101.30859375] ; [5.30859375 3.69140625],0
b5,1,0.895501,0.017252,[136 119] ; [5 4],[136.19318182 118.80681818] ; [4.80681818 4.19318182],0
p3,1,0.967291,0.001681,[167  86] ; [6 3],[167.05725191  85.94274809] ; [5.94274809 3.05725191],0
