Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5.5e-05,16.268908,[ 3 31] ; [9 5],[ 8.5 25.5] ; [ 3.5 10.5],1
s2,1,0.000198,13.851695,[ 4 30] ; [9 5],[ 9.20833333 24.79166667] ; [ 3.79166667 10.20833333],1
s3,1,0.00022,13.653121,[ 6 26] ; [10  3],[11.37777778 20.62222222] ; [4.62222222 8.37777778],1
p6,1,0.001409,10.194427,[ 3 31] ; [7 7],[ 7.08333333 26.91666667] ; [ 2.91666667 11.08333333],0
s4,1,0.007774,7.084824,[ 2 32] ; [5 9],[ 4.95833333 29.04166667] ; [ 2.04166667 11.95833333],0
p5,1,0.034437,4.472882,[ 2 31] ; [ 4 10],[ 4.21276596 28.78723404] ; [ 1.78723404 12.21276596],0
p11,1,0.04138,4.160384,[11 23] ; [9 5],[14.16666667 19.83333333] ; [5.83333333 8.16666667],0
p2,1,0.044517,4.036828,[13 20] ; [10  4],[16.14893617 16.85106383] ; [6.85106383 7.14893617],0
b5,1,0.056738,3.630252,[14 20] ; [10  4],[17. 17.] ; [7. 7.],0
a7,1,0.056738,3.630252,[14 20] ; [10  4],[17. 17.] ; [7. 7.],0
p10,1,0.068002,3.330612,[17 17] ; [11  3],[19.83333333 14.16666667] ; [8.16666667 5.83333333],0
n1,1,0.068504,3.318519,[ 8 10] ; [8 2],[10.28571429  7.71428571] ; [5.71428571 4.28571429],0
s6,1,0.071259,3.253782,[10 24] ; [8 6],[12.75 21.25] ; [5.25 8.75],0
n6,1,0.08389,2.987888,[17 16] ; [11  3],[19.65957447 13.34042553] ; [8.34042553 5.65957447],0
p8,1,0.110415,2.548277,[11 23] ; [8 6],[13.45833333 20.54166667] ; [5.54166667 8.45833333],0
p4,1,0.115995,2.470588,[ 9 25] ; [7 7],[11.33333333 22.66666667] ; [4.66666667 9.33333333],0
n5,1,0.133953,2.246086,[25  9] ; [13  1],[26.91666667  7.08333333] ; [11.08333333  2.91666667],0
a5,1,0.139983,2.178151,[19 15] ; [11  3],[21.25 12.75] ; [8.75 5.25],0
d3,1,0.145194,2.122031,[14 20] ; [9 5],[16.29166667 17.70833333] ; [6.70833333 7.29166667],0
n3,1,0.147758,2.095249,[ 7 10] ; [7 3],[8.81481481 8.18518519] ; [5.18518519 4.81481481],0
