Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000725,11.425207,[18 51] ; [16  9],[24.95744681 44.04255319] ; [ 9.04255319 15.95744681],1
p10,1,0.001323,10.310536,[25 44] ; [19  7],[31.95789474 37.04210526] ; [12.04210526 13.95789474],0
p6,1,0.001582,9.980036,[ 6 62] ; [ 9 16],[10.96774194 57.03225806] ; [ 4.03225806 20.96774194],0
p9,1,0.002412,9.206529,[29 40] ; [20  6],[35.58947368 33.41052632] ; [13.41052632 12.58947368],0
p11,1,0.002635,9.04464,[27 43] ; [19  7],[33.54166667 36.45833333] ; [12.45833333 13.54166667],0
v2,1,0.003462,8.546615,[17 50] ; [14 10],[22.82417582 44.17582418] ; [ 8.17582418 15.82417582],0
p3,1,0.004021,8.274295,[12 57] ; [12 14],[17.43157895 51.56842105] ; [ 6.56842105 19.43157895],0
p4,1,0.00703,7.265329,[13 56] ; [12 14],[18.15789474 50.84210526] ; [ 6.84210526 19.15789474],0
r4,1,0.00929,6.76617,[36 34] ; [21  5],[41.5625 28.4375] ; [15.4375 10.5625],0
r3,1,0.053878,3.716469,[45 25] ; [22  4],[48.85416667 21.14583333] ; [18.14583333  7.85416667],0
a7,1,0.057774,3.600151,[39 31] ; [20  6],[43.02083333 26.97916667] ; [15.97916667 10.02083333],0
p2,1,0.062126,3.479692,[33 36] ; [18  8],[37.04210526 31.95789474] ; [13.95789474 12.04210526],0
r1,1,0.07524,3.164835,[40 30] ; [20  6],[43.75 26.25] ; [16.25  9.75],0
v4,1,0.077171,3.123505,[45 23] ; [22  4],[48.46808511 19.53191489] ; [18.53191489  7.46808511],0
s3,1,0.135782,2.225121,[25 44] ; [ 5 20],[22.0212766 46.9787234] ; [ 7.9787234 17.0212766],0
n5,1,0.16953,1.887098,[32 37] ; [ 8 18],[29.05263158 39.94736842] ; [10.94736842 15.05263158],0
d5,1,0.193876,1.687912,[44 26] ; [20  6],[46.66666667 23.33333333] ; [17.33333333  8.66666667],0
b5,1,0.221718,1.493217,[36 34] ; [17  9],[38.64583333 31.35416667] ; [14.35416667 11.64583333],0
v3,1,0.222026,1.491226,[14 53] ; [ 8 16],[16.1978022 50.8021978] ; [ 5.8021978 18.1978022],0
p1,1,0.227191,1.458364,[ 5 64] ; [ 4 22],[ 6.53684211 62.46315789] ; [ 2.46315789 23.53684211],0
a4,1,0.230801,1.435921,[31 39] ; [ 8 18],[28.4375 41.5625] ; [10.5625 15.4375],0
d2,1,0.236816,1.399445,[28 42] ; [ 7 19],[25.52083333 44.47916667] ; [ 9.47916667 16.52083333],0
n4,1,0.242608,1.365374,[39 31] ; [11 15],[36.45833333 33.54166667] ; [13.54166667 12.45833333],0
d1,1,0.255623,1.292308,[21 49] ; [11 15],[23.33333333 46.66666667] ; [ 8.66666667 17.33333333],0
r2,1,0.257992,1.279499,[54 15] ; [23  3],[55.92631579 13.07368421] ; [21.07368421  4.92631579],0
s7,1,0.314656,1.011031,[ 8 54] ; [ 5 18],[ 9.48235294 52.51764706] ; [ 3.51764706 19.48235294],0
b1,1,0.33691,0.922155,[40 30] ; [12 14],[37.91666667 32.08333333] ; [14.08333333 11.91666667],0
s5,1,0.360999,0.834414,[ 4 63] ; [ 3 23],[ 5.04301075 61.95698925] ; [ 1.95698925 24.04301075],0
d3,1,0.413604,0.668418,[36 33] ; [16 10],[37.76842105 31.23157895] ; [14.23157895 11.76842105],0
a3,1,0.415916,0.661827,[46 23] ; [15 11],[44.30526316 24.69473684] ; [16.69473684  9.30526316],0
v1,1,0.456908,0.553458,[21 48] ; [10 16],[22.51578947 46.48421053] ; [ 8.48421053 17.51578947],0
u2,1,0.477688,0.504137,[14 10] ; [5 6],[13.02857143 10.97142857] ; [5.97142857 5.02857143],0
s4,1,0.594346,0.283608,[ 8 62] ; [ 2 24],[ 7.29166667 62.70833333] ; [ 2.70833333 23.29166667],0
