Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.017706,5.625,[ 9 27] ; [6 3],[12. 24.] ; [3. 6.],0
p4,1,0.024449,5.0625,[17 19] ; [8 1],[20. 16.] ; [5. 4.],0
b1,1,0.029262,4.752155,[26 10] ; [3 6],[23.2 12.8] ; [5.8 3.2],0
s6,1,0.052574,3.757411,[15 21] ; [7 2],[17.6 18.4] ; [4.4 4.6],0
r4,1,0.067889,3.333333,[12 24] ; [6 3],[14.4 21.6] ; [3.6 5.4],0
p6,1,0.081311,3.038506,[ 6 29] ; [4 5],[ 7.95454545 27.04545455] ; [2.04545455 6.95454545],0
p5,1,0.099923,2.706767,[ 4 32] ; [3 6],[ 5.6 30.4] ; [1.4 7.6],0
d4,1,0.147332,2.099654,[23 13] ; [8 1],[24.8 11.2] ; [6.2 2.8],0
p11,1,0.147332,2.099654,[23 13] ; [8 1],[24.8 11.2] ; [6.2 2.8],0
s7,1,0.167546,1.904762,[ 8 24] ; [4 4],[ 9.6 22.4] ; [2.4 5.6],0
p3,1,0.179603,1.800907,[11 24] ; [5 4],[12.72727273 22.27272727] ; [3.27272727 5.72727273],0
u3,1,0.199482,1.646161,[ 7 12] ; [4 2],[ 8.36 10.64] ; [2.64 3.36],0
p1,1,0.277901,1.177326,[ 1 35] ; [1 8],[ 1.6 34.4] ; [0.4 8.6],0
p10,1,0.281862,1.158088,[21 15] ; [7 2],[22.4 13.6] ; [5.6 3.4],0
n4,1,0.296598,1.089427,[17 19] ; [6 3],[18.4 17.6] ; [4.6 4.4],0
p2,1,0.298052,1.082888,[26 10] ; [8 1],[27.2  8.8] ; [6.8 2.2],0
n2,1,0.306488,1.045752,[11  6] ; [1 2],[10.2  6.8] ; [1.8 1.2],0
r1,1,0.350169,0.872845,[14 22] ; [2 7],[12.8 23.2] ; [3.2 5.8],0
s4,1,0.370028,0.803571,[ 7 29] ; [3 6],[ 8. 28.] ; [2. 7.],0
a4,1,0.370028,0.803571,[ 9 27] ; [1 8],[ 8. 28.] ; [2. 7.],0
a3,1,0.453255,0.5625,[17 19] ; [3 6],[16. 20.] ; [4. 5.],0
p7,1,0.453255,0.5625,[19 17] ; [6 3],[20. 16.] ; [5. 4.],0
s8,1,0.487842,0.481283,[ 8 28] ; [3 6],[ 8.8 27.2] ; [2.2 6.8],0
v3,1,0.487842,0.481283,[ 8 28] ; [3 6],[ 8.8 27.2] ; [2.2 6.8],0
p9,1,0.488313,0.480242,[23 12] ; [7 2],[23.86363636 11.13636364] ; [6.13636364 2.86363636],0
d1,1,0.51957,0.414747,[12 24] ; [2 7],[11.2 24.8] ; [2.8 6.2],0
n1,1,0.531168,0.392157,[ 3 14] ; [1 2],[ 3.4 13.6] ; [0.6 2.4],0
n6,1,0.533389,0.387931,[24 12] ; [5 4],[23.2 12.8] ; [5.8 3.2],0
a5,1,0.546088,0.364372,[16 20] ; [3 6],[15.2 20.8] ; [3.8 5.2],0
b4,1,0.550097,0.357143,[16 20] ; [5 4],[16.8 19.2] ; [4.2 4.8],0
b5,1,0.550097,0.357143,[20 16] ; [4 5],[19.2 16.8] ; [4.8 4.2],0
p12,1,0.550097,0.357143,[ 2 34] ; [1 8],[ 2.4 33.6] ; [0.6 8.4],0
s2,1,0.613102,0.255682,[ 9 27] ; [3 6],[ 9.6 26.4] ; [2.4 6.6],0
s3,1,0.621769,0.243389,[11 25] ; [2 7],[10.4 25.6] ; [2.6 6.4],0
d2,1,0.736042,0.113636,[10 26] ; [2 7],[ 9.6 26.4] ; [2.4 6.6],0
b2,1,0.74332,0.10723,[ 7 14] ; [1 3],[ 6.72 14.28] ; [1.28 2.72],0
b3,1,0.74332,0.10723,[ 7 14] ; [1 3],[ 6.72 14.28] ; [1.28 2.72],0
d3,1,0.760907,0.092593,[22 14] ; [5 4],[21.6 14.4] ; [5.4 3.6],0
n5,1,0.760907,0.092593,[22 14] ; [5 4],[21.6 14.4] ; [5.4 3.6],0
a1,1,0.79339,0.068598,[ 3 33] ; [1 8],[ 3.2 32.8] ; [0.8 8.2],0
r3,1,0.852179,0.034722,[29  7] ; [7 2],[28.8  7.2] ; [7.2 1.8],0
d5,1,0.876261,0.024246,[23 13] ; [6 3],[23.2 12.8] ; [5.8 3.2],0
a7,1,0.881235,0.022321,[19 17] ; [5 4],[19.2 16.8] ; [4.8 4.2],0
a6,1,0.881235,0.022321,[19 17] ; [5 4],[19.2 16.8] ; [4.8 4.2],0
v2,1,0.931671,0.007352,[15 20] ; [4 5],[15.11363636 19.88636364] ; [3.88636364 5.11363636],0
p8,1,1.0,0.0,[16 20] ; [4 5],[16. 20.] ; [4. 5.],0
