Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.3e-05,19.012655,[323 207] ; [29 53],[304.83660131 225.16339869] ; [47.16339869 34.83660131],1
n6,1,6e-05,16.093455,[475  54] ; [60 21],[463.95901639  65.04098361] ; [71.04098361  9.95901639],1
a5,1,0.000101,15.121006,[405 125] ; [46 36],[390.57189542 139.42810458] ; [60.42810458 21.57189542],1
d2,1,0.00056,11.904087,[274 251] ; [26 56],[259.47281713 265.52718287] ; [40.52718287 41.47281713],1
d5,1,0.001173,10.532508,[435  93] ; [55 27],[424.13114754 103.86885246] ; [65.86885246 16.13114754],0
s4,1,0.001286,10.362224,[ 78 444] ; [24 58],[ 88.15231788 433.84768212] ; [13.84768212 68.15231788],0
v3,1,0.001876,9.667483,[216 298] ; [19 61],[203.35016835 310.64983165] ; [31.64983165 48.35016835],0
a4,1,0.00213,9.434168,[256 270] ; [25 57],[243.10197368 282.89802632] ; [37.89802632 44.10197368],0
n1,1,0.002279,9.309789,[53 55] ; [ 6 26],[45.51428571 62.48571429] ; [13.48571429 18.51428571],0
r1,1,0.00362,8.465357,[423 105] ; [54 28],[412.87868852 115.12131148] ; [64.12131148 17.87868852],0
p3,1,0.004153,8.215797,[257 271] ; [26 56],[244.95737705 283.04262295] ; [38.04262295 43.95737705],0
u1,1,0.004262,8.168659,[109 421] ; [ 6 76],[ 99.59150327 430.40849673] ; [15.40849673 66.59150327],0
r2,1,0.005716,7.637611,[495  28] ; [71 11],[489.28595041  33.71404959] ; [76.71404959  5.28595041],0
p4,1,0.016483,5.750627,[312 215] ; [37 45],[302.00821018 224.99178982] ; [46.99178982 35.00821018],0
r4,1,0.019782,5.431018,[469  61] ; [65 17],[462.45098039  67.54901961] ; [71.54901961 10.45098039],0
a8,1,0.022131,5.235489,[ 80 397] ; [ 5 71],[ 73.31826401 403.68173599] ; [11.68173599 64.31826401],0
p6,1,0.024701,5.044754,[189 333] ; [19 62],[180.05970149 341.94029851] ; [27.94029851 53.05970149],0
s7,1,0.026785,4.904646,[252 253] ; [28 49],[242.95532646 262.04467354] ; [37.04467354 39.95532646],0
a3,1,0.027647,4.849977,[383 143] ; [50 32],[374.60197368 151.39802632] ; [58.39802632 23.60197368],0
a2,1,0.028995,4.767906,[144 386] ; [13 69],[135.96405229 394.03594771] ; [21.03594771 60.96405229],0
p10,1,0.03062,4.674149,[435  90] ; [59 22],[427.97029703  97.02970297] ; [66.02970297 14.97029703],0
p2,1,0.03747,4.328927,[437  91] ; [60 22],[430.19016393  97.80983607] ; [66.80983607 15.19016393],0
v2,1,0.068148,3.327072,[291 218] ; [36 42],[283.54855196 225.45144804] ; [43.45144804 34.54855196],0
s6,1,0.098014,2.737558,[348 174] ; [47 35],[341.37417219 180.62582781] ; [53.62582781 28.37417219],0
d4,1,0.124744,2.356725,[423 104] ; [59 22],[417.78618421 109.21381579] ; [64.21381579 16.78618421],0
s5,1,0.129954,2.293052,[159 357] ; [18 62],[153.24161074 362.75838926] ; [23.75838926 56.24161074],0
a1,1,0.143934,2.135393,[ 25 505] ; [ 1 81],[ 22.51633987 507.48366013] ; [ 3.48366013 78.51633987],0
v1,1,0.158941,1.984271,[287 232] ; [38 43],[281.125 237.875] ; [43.875 37.125],0
n3,1,0.167952,1.901131,[79 29] ; [20 13],[75.82978723 32.17021277] ; [23.17021277  9.82978723],0
s2,1,0.168344,1.897631,[269 254] ; [35 46],[263.23178808 259.76821192] ; [40.76821192 40.23178808],0
p11,1,0.183758,1.766962,[422 108] ; [60 22],[417.41830065 112.58169935] ; [64.58169935 17.41830065],0
s8,1,0.194603,1.682424,[233 294] ; [30 52],[227.58784893 299.41215107] ; [35.41215107 46.58784893],0
r3,1,0.194979,1.679586,[490  37] ; [72  9],[487.12828947  39.87171053] ; [74.87171053  6.12828947],0
s3,1,0.195222,1.677765,[294 227] ; [40 42],[288.58043118 232.41956882] ; [45.41956882 36.58043118],0
p8,1,0.19988,1.643248,[264 255] ; [35 46],[258.635 260.365] ; [40.365 40.635],0
d3,1,0.270236,1.21555,[353 176] ; [49 32],[348.61967213 180.38032787] ; [53.38032787 27.61967213],0
a7,1,0.302789,1.061868,[371 157] ; [53 29],[367.00327869 160.99672131] ; [56.99672131 25.00327869],0
p9,1,0.309854,1.031299,[441  81] ; [64 16],[437.89036545  84.10963455] ; [67.10963455 12.89036545],0
p1,1,0.326347,0.963338,[ 34 494] ; [ 3 79],[ 32.02622951 495.97377049] ; [ 4.97377049 77.02622951],0
p7,1,0.340977,0.906753,[322 197] ; [44 34],[318.18090452 200.81909548] ; [47.81909548 30.18090452],0
s1,1,0.389687,0.73992,[ 15 504] ; [ 1 80],[ 13.84 505.16] ; [ 2.16 78.84],0
b2,1,0.621456,0.243826,[125 203] ; [14 27],[123.55555556 204.44444444] ; [15.44444444 25.55555556],0
b3,1,0.621456,0.243826,[125 203] ; [14 27],[123.55555556 204.44444444] ; [15.44444444 25.55555556],0
u4,1,0.737141,0.112655,[ 10 520] ; [ 2 80],[ 10.39215686 519.60784314] ; [ 1.60784314 80.39215686],0
b5,1,0.753887,0.098294,[320 210] ; [51 31],[321.29084967 208.70915033] ; [49.70915033 32.29084967],0
a6,1,0.760986,0.092529,[363 165] ; [55 27],[361.80983607 166.19016393] ; [56.19016393 25.80983607],0
b1,1,0.7763,0.080738,[211 319] ; [34 48],[212.17320261 317.82679739] ; [32.82679739 49.17320261],0
v4,1,0.842025,0.039722,[493  36] ; [75  6],[492.57704918  36.42295082] ; [75.42295082  5.57704918],0
n2,1,0.856222,0.032828,[85 25] ; [25  8],[84.61538462 25.38461538] ; [25.38461538  7.61538462],0
u2,1,0.859804,0.031196,[75 70] ; [16 16],[74.5480226 70.4519774] ; [16.4519774 15.5480226],0
u3,1,0.861525,0.030427,[76 71] ; [16 16],[75.55307263 71.44692737] ; [16.44692737 15.55307263],0
b4,1,0.928872,0.007968,[301 229] ; [47 35],[301.37254902 228.62745098] ; [46.62745098 35.37254902],0
