Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,8.7e-05,15.407609,[ 6 18] ; [34 12],[13.71428571 10.28571429] ; [26.28571429 19.71428571],1
a4,1,0.000693,11.508152,[ 3 21] ; [25 21],[ 9.6 14.4] ; [18.4 27.6],1
s6,1,0.003437,8.55988,[16  8] ; [43  3],[20.22857143  3.77142857] ; [38.77142857  7.22857143],0
d2,1,0.004327,8.141325,[ 5 19] ; [26 20],[10.62857143 13.37142857] ; [20.37142857 25.62857143],0
p3,1,0.009312,6.762078,[ 6 18] ; [26 19],[11.13043478 12.86956522] ; [20.86956522 24.13043478],0
p4,1,0.034838,4.453109,[ 8 16] ; [27 18],[12.17391304 11.82608696] ; [22.82608696 22.17391304],0
s8,1,0.044703,4.029814,[ 7 17] ; [25 21],[10.97142857 13.02857143] ; [21.02857143 24.97142857],0
r4,1,0.053853,3.717256,[17  7] ; [41  5],[19.88571429  4.11428571] ; [38.11428571  7.88571429],0
d3,1,0.060765,3.51638,[13 11] ; [35 11],[16.45714286  7.54285714] ; [31.54285714 14.45714286],0
p7,1,0.062189,3.478031,[ 9 13] ; [28 15],[12.52307692  9.47692308] ; [24.47692308 18.52307692],0
r1,1,0.069403,3.297074,[13 11] ; [34 11],[16.34782609  7.65217391] ; [30.65217391 14.34782609],0
d4,1,0.074033,3.191255,[19  5] ; [43  3],[21.25714286  2.74285714] ; [40.74285714  5.25714286],0
a3,1,0.078975,3.085868,[11 12] ; [32 14],[14.33333333  8.66666667] ; [28.66666667 17.33333333],0
u1,1,0.080536,3.054046,[ 1 23] ; [ 9 37],[ 3.42857143 20.57142857] ; [ 6.57142857 39.42857143],0
r2,1,0.081859,3.027596,[21  3] ; [44  1],[22.60869565  1.39130435] ; [42.39130435  2.60869565],0
v2,1,0.088677,2.898229,[ 9 15] ; [26 18],[12.35294118 11.64705882] ; [22.64705882 21.35294118],0
s2,1,0.095002,2.787509,[13 11] ; [34 12],[16.11428571  7.88571429] ; [30.88571429 15.11428571],0
p1,1,0.122068,2.390582,[ 1 22] ; [ 8 37],[ 3.04411765 19.95588235] ; [ 5.95588235 39.04411765],0
b4,1,0.141503,2.16154,[13 11] ; [33 13],[15.77142857  8.22857143] ; [30.22857143 15.77142857],0
p8,1,0.147067,2.102415,[ 8 15] ; [24 21],[10.82352941 12.17647059] ; [21.17647059 23.82352941],0
p2,1,0.225033,1.471983,[19  4] ; [31 14],[16.91176471  6.08823529] ; [33.08823529 11.91176471],0
p6,1,0.243329,1.361205,[ 5 18] ; [16 29],[ 7.10294118 15.89705882] ; [13.89705882 31.10294118],0
d5,1,0.254422,1.298858,[17  7] ; [38  8],[18.85714286  5.14285714] ; [36.14285714  9.85714286],0
s3,1,0.283549,1.15,[14 10] ; [32 13],[16.  8.] ; [30. 15.],0
v1,1,0.349047,0.876919,[ 9 14] ; [23 22],[10.82352941 12.17647059] ; [21.17647059 23.82352941],0
b5,1,0.403777,0.697049,[10 14] ; [24 22],[11.65714286 12.34285714] ; [22.34285714 23.65714286],0
p10,1,0.422716,0.642752,[17  6] ; [37  8],[18.26470588  4.73529412] ; [35.73529412  9.26470588],0
s7,1,0.471236,0.519077,[12 11] ; [18 24],[10.61538462 12.38461538] ; [19.38461538 22.61538462],0
p5,1,0.497279,0.460738,[ 1 22] ; [ 4 41],[ 1.69117647 21.30882353] ; [ 3.30882353 41.69117647],0
n5,1,0.499738,0.455492,[ 5 19] ; [13 33],[ 6.17142857 17.82857143] ; [11.82857143 34.17142857],0
b1,1,0.509651,0.434783,[ 6 18] ; [15 31],[ 7.2 16.8] ; [13.8 32.2],0
u3,1,0.515759,0.422366,[9 4] ; [8 6],[8.18518519 4.81481481] ; [8.81481481 5.18518519],0
p9,1,0.526852,0.40046,[18  5] ; [38  7],[18.94117647  4.05882353] ; [37.05882353  7.94117647],0
b2,1,0.536158,0.382707,[4 8] ; [11 14],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
b3,1,0.536158,0.382707,[4 8] ; [11 14],[4.86486486 7.13513514] ; [10.13513514 14.86486486],0
u2,1,0.567996,0.326048,[7 6] ; [6 8],[6.25925926 6.74074074] ; [6.74074074 7.25925926],0
n1,1,0.600698,0.273945,[3 3] ; [ 8 13],[2.44444444 3.55555556] ; [ 8.55555556 12.44444444],0
v3,1,0.626431,0.236931,[ 6 17] ; [14 30],[ 6.86567164 16.13432836] ; [13.13432836 30.86567164],0
n3,1,0.663674,0.189091,[3 3] ; [12  8],[3.46153846 2.53846154] ; [11.53846154  8.46153846],0
v4,1,0.761674,0.091981,[21  2] ; [42  3],[21.30882353  1.69117647] ; [41.69117647  3.30882353],0
p11,1,0.768412,0.086703,[17  7] ; [31 15],[16.45714286  7.54285714] ; [31.54285714 14.45714286],0
n2,1,0.82176,0.050752,[4 2] ; [15  6],[4.22222222 1.77777778] ; [14.77777778  6.22222222],0
n6,1,0.824766,0.049026,[17  7] ; [33 12],[17.39130435  6.60869565] ; [32.60869565 12.39130435],0
s4,1,0.894177,0.017695,[ 9 15] ; [18 28],[ 9.25714286 14.74285714] ; [17.74285714 28.25714286],0
a7,1,0.912491,0.012077,[17  7] ; [32 14],[16.8  7.2] ; [32.2 13.8],0
a1,1,0.959007,0.002642,[ 2 22] ; [ 4 42],[ 2.05714286 21.94285714] ; [ 3.94285714 42.05714286],0
a6,1,0.976697,0.000853,[14 10] ; [27 19],[14.05714286  9.94285714] ; [26.94285714 19.05714286],0
