Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,119.549226,[230 168] ; [ 51 251],[159.76857143 238.23142857] ; [121.23142857 180.76857143],1
v1,1,0.0,66.078671,[276 123] ; [115 185],[223.1888412 175.8111588] ; [167.8111588 132.1888412],1
a3,1,0.000177,14.055871,[316  92] ; [196 107],[293.80590717 114.19409283] ; [218.19409283  84.80590717],1
d1,1,0.000284,13.172819,[267 142] ; [158 147],[243.45238095 165.54761905] ; [181.54761905 123.45238095],1
a5,1,0.000398,12.542625,[323  86] ; [205 100],[302.45378151 106.54621849] ; [225.54621849  79.45378151],1
r1,1,0.001112,10.630585,[347  60] ; [229  74],[330.18591549  76.81408451] ; [245.81408451  57.18591549],0
s4,1,0.001286,10.362198,[ 50 356] ; [ 64 236],[ 65.55807365 340.44192635] ; [ 48.44192635 251.55807365],0
d4,1,0.003775,8.389107,[355  54] ; [239  65],[340.73772791  68.26227209] ; [253.26227209  50.73772791],0
d5,1,0.008503,6.924281,[352  57] ; [238  65],[338.91853933  70.08146067] ; [251.08146067  51.91853933],0
n3,1,0.008722,6.878814,[62 12] ; [46 25],[55.11724138 18.88275862] ; [52.88275862 18.11724138],0
u1,1,0.008754,6.872383,[ 86 323] ; [ 41 264],[ 72.74929972 336.25070028] ; [ 54.25070028 250.74929972],0
d2,1,0.008772,6.86858,[213 195] ; [129 176],[195.7026648 212.2973352] ; [146.2973352 158.7026648],0
d3,1,0.009858,6.660374,[305 104] ; [199 104],[289.51685393 119.48314607] ; [214.48314607  88.51685393],0
s8,1,0.010993,6.466484,[200 206] ; [121 184],[183.29957806 222.70042194] ; [137.70042194 167.29957806],0
p9,1,0.012549,6.231571,[363  41] ; [253  50],[352.  52.] ; [264.  39.],0
p3,1,0.015051,5.910515,[230 179] ; [143 161],[213.96493689 195.03506311] ; [159.03506311 144.96493689],0
a2,1,0.018874,5.513171,[110 299] ; [ 59 246],[ 96.80812325 312.19187675] ; [ 72.19187675 232.80812325],0
p11,1,0.019337,5.470811,[347  62] ; [238  67],[335.10504202  73.89495798] ; [249.89495798  55.10504202],0
b1,1,0.025033,5.021615,[133 276] ; [124 181],[147.21708683 261.78291317] ; [109.78291317 195.21708683],0
p10,1,0.030747,4.667021,[348  57] ; [241  61],[337.40452617  67.59547383] ; [251.59547383  50.40452617],0
s7,1,0.034953,4.447458,[211 178] ; [136 159],[197.34356725 191.65643275] ; [149.65643275 145.34356725],0
n4,1,0.050934,3.810426,[330  77] ; [228  76],[319.41772152  87.58227848] ; [238.58227848  65.41772152],0
a6,1,0.065447,3.39367,[290 118] ; [197 108],[278.67601683 129.32398317] ; [208.32398317  96.67601683],0
a7,1,0.067936,3.332187,[312  96] ; [214  90],[301.41573034 106.58426966] ; [224.58426966  79.41573034],0
n6,1,0.076575,3.136133,[356  49] ; [253  51],[347.87729196  57.12270804] ; [261.12270804  42.87729196],0
p7,1,0.077514,3.116265,[287 114] ; [196 104],[276.29529244 124.70470756] ; [206.70470756  93.29529244],0
p4,1,0.08083,3.048127,[272 134] ; [185 120],[260.95921238 145.04078762] ; [196.04078762 108.95921238],0
n5,1,0.11894,2.431225,[313  91] ; [220  84],[304.14124294  99.85875706] ; [228.85875706  75.14124294],0
p12,1,0.12333,2.374513,[ 37 370] ; [ 18 284],[ 31.57263752 375.42736248] ; [ 23.42736248 278.57263752],0
n2,1,0.130379,2.287984,[57 15] ; [49 23],[53. 19.] ; [53. 19.],0
b4,1,0.1549,2.023323,[247 162] ; [168 137],[237.72408964 171.27591036] ; [177.27591036 127.72408964],0
r2,1,0.15975,1.97659,[386  17] ; [283  20],[381.8796034  21.1203966] ; [287.1203966  15.8796034],0
s1,1,0.173871,1.849243,[  8 395] ; [ 11 289],[ 10.89189189 392.10810811] ; [  8.10810811 291.89189189],0
u4,1,0.210837,1.56567,[  9 400] ; [  3 302],[  6.87394958 402.12605042] ; [  5.12605042 299.87394958],0
a1,1,0.228728,1.448754,[ 21 388] ; [ 10 295],[ 17.75770308 391.24229692] ; [ 13.24229692 291.75770308],0
a4,1,0.24349,1.360275,[187 221] ; [126 178],[179.35955056 228.64044944] ; [133.64044944 170.35955056],0
s5,1,0.258852,1.274887,[143 248] ; [ 97 202],[136. 255.] ; [104. 195.],0
s2,1,0.307366,1.041959,[213 191] ; [148 155],[206.28571429 197.71428571] ; [154.71428571 148.28571429],0
r4,1,0.332205,0.940282,[382  27] ; [279  26],[378.64005602  30.35994398] ; [282.35994398  22.64005602],0
b2,1,0.334143,0.932774,[ 98 153] ; [ 61 116],[ 93.2453271 157.7546729] ; [ 65.7546729 111.2453271],0
b3,1,0.334143,0.932774,[ 98 153] ; [ 61 116],[ 93.2453271 157.7546729] ; [ 65.7546729 111.2453271],0
p8,1,0.375672,0.784819,[237 163] ; [170 134],[231.25 168.75] ; [175.75 128.25],0
v4,1,0.389197,0.741449,[389  17] ; [295   9],[391.13239437  14.86760563] ; [292.86760563  11.13239437],0
n1,1,0.555867,0.34691,[23 49] ; [26 45],[24.67132867 47.32867133] ; [24.32867133 46.67132867],0
a8,1,0.585526,0.297385,[ 56 306] ; [ 39 241],[ 53.56697819 308.43302181] ; [ 41.43302181 238.56697819],0
p1,1,0.609774,0.260504,[ 32 376] ; [ 27 276],[ 33.85654008 374.14345992] ; [ 25.14345992 277.85654008],0
s3,1,0.641685,0.216546,[224 175] ; [176 128],[227.02702703 171.97297297] ; [172.97297297 131.02702703],0
p6,1,0.647494,0.209074,[163 238] ; [118 185],[160.05823864 240.94176136] ; [120.94176136 182.05823864],0
p5,1,0.658486,0.195368,[ 50 359] ; [ 34 271],[ 48.11764706 360.88235294] ; [ 35.88235294 269.11764706],0
s6,1,0.685104,0.164437,[276 124] ; [202  97],[273.53361946 126.46638054] ; [204.46638054  94.53361946],0
u2,1,0.745336,0.105492,[49 43] ; [60 48],[50.14 41.86] ; [58.86 49.14],0
u3,1,0.75774,0.095142,[51 42] ; [61 46],[52.08 40.92] ; [59.92 47.08],0
b5,1,0.822868,0.050112,[242 167] ; [183 122],[243.45238095 165.54761905] ; [181.54761905 123.45238095],0
