Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000337,12.851634,[ 1 23] ; [44 58],[ 8.57142857 15.42857143] ; [36.42857143 65.57142857],1
p9,1,0.043197,4.087673,[19  5] ; [55 42],[14.67768595  9.32231405] ; [59.32231405 37.67768595],0
d2,1,0.076279,3.142447,[ 5 19] ; [41 61],[ 8.76190476 15.23809524] ; [37.23809524 64.76190476],0
d4,1,0.093149,2.819095,[17  7] ; [87 15],[19.80952381  4.19047619] ; [84.19047619 17.80952381],0
p5,1,0.111926,2.526815,[ 2 22] ; [ 2 99],[ 0.768 23.232] ; [ 3.232 97.768],0
n4,1,0.120839,2.406417,[ 6 18] ; [43 59],[ 9.33333333 14.66666667] ; [39.66666667 62.33333333],0
r4,1,0.125994,2.341186,[21  3] ; [74 28],[18.0952381  5.9047619] ; [76.9047619 25.0952381],0
p2,1,0.131985,2.268995,[17  7] ; [55 47],[13.71428571 10.28571429] ; [58.28571429 43.71428571],0
s4,1,0.13737,2.20718,[ 2 22] ; [22 80],[ 4.57142857 19.42857143] ; [19.42857143 82.57142857],0
u3,1,0.149775,2.074539,[6 7] ; [28 13],[8.18518519 4.81481481] ; [25.81481481 15.18518519],0
v3,1,0.157371,1.999308,[ 9 14] ; [23 71],[ 6.29059829 16.70940171] ; [25.70940171 68.29059829],0
a4,1,0.166042,1.918316,[ 6 18] ; [41 61],[ 8.95238095 15.04761905] ; [38.04761905 63.95238095],0
a6,1,0.180709,1.791786,[17  7] ; [57 45],[14.0952381  9.9047619] ; [59.9047619 42.0952381],0
r2,1,0.184622,1.760016,[23  1] ; [86 14],[21.09677419  2.90322581] ; [87.90322581 12.09677419],0
a3,1,0.213371,1.548407,[11 13] ; [61 41],[13.71428571 10.28571429] ; [58.28571429 43.71428571],0
p10,1,0.217825,1.518642,[15  9] ; [48 51],[12.29268293 11.70731707] ; [50.70731707 48.29268293],0
u2,1,0.227464,1.456651,[6 7] ; [26 14],[7.8490566 5.1509434] ; [24.1509434 15.8490566],0
p1,1,0.263794,1.248737,[ 3 21] ; [ 6 95],[ 1.728 22.272] ; [ 7.272 93.728],0
b5,1,0.290754,1.116125,[12 12] ; [63 39],[14.28571429  9.71428571] ; [60.71428571 41.28571429],0
d3,1,0.291589,1.112268,[13 11] ; [67 35],[15.23809524  8.76190476] ; [64.76190476 37.23809524],0
d5,1,0.304503,1.054367,[17  7] ; [82 20],[18.85714286  5.14285714] ; [80.14285714 21.85714286],0
a7,1,0.307725,1.040415,[19  5] ; [70 32],[16.95238095  7.04761905] ; [72.04761905 29.95238095],0
v1,1,0.344051,0.895276,[12 12] ; [39 60],[ 9.95121951 14.04878049] ; [41.04878049 57.95121951],0
d1,1,0.411554,0.674306,[10 14] ; [52 50],[11.80952381 12.19047619] ; [50.19047619 51.80952381],0
s5,1,0.412119,0.672678,[ 4 19] ; [24 70],[ 5.5042735 17.4957265] ; [22.4957265 71.5042735],0
u1,1,0.467119,0.528784,[ 3 21] ; [ 8 94],[ 2.0952381 21.9047619] ; [ 8.9047619 93.0952381],0
p12,1,0.53501,0.384867,[ 1 23] ; [ 2 98],[ 0.58064516 23.41935484] ; [ 2.41935484 97.58064516],0
n3,1,0.538462,0.378397,[3 3] ; [24 14],[3.68181818 2.31818182] ; [23.31818182 14.68181818],0
a2,1,0.548189,0.360572,[ 2 22] ; [13 89],[ 2.85714286 21.14285714] ; [12.14285714 89.85714286],0
a5,1,0.555574,0.347426,[15  9] ; [57 45],[13.71428571 10.28571429] ; [58.28571429 43.71428571],0
p6,1,0.620313,0.245428,[ 2 22] ; [12 89],[ 2.688 21.312] ; [11.312 89.688],0
p11,1,0.633466,0.227389,[14 10] ; [54 48],[12.95238095 11.04761905] ; [55.04761905 46.95238095],0
s8,1,0.633657,0.227135,[ 5 19] ; [26 76],[ 5.9047619 18.0952381] ; [25.0952381 76.9047619],0
n2,1,0.635836,0.224229,[4 2] ; [22 17],[3.46666667 2.53333333] ; [22.53333333 16.46666667],0
r1,1,0.647421,0.209168,[18  6] ; [71 30],[17.088  6.912] ; [71.912 29.088],0
n6,1,0.664649,0.187925,[12 12] ; [56 46],[12.95238095 11.04761905] ; [55.04761905 46.95238095],0
s3,1,0.714402,0.13392,[ 9 15] ; [42 59],[ 9.792 14.208] ; [41.208 59.792],0
v4,1,0.724944,0.123805,[20  4] ; [87 14],[20.544  3.456] ; [86.456 14.544],0
s6,1,0.751404,0.100355,[12 11] ; [49 52],[11.31451613 11.68548387] ; [49.68548387 51.31451613],0
b4,1,0.756369,0.096257,[14 10] ; [63 39],[14.66666667  9.33333333] ; [62.33333333 39.66666667],0
s7,1,0.772017,0.083948,[ 6 18] ; [26 67],[ 6.56410256 17.43589744] ; [25.43589744 67.56410256],0
r3,1,0.825232,0.048762,[22  2] ; [92 10],[21.71428571  2.28571429] ; [92.28571429  9.71428571],0
p3,1,0.837731,0.041941,[ 5 19] ; [23 78],[ 5.376 18.624] ; [22.624 78.376],0
s2,1,0.866785,0.028138,[ 9 14] ; [38 64],[ 8.648 14.352] ; [38.352 63.648],0
s1,1,0.879037,0.023162,[ 1 23] ; [ 5 97],[ 1.14285714 22.85714286] ; [ 4.85714286 97.14285714],0
a8,1,0.892785,0.018166,[ 1 18] ; [ 6 93],[ 1.12711864 17.87288136] ; [ 5.87288136 93.12711864],0
b2,1,0.915738,0.011195,[5 9] ; [19 32],[5.16923077 8.83076923] ; [18.83076923 32.16923077],0
b3,1,0.915738,0.011195,[5 9] ; [19 32],[5.16923077 8.83076923] ; [18.83076923 32.16923077],0
v2,1,0.927254,0.008336,[12 12] ; [47 49],[11.8 12.2] ; [47.2 48.8],0
n1,1,0.967611,0.001649,[2 4] ; [13 27],[1.95652174 4.04347826] ; [13.04347826 26.95652174],0
p4,1,0.981075,0.000563,[ 7 17] ; [30 72],[ 7.04761905 16.95238095] ; [29.95238095 72.04761905],0
