Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,5e-06,20.964412,[13 27] ; [70 24],[24.7761194 15.2238806] ; [58.2238806 35.7761194],1
a6,1,0.001023,10.785901,[16 24] ; [66 28],[24.47761194 15.52238806] ; [57.52238806 36.47761194],0
a2,1,0.012846,6.190161,[ 3 37] ; [25 69],[ 8.35820896 31.64179104] ; [19.64179104 74.35820896],0
d3,1,0.01703,5.693241,[24 16] ; [75 19],[29.55223881 10.44776119] ; [69.44776119 24.55223881],0
s1,1,0.033487,4.52073,[ 5 34] ; [ 3 91],[ 2.34586466 36.65413534] ; [ 5.65413534 88.34586466],0
b1,1,0.036189,4.388194,[19 21] ; [27 67],[13.73134328 26.26865672] ; [32.26865672 61.73134328],0
v4,1,0.043762,4.065736,[36  4] ; [92  2],[38.20895522  1.79104478] ; [89.79104478  4.20895522],0
s7,1,0.062834,3.460964,[28 11] ; [50 42],[23.22137405 15.77862595] ; [54.77862595 37.22137405],0
u1,1,0.072571,3.223895,[ 4 36] ; [22 72],[ 7.76119403 32.23880597] ; [18.23880597 75.76119403],0
p1,1,0.109915,2.555441,[ 6 34] ; [ 6 88],[ 3.58208955 36.41791045] ; [ 8.41791045 85.58208955],0
v2,1,0.11142,2.533967,[14 24] ; [48 44],[18.12307692 19.87692308] ; [43.87692308 48.12307692],0
p7,1,0.111731,2.529561,[29 10] ; [55 37],[25.00763359 13.99236641] ; [58.99236641 33.00763359],0
n5,1,0.115751,2.473892,[34  6] ; [68 26],[30.44776119  9.55223881] ; [71.55223881 22.44776119],0
a1,1,0.133222,2.254551,[ 3 37] ; [ 2 92],[ 1.49253731 38.50746269] ; [ 3.50746269 90.49253731],0
b4,1,0.135293,2.230693,[20 20] ; [60 34],[23.88059701 16.11940299] ; [56.11940299 37.88059701],0
p11,1,0.171859,1.86665,[33  7] ; [67 27],[29.85074627 10.14925373] ; [70.14925373 23.85074627],0
n1,1,0.194924,1.68,[6 9] ; [ 4 16],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
p8,1,0.20467,1.608736,[24 15] ; [46 47],[20.68181818 18.31818182] ; [49.31818182 43.68181818],0
a5,1,0.216179,1.529554,[27 13] ; [73 21],[29.85074627 10.14925373] ; [70.14925373 23.85074627],0
p2,1,0.218907,1.511519,[28 12] ; [75 19],[30.74626866  9.25373134] ; [72.25373134 21.74626866],0
p4,1,0.230086,1.44033,[22 18] ; [62 32],[25.07462687 14.92537313] ; [58.92537313 35.07462687],0
d4,1,0.282723,1.153955,[29 11] ; [76 18],[31.34328358  8.65671642] ; [73.65671642 20.34328358],0
p3,1,0.307683,1.040594,[23 17] ; [45 49],[20.29850746 19.70149254] ; [47.70149254 46.29850746],0
d1,1,0.321723,0.981927,[21 19] ; [58 36],[23.58208955 16.41791045] ; [55.41791045 38.58208955],0
s5,1,0.335134,0.928959,[22 15] ; [43 43],[19.55284553 17.44715447] ; [45.44715447 40.55284553],0
n4,1,0.359057,0.841187,[30 10] ; [63 31],[27.76119403 12.23880597] ; [65.23880597 28.76119403],0
r4,1,0.362018,0.830881,[34  6] ; [85  9],[35.52238806  4.47761194] ; [83.47761194 10.52238806],0
s8,1,0.385435,0.753296,[22 18] ; [44 50],[19.70149254 20.29850746] ; [46.29850746 47.70149254],0
a8,1,0.430989,0.620157,[ 1 38] ; [ 5 81],[ 1.872 37.128] ; [ 4.128 81.872],0
r1,1,0.434354,0.611153,[29 11] ; [74 20],[30.74626866  9.25373134] ; [72.25373134 21.74626866],0
d5,1,0.445857,0.581164,[30 10] ; [76 18],[31.64179104  8.35820896] ; [74.35820896 19.64179104],0
r2,1,0.448662,0.574029,[37  3] ; [89  4],[37.89473684  2.10526316] ; [88.10526316  4.89473684],0
p12,1,0.465941,0.531585,[ 4 36] ; [ 6 88],[ 2.98507463 37.01492537] ; [ 7.01492537 86.98507463],0
s6,1,0.467883,0.526972,[34  4] ; [77 14],[32.69767442  5.30232558] ; [78.30232558 12.69767442],0
r3,1,0.476672,0.506467,[36  4] ; [87  6],[36.9924812  3.0075188] ; [86.0075188  6.9924812],0
n2,1,0.502944,0.448718,[12  3] ; [14  6],[11.14285714  3.85714286] ; [14.85714286  5.14285714],0
b3,1,0.538167,0.378947,[ 4 20] ; [11 37],[ 5. 19.] ; [10. 38.],0
b2,1,0.538167,0.378947,[ 4 20] ; [11 37],[ 5. 19.] ; [10. 38.],0
v1,1,0.596146,0.280847,[18 22] ; [47 47],[19.40298507 20.59701493] ; [45.59701493 48.40298507],0
