Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.1e-05,18.128824,[35 98] ; [32 22],[47.65240642 85.34759358] ; [19.34759358 34.65240642],1
p5,1,0.000246,13.444316,[  2 131] ; [ 8 46],[  7.11229947 125.88770053] ; [ 2.88770053 51.11229947],1
p7,1,0.001635,9.919821,[47 84] ; [33 21],[56.64864865 74.35135135] ; [23.35135135 30.64864865],0
s8,1,0.001805,9.738114,[ 22 111] ; [20 33],[ 30.03225806 102.96774194] ; [11.96774194 41.03225806],0
s2,1,0.004036,8.267586,[ 29 104] ; [23 31],[36.98395722 96.01604278] ; [15.01604278 38.98395722],0
s6,1,0.007863,7.064338,[47 86] ; [30 23],[55.05913978 77.94086022] ; [21.94086022 31.05913978],0
p8,1,0.015081,5.906998,[33 98] ; [23 30],[39.86956522 91.13043478] ; [16.13043478 36.86956522],0
p6,1,0.016782,5.719013,[ 24 108] ; [18 34],[ 30.13043478 101.86956522] ; [11.86956522 40.13043478],0
p2,1,0.036159,4.3896,[72 62] ; [38 16],[78.40425532 55.59574468] ; [31.59574468 22.40425532],0
b1,1,0.072261,3.230895,[60 74] ; [32 22],[65.57446809 68.42553191] ; [26.42553191 27.57446809],0
v4,1,0.085459,2.957891,[103  29] ; [48  6],[107.16129032  24.83870968] ; [43.83870968 10.16129032],0
r4,1,0.108087,2.581977,[91 43] ; [43 11],[95.5106383 38.4893617] ; [38.4893617 15.5106383],0
a4,1,0.115916,2.47165,[58 74] ; [17 37],[53.22580645 78.77419355] ; [21.77419355 32.22580645],0
b5,1,0.120641,2.408985,[78 56] ; [38 16],[82.68085106 51.31914894] ; [33.31914894 20.68085106],0
b3,1,0.126788,2.331399,[24 63] ; [15 21],[27.58536585 59.41463415] ; [11.41463415 24.58536585],0
b2,1,0.126788,2.331399,[24 63] ; [15 21],[27.58536585 59.41463415] ; [11.41463415 24.58536585],0
s7,1,0.183724,1.767239,[31 94] ; [18 34],[34.60451977 90.39548023] ; [14.39548023 37.60451977],0
v1,1,0.196836,1.665697,[45 86] ; [24 30],[48.85945946 82.14054054] ; [20.14054054 33.85945946],0
s3,1,0.199266,1.647746,[47 83] ; [25 29],[50.86956522 79.13043478] ; [21.13043478 32.86956522],0
u3,1,0.21034,1.569085,[23 33] ; [13 10],[25.51898734 30.48101266] ; [10.48101266 12.51898734],0
a1,1,0.214603,1.540101,[ 12 122] ; [ 2 52],[  9.9787234 124.0212766] ; [ 4.0212766 49.9787234],0
p11,1,0.269354,1.220034,[69 65] ; [23 31],[65.57446809 68.42553191] ; [26.42553191 27.57446809],0
n6,1,0.290891,1.115493,[81 52] ; [36 16],[84.11351351 48.88648649] ; [32.88648649 19.11351351],0
s5,1,0.298595,1.080459,[ 19 112] ; [11 42],[ 21.35869565 109.64130435] ; [ 8.64130435 44.35869565],0
a6,1,0.315788,1.00631,[82 51] ; [29 25],[78.94652406 54.05347594] ; [32.05347594 21.94652406],0
p1,1,0.318808,0.993832,[  7 125] ; [ 5 49],[  8.51612903 123.48387097] ; [ 3.48387097 50.51612903],0
r3,1,0.326952,0.960934,[107  25] ; [47  7],[109.29032258  22.70967742] ; [44.70967742  9.29032258],0
d2,1,0.335049,0.929284,[66 65] ; [23 31],[63.02162162 67.97837838] ; [25.97837838 28.02162162],0
n4,1,0.340693,0.907823,[83 50] ; [37 16],[85.80645161 47.19354839] ; [34.19354839 18.80645161],0
p9,1,0.345413,0.890236,[44 85] ; [22 31],[46.78021978 82.21978022] ; [19.21978022 33.78021978],0
n1,1,0.366729,0.814718,[21 36] ; [7 7],[22.47887324 34.52112676] ; [5.52112676 8.47887324],0
n2,1,0.377615,0.778453,[34 24] ; [10  4],[35.44444444 22.55555556] ; [8.55555556 5.44444444],0
n3,1,0.390114,0.738587,[33 23] ; [10  4],[34.4 21.6] ; [8.6 5.4],0
u2,1,0.471806,0.517744,[26 29] ; [ 8 13],[24.60526316 30.39473684] ; [ 9.39473684 11.60526316],0
v2,1,0.506538,0.441212,[53 77] ; [24 28],[55. 75.] ; [22. 30.],0
a5,1,0.547842,0.361197,[78 56] ; [34 20],[79.82978723 54.17021277] ; [32.17021277 21.82978723],0
u4,1,0.572183,0.319044,[  3 131] ; [ 2 52],[  3.56382979 130.43617021] ; [ 1.43617021 52.56382979],0
v3,1,0.574415,0.315351,[38 90] ; [13 38],[36.46927374 91.53072626] ; [14.53072626 36.46927374],0
a2,1,0.582932,0.301519,[ 27 107] ; [ 9 45],[ 25.65957447 108.34042553] ; [10.34042553 43.65957447],0
s1,1,0.589419,0.291253,[  7 124] ; [ 4 50],[  7.78918919 123.21081081] ; [ 3.21081081 50.78918919],0
r1,1,0.69514,0.153578,[89 43] ; [38 16],[90.12903226 41.87096774] ; [36.87096774 17.12903226],0
r2,1,0.700529,0.147922,[112  20] ; [47  7],[112.83870968  19.16129032] ; [46.16129032  7.83870968],0
a7,1,0.72648,0.122368,[77 55] ; [33 21],[78.06451613 53.93548387] ; [31.93548387 22.06451613],0
d1,1,0.749095,0.102293,[63 71] ; [24 30],[62.0106383 71.9893617] ; [24.9893617 29.0106383],0
d4,1,0.767554,0.087365,[95 36] ; [38 16],[94.17837838 36.82162162] ; [38.82162162 15.17837838],0
b4,1,0.785203,0.074281,[79 55] ; [33 21],[79.82978723 54.17021277] ; [32.17021277 21.82978723],0
a3,1,0.788473,0.071981,[78 53] ; [31 23],[77.18378378 53.81621622] ; [31.81621622 22.18378378],0
d5,1,0.81583,0.054248,[91 42] ; [36 18],[90.32620321 42.67379679] ; [36.67379679 17.32620321],0
u1,1,0.826994,0.047768,[ 19 115] ; [ 7 47],[ 18.53191489 115.46808511] ; [ 7.46808511 46.53191489],0
d3,1,0.842637,0.039411,[76 57] ; [30 24],[75.39037433 57.60962567] ; [30.60962567 23.39037433],0
n5,1,0.871975,0.025969,[72 61] ; [28 25],[71.50537634 61.49462366] ; [28.49462366 24.50537634],0
a8,1,0.936741,0.006299,[ 17 106] ; [ 7 42],[ 17.1627907 105.8372093] ; [ 6.8372093 42.1627907],0
