Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,116.751453,[51 51] ; [336  21],[86. 16.] ; [301.  56.],1
r2,1,0.0,42.839642,[72 23] ; [341  13],[87.3830735  7.6169265] ; [325.6169265  28.3830735],1
r3,1,0.0,26.399593,[82 20] ; [339  15],[94.17105263  7.82894737] ; [326.82894737  27.17105263],1
v4,1,3.5e-05,17.138233,[83 19] ; [335  20],[93.29540481  8.70459519] ; [324.70459519  30.29540481],1
p2,1,0.000176,14.068575,[67 34] ; [296  59],[80.40131579 20.59868421] ; [282.59868421  72.40131579],1
a1,1,0.00052,12.043732,[10 92] ; [  8 349],[ 4. 98.] ; [ 14. 343.],1
p7,1,0.000729,11.41469,[43 56] ; [216 130],[57.62022472 41.37977528] ; [201.37977528 144.62022472],1
a2,1,0.000979,10.86771,[11 91] ; [ 94 263],[23.33333333 78.66666667] ; [ 81.66666667 275.33333333],1
s6,1,0.00132,10.314476,[52 50] ; [239 111],[65.66814159 36.33185841] ; [225.33185841 124.66814159],0
n4,1,0.004892,7.918915,[62 40] ; [267  89],[73.27074236 28.72925764] ; [255.72925764 100.27074236],0
s8,1,0.005996,7.551414,[25 77] ; [140 216],[36.74672489 65.25327511] ; [128.25327511 227.74672489],0
p8,1,0.006461,7.41688,[36 65] ; [180 173],[48.05286344 52.94713656] ; [167.94713656 185.05286344],0
d1,1,0.009423,6.740761,[54 48] ; [239 118],[65.11111111 36.88888889] ; [227.88888889 129.11111111],0
v2,1,0.013644,6.083609,[32 70] ; [156 190],[42.80357143 59.19642857] ; [145.19642857 200.80357143],0
a5,1,0.014269,6.004527,[65 37] ; [271  86],[74.66666667 27.33333333] ; [261.33333333  95.66666667],0
n6,1,0.020144,5.399372,[72 29] ; [289  64],[80.31057269 20.68942731] ; [280.68942731  72.31057269],0
u1,1,0.021344,5.298483,[10 92] ; [ 70 287],[17.77777778 84.22222222] ; [ 62.22222222 294.77777778],0
s7,1,0.022121,5.236226,[31 65] ; [156 188],[40.8 55.2] ; [146.2 197.8],0
a3,1,0.023065,5.163612,[63 38] ; [264  93],[72.11135371 28.88864629] ; [254.88864629 102.11135371],0
s3,1,0.026423,4.928155,[45 56] ; [203 153],[54.80962801 46.19037199] ; [193.19037199 162.80962801],0
a7,1,0.028026,4.826468,[66 36] ; [270  87],[74.66666667 27.33333333] ; [261.33333333  95.66666667],0
p10,1,0.028962,4.769848,[68 32] ; [278  76],[76.21145374 23.78854626] ; [269.78854626  84.21145374],0
p6,1,0.032528,4.570438,[26 73] ; [133 218],[34.98 64.02] ; [124.02 226.98],0
a4,1,0.035221,4.434445,[37 64] ; [173 184],[46.31004367 54.68995633] ; [163.68995633 193.31004367],0
d5,1,0.036234,4.386049,[80 22] ; [310  47],[86.66666667 15.33333333] ; [303.33333333  53.66666667],0
a6,1,0.043605,4.071779,[60 42] ; [248 109],[68.44444444 33.55555556] ; [239.55555556 117.44444444],0
v1,1,0.046393,3.967264,[33 63] ; [161 191],[41.57142857 54.42857143] ; [152.42857143 199.57142857],0
d2,1,0.062396,3.472529,[41 59] ; [184 173],[49.23413567 50.76586433] ; [175.76586433 181.23413567],0
n2,1,0.069987,3.283336,[27  6] ; [55 30],[22.93220339 10.06779661] ; [59.06779661 25.93220339],0
p11,1,0.071335,3.252024,[69 33] ; [273  84],[76. 26.] ; [266.  91.],0
n5,1,0.081512,3.034502,[61 40] ; [245 107],[68.22516556 32.77483444] ; [237.77483444 114.22516556],0
s1,1,0.095646,2.776682,[ 6 96] ; [  9 345],[ 3.35526316 98.64473684] ; [ 11.64473684 342.35526316],0
u3,1,0.134714,2.237319,[19 19] ; [59 33],[22.8 15.2] ; [55.2 36.8],0
n3,1,0.150939,2.062732,[18 15] ; [57 26],[21.3362069 11.6637931] ; [53.6637931 29.3362069],0
p9,1,0.190306,1.71525,[76 24] ; [289  64],[80.57395143 19.42604857] ; [284.42604857  68.57395143],0
a8,1,0.195453,1.676029,[ 9 89] ; [ 47 284],[12.79254079 85.20745921] ; [ 43.20745921 287.79254079],0
d3,1,0.197712,1.659196,[71 31] ; [271  86],[76. 26.] ; [266.  91.],0
s4,1,0.234047,1.416094,[24 78] ; [ 64 287],[19.81456954 82.18543046] ; [ 68.18543046 282.81456954],0
p5,1,0.246688,1.341963,[11 90] ; [ 26 329],[ 8.19517544 92.80482456] ; [ 28.80482456 326.19517544],0
p4,1,0.266474,1.234809,[51 51] ; [199 155],[55.92105263 46.07894737] ; [194.07894737 159.92105263],0
p3,1,0.339701,0.911558,[40 61] ; [160 196],[44.20131291 56.79868709] ; [155.79868709 200.20131291],0
b2,1,0.395492,0.721991,[22 43] ; [ 83 126],[24.90875912 40.09124088] ; [ 80.09124088 128.90875912],0
b3,1,0.395492,0.721991,[22 43] ; [ 83 126],[24.90875912 40.09124088] ; [ 80.09124088 128.90875912],0
s5,1,0.437614,0.602531,[29 66] ; [120 225],[32.17045455 62.82954545] ; [116.82954545 228.17045455],0
n1,1,0.460187,0.545439,[11 22] ; [35 51],[12.75630252 20.24369748] ; [33.24369748 52.75630252],0
b1,1,0.541968,0.371905,[44 58] ; [142 215],[41.33333333 60.66666667] ; [144.66666667 212.33333333],0
s2,1,0.550176,0.357002,[46 56] ; [172 183],[48.65645514 53.34354486] ; [169.34354486 185.65645514],0
b5,1,0.590433,0.289668,[65 37] ; [217 140],[62.66666667 39.33333333] ; [219.33333333 137.66666667],0
p12,1,0.634586,0.225893,[ 4 97] ; [ 18 334],[ 4.90507726 96.09492274] ; [ 17.09492274 334.90507726],0
p1,1,0.647423,0.209165,[ 7 95] ; [ 20 334],[ 6.03947368 95.96052632] ; [ 20.96052632 333.03947368],0
u2,1,0.679038,0.17121,[21 18] ; [52 38],[22.06976744 16.93023256] ; [50.93023256 39.06976744],0
b4,1,0.780212,0.077865,[59 43] ; [212 145],[60.22222222 41.77777778] ; [210.77777778 146.22222222],0
