Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3.4e-05,17.169726,[ 1 29] ; [17 17],[ 8.4375 21.5625] ; [ 9.5625 24.4375],1
d4,1,0.00126,10.399855,[12 18] ; [27  7],[18.28125 11.71875] ; [20.71875 13.28125],0
a7,1,0.002648,9.035294,[ 9 21] ; [23 11],[15. 15.] ; [17. 17.],0
d3,1,0.005565,7.686183,[ 9 21] ; [22 12],[14.53125 15.46875] ; [16.46875 17.53125],0
v2,1,0.012174,6.285377,[ 6 23] ; [17 16],[10.75806452 18.24193548] ; [12.24193548 20.75806452],0
d2,1,0.013426,6.112039,[ 4 26] ; [14 20],[ 8.4375 21.5625] ; [ 9.5625 24.4375],0
u2,1,0.032509,4.571429,[ 4 10] ; [12  6],[7. 7.] ; [9. 9.],0
v4,1,0.05039,3.828447,[13 17] ; [23 11],[16.875 13.125] ; [19.125 14.875],0
v3,1,0.054081,3.710194,[ 3 27] ; [10 24],[ 6.09375 23.90625] ; [ 6.90625 27.09375],0
a6,1,0.070551,3.270163,[10 20] ; [19 15],[13.59375 16.40625] ; [15.40625 18.59375],0
a4,1,0.111075,2.538865,[ 6 24] ; [13 21],[ 8.90625 21.09375] ; [10.09375 23.90625],0
p3,1,0.129053,2.303856,[ 5 25] ; [11 22],[ 7.61904762 22.38095238] ; [ 8.38095238 24.61904762],0
a5,1,0.132855,2.258824,[12 18] ; [20 14],[15. 15.] ; [17. 17.],0
p4,1,0.177892,1.815148,[10 20] ; [17 17],[12.65625 17.34375] ; [14.34375 19.65625],0
r4,1,0.192377,1.699323,[ 4 26] ; [ 9 25],[ 6.09375 23.90625] ; [ 6.90625 27.09375],0
a2,1,0.209758,1.573094,[ 1 29] ; [ 4 30],[ 2.34375 27.65625] ; [ 2.65625 31.34375],0
u3,1,0.217044,1.52381,[ 2 12] ; [ 6 12],[ 3.5 10.5] ; [ 4.5 13.5],0
n4,1,0.225967,1.466072,[14 16] ; [21 13],[16.40625 13.59375] ; [18.59375 15.40625],0
p6,1,0.245708,1.347544,[ 3 26] ; [ 7 26],[ 4.67741935 24.32258065] ; [ 5.32258065 27.67741935],0
n3,1,0.295108,1.096171,[9 8] ; [8 3],[10.32142857  6.67857143] ; [6.67857143 4.32142857],0
n6,1,0.29687,1.088199,[15 14] ; [22 12],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
p10,1,0.300631,1.071395,[17 12] ; [15 18],[14.96774194 14.03225806] ; [17.03225806 15.96774194],0
s1,1,0.30749,1.041424,[ 4 26] ; [ 2 32],[ 2.8125 27.1875] ; [ 3.1875 30.8125],0
n1,1,0.327618,0.958289,[ 6 11] ; [2 9],[ 4.85714286 12.14285714] ; [3.14285714 7.85714286],0
r3,1,0.330054,0.948685,[18 11] ; [25  9],[19.79365079  9.20634921] ; [23.20634921 10.79365079],0
b4,1,0.330777,0.945852,[14 16] ; [20 14],[15.9375 14.0625] ; [18.0625 15.9375],0
p11,1,0.34376,0.896359,[15 15] ; [21 13],[16.875 13.125] ; [19.125 14.875],0
s6,1,0.35242,0.864725,[ 9 21] ; [14 20],[10.78125 19.21875] ; [12.21875 21.78125],0
b1,1,0.35242,0.864725,[21  9] ; [20 14],[19.21875 10.78125] ; [21.78125 12.21875],0
p12,1,0.365218,0.819869,[ 1 29] ; [ 3 31],[ 1.875 28.125] ; [ 2.125 31.875],0
s2,1,0.423526,0.64051,[ 9 21] ; [ 7 26],[ 7.61904762 22.38095238] ; [ 8.38095238 24.61904762],0
p1,1,0.48166,0.495103,[ 2 28] ; [ 1 33],[ 1.40625 28.59375] ; [ 1.59375 32.40625],0
r1,1,0.48881,0.479144,[ 9 21] ; [13 21],[10.3125 19.6875] ; [11.6875 22.3125],0
b5,1,0.495516,0.464527,[16 14] ; [21 13],[17.34375 12.65625] ; [19.65625 14.34375],0
s3,1,0.510582,0.432874,[ 8 22] ; [11 21],[ 9.19354839 20.80645161] ; [ 9.80645161 22.19354839],0
a3,1,0.520843,0.412223,[16 13] ; [16 18],[14.73015873 14.26984127] ; [17.26984127 16.73015873],0
a1,1,0.540186,0.375194,[ 3 27] ; [ 2 32],[ 2.34375 27.65625] ; [ 2.65625 31.34375],0
b2,1,0.62873,0.233787,[ 4 13] ; [ 7 16],[ 4.675 12.325] ; [ 6.325 16.675],0
b3,1,0.62873,0.233787,[ 4 13] ; [ 7 16],[ 4.675 12.325] ; [ 6.325 16.675],0
p8,1,0.643433,0.21428,[11 18] ; [11 23],[10.12698413 18.87301587] ; [11.87301587 22.12698413],0
p2,1,0.678585,0.171723,[17 13] ; [21 13],[17.8125 12.1875] ; [20.1875 13.8125],0
v1,1,0.753989,0.09821,[ 9 21] ; [ 9 25],[ 8.4375 21.5625] ; [ 9.5625 24.4375],0
s8,1,0.790938,0.070275,[ 7 23] ; [ 7 27],[ 6.5625 23.4375] ; [ 7.4375 26.5625],0
n2,1,0.798977,0.064857,[10  7] ; [7 4],[10.32142857  6.67857143] ; [6.67857143 4.32142857],0
s4,1,0.82931,0.046478,[ 5 25] ; [ 5 29],[ 4.6875 25.3125] ; [ 5.3125 28.6875],0
p7,1,0.838023,0.041789,[14 16] ; [15 19],[13.59375 16.40625] ; [15.40625 18.59375],0
p9,1,0.851677,0.034961,[17 12] ; [18 14],[16.63934426 12.36065574] ; [18.36065574 13.63934426],0
p5,1,0.869305,0.027074,[ 2 27] ; [ 2 32],[ 1.84126984 27.15873016] ; [ 2.15873016 31.84126984],0
n5,1,0.897079,0.016732,[19 11] ; [21 13],[18.75 11.25] ; [21.25 12.75],0
