Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.52381,[19 38] ; [20  1],[28.5 28.5] ; [10.5 10.5],1
p8,1,5e-06,20.683347,[ 7 52] ; [13  8],[14.75 44.25] ; [ 5.25 15.75],1
s2,1,0.010511,6.546235,[13 45] ; [11 10],[17.62025316 40.37974684] ; [ 6.37974684 14.62025316],0
b4,1,0.01324,6.136817,[43 16] ; [ 9 12],[38.35 20.65] ; [13.65  7.35],0
r3,1,0.021559,5.281045,[41 17] ; [20  1],[44.78481013 13.21518987] ; [16.21518987  4.78481013],0
r4,1,0.058694,3.573898,[31 28] ; [16  5],[34.6625 24.3375] ; [12.3375  8.6625],0
v4,1,0.069089,3.304525,[41 17] ; [19  2],[44.05063291 13.94936709] ; [15.94936709  5.05063291],0
a8,1,0.076053,3.147286,[ 3 50] ; [ 4 17],[ 5.01351351 47.98648649] ; [ 1.98648649 19.01351351],0
p4,1,0.094131,2.802272,[16 42] ; [10 11],[19.08860759 38.91139241] ; [ 6.91139241 14.08860759],0
n1,1,0.094497,2.796052,[ 6 19] ; [4 3],[ 7.8125 17.1875] ; [2.1875 4.8125],0
p5,1,0.104864,2.629966,[ 1 58] ; [ 2 19],[ 2.2125 56.7875] ; [ 0.7875 20.2125],0
b2,1,0.155827,2.014261,[ 7 30] ; [5 8],[ 8.88 28.12] ; [3.12 9.88],0
b3,1,0.155827,2.014261,[ 7 30] ; [5 8],[ 8.88 28.12] ; [3.12 9.88],0
s3,1,0.166256,1.91638,[20 37] ; [11 10],[22.65384615 34.34615385] ; [ 8.34615385 12.65384615],0
s7,1,0.181925,1.781828,[12 44] ; [ 7 12],[14.18666667 41.81333333] ; [ 4.81333333 14.18666667],0
d5,1,0.192762,1.696383,[35 24] ; [ 9 12],[32.45 26.55] ; [11.55  9.45],0
p3,1,0.20544,1.603275,[14 45] ; [ 8 13],[16.225 42.775] ; [ 5.775 15.225],0
p2,1,0.210797,1.565942,[30 29] ; [14  7],[32.45 26.55] ; [11.55  9.45],0
p11,1,0.243694,1.359098,[25 34] ; [12  9],[27.2875 31.7125] ; [ 9.7125 11.2875],0
u2,1,0.278203,1.17585,[17 19] ; [9 5],[18.72 17.28] ; [7.28 6.72],0
s6,1,0.286155,1.137622,[23 36] ; [11 10],[25.075 33.925] ; [ 8.925 12.075],0
