Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,68.920104,[54 35] ; [ 44 233],[23.83060109 65.16939891] ; [ 74.16939891 202.83060109],1
s6,1,0.0,25.483548,[62 33] ; [102 184],[40.89238845 54.10761155] ; [123.10761155 162.89238845],1
s2,1,1e-06,23.464623,[28 67] ; [ 27 261],[13.64229765 81.35770235] ; [ 41.35770235 246.64229765],1
p6,1,2.2e-05,17.982544,[47 47] ; [ 75 209],[30.33862434 63.66137566] ; [ 91.66137566 192.33862434],1
p3,1,0.000264,13.308823,[58 37] ; [114 174],[42.66318538 52.33681462] ; [129.33681462 158.66318538],1
v3,1,0.000479,12.196062,[47 45] ; [ 87 194],[33.05093834 58.94906166] ; [100.94906166 180.05093834],1
u1,1,0.000608,11.752833,[24 71] ; [ 32 259],[13.78238342 81.21761658] ; [ 42.21761658 248.78238342],1
s5,1,0.000676,11.553098,[32 60] ; [ 51 234],[20.25464191 71.74535809] ; [ 62.74535809 222.25464191],1
d2,1,0.002743,8.971081,[55 40] ; [116 172],[42.4151436 52.5848564] ; [128.5848564 159.4151436],0
r4,1,0.003603,8.473851,[92  3] ; [250  41],[84.17098446 10.82901554] ; [257.82901554  33.17098446],0
p4,1,0.004816,7.94731,[62 33] ; [140 148],[50.10443864 44.89556136] ; [151.89556136 136.10443864],0
p7,1,0.004983,7.885731,[65 29] ; [151 136],[53.29133858 40.70866142] ; [162.70866142 124.29133858],0
p9,1,0.006094,7.522324,[83 11] ; [214  72],[73.46842105 20.53157895] ; [223.53157895  62.46842105],0
n4,1,0.006371,7.442362,[79 16] ; [200  91],[68.66580311 26.33419689] ; [210.33419689  80.66580311],0
a5,1,0.008372,6.952187,[78 17] ; [198  93],[67.92746114 27.07253886] ; [208.07253886  82.92746114],0
r3,1,0.017189,5.676965,[93  2] ; [262  28],[87.5974026  7.4025974] ; [267.4025974  22.5974026],0
