Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.030972,4.654531,[10 99] ; [14 54],[14.77966102 94.22033898] ; [ 9.22033898 58.77966102],0
v1,1,0.032082,4.594108,[42 63] ; [38 29],[48.8372093 56.1627907] ; [31.1627907 35.8372093],0
n6,1,0.042448,4.11725,[68 40] ; [52 15],[74.05714286 33.94285714] ; [45.94285714 21.05714286],0
p11,1,0.060555,3.522112,[76 33] ; [56 12],[81.28813559 27.71186441] ; [50.71186441 17.28813559],0
d4,1,0.061413,3.498808,[90 19] ; [48 20],[84.98305085 24.01694915] ; [53.01694915 14.98305085],0
b1,1,0.068326,3.32279,[29 80] ; [27 41],[34.48587571 74.51412429] ; [21.51412429 46.48587571],0
d1,1,0.074986,3.170357,[55 54] ; [25 43],[49.26553672 59.73446328] ; [30.73446328 37.26553672],0
a7,1,0.114032,2.497437,[86 22] ; [47 21],[81.61363636 26.38636364] ; [51.38636364 16.61363636],0
n2,1,0.114117,2.49626,[23 11] ; [23  4],[25.63934426  8.36065574] ; [20.36065574  6.63934426],0
p4,1,0.117146,2.455068,[43 66] ; [35 33],[48.03389831 60.96610169] ; [29.96610169 38.03389831],0
s5,1,0.117877,2.445306,[39 67] ; [17 50],[34.31213873 71.68786127] ; [21.68786127 45.31213873],0
d3,1,0.163836,1.938461,[80 28] ; [43 24],[75.90857143 32.09142857] ; [47.09142857 19.90857143],0
u3,1,0.188451,1.729683,[28 17] ; [12 14],[25.35211268 19.64788732] ; [14.64788732 11.35211268],0
r2,1,0.202517,1.624133,[100   8] ; [59  9],[97.56818182 10.43181818] ; [61.43181818  6.56818182],0
p1,1,0.300195,1.073329,[ 9 97] ; [ 3 65],[ 7.31034483 98.68965517] ; [ 4.68965517 63.31034483],0
s8,1,0.302848,1.06161,[35 74] ; [27 41],[38.18079096 70.81920904] ; [23.81920904 44.18079096],0
s7,1,0.325749,0.965724,[33 73] ; [25 40],[35.95321637 70.04678363] ; [22.04678363 42.95321637],0
p10,1,0.372178,0.79638,[90 18] ; [60  8],[92.04545455 15.95454545] ; [57.95454545 10.04545455],0
v4,1,0.4155,0.663008,[99  8] ; [65  3],[100.27428571   6.72571429] ; [63.72571429  4.27428571],0
p12,1,0.424571,0.637629,[  6 103] ; [ 2 66],[  4.92655367 104.07344633] ; [ 3.07344633 64.92655367],0
p7,1,0.465222,0.533301,[57 48] ; [39 26],[59.29411765 45.70588235] ; [36.70588235 28.29411765],0
r1,1,0.473291,0.514283,[77 31] ; [45 23],[74.86363636 33.13636364] ; [47.13636364 20.86363636],0
a6,1,0.476992,0.505733,[68 41] ; [46 22],[70.20338983 38.79661017] ; [43.79661017 24.20338983],0
s3,1,0.496114,0.46324,[56 51] ; [32 36],[53.80571429 53.19428571] ; [34.19428571 33.80571429],0
s2,1,0.511077,0.431861,[52 57] ; [29 39],[49.88135593 59.11864407] ; [31.11864407 36.88135593],0
a8,1,0.514072,0.425769,[ 4 96] ; [ 4 60],[ 4.87804878 95.12195122] ; [ 3.12195122 60.87804878],0
n1,1,0.52605,0.402015,[10 24] ; [ 6 21],[ 8.91803279 25.08196721] ; [ 7.08196721 19.91803279],0
a4,1,0.532343,0.389916,[32 77] ; [23 45],[33.8700565 75.1299435] ; [21.1299435 46.8700565],0
p8,1,0.549116,0.358903,[49 59] ; [34 34],[50.93181818 57.06818182] ; [32.06818182 35.93181818],0
a3,1,0.567,0.327728,[62 46] ; [42 26],[63.81818182 44.18181818] ; [40.18181818 27.81818182],0
s4,1,0.593773,0.28449,[25 84] ; [18 50],[26.48022599 82.51977401] ; [16.51977401 51.48022599],0
p2,1,0.640714,0.21781,[88 19] ; [54 14],[86.82285714 20.17714286] ; [55.17714286 12.82285714],0
p6,1,0.641773,0.216431,[25 82] ; [18 50],[26.29142857 80.70857143] ; [16.70857143 51.29142857],0
d5,1,0.658443,0.19542,[78 30] ; [47 21],[76.70454545 31.29545455] ; [48.29545455 19.70454545],0
b5,1,0.664791,0.187756,[67 42] ; [44 24],[68.3559322 40.6440678] ; [42.6440678 25.3559322],0
p5,1,0.684179,0.16546,[ 8 99] ; [ 4 64],[ 7.33714286 99.66285714] ; [ 4.66285714 63.33714286],0
r4,1,0.711518,0.136765,[89 20] ; [57 11],[89.90960452 19.09039548] ; [56.09039548 11.90960452],0
p3,1,0.755408,0.097043,[41 68] ; [24 44],[40.02824859 68.97175141] ; [24.97175141 43.02824859],0
v2,1,0.776744,0.080409,[49 52] ; [33 32],[49.89156627 51.10843373] ; [32.10843373 32.89156627],0
u1,1,0.78061,0.077576,[11 98] ; [ 6 62],[10.46892655 98.53107345] ; [ 6.53107345 61.46892655],0
d2,1,0.802363,0.062645,[34 75] ; [20 48],[33.25423729 75.74576271] ; [20.74576271 47.25423729],0
u2,1,0.861166,0.030587,[25 20] ; [15 11],[25.35211268 19.64788732] ; [14.64788732 11.35211268],0
b4,1,0.892989,0.018097,[63 46] ; [40 28],[63.42937853 45.57062147] ; [39.57062147 28.42937853],0
s6,1,0.913917,0.011686,[66 42] ; [41 27],[65.65909091 42.34090909] ; [41.34090909 26.65909091],0
v3,1,0.918392,0.010498,[28 72] ; [18 48],[27.71084337 72.28915663] ; [18.28915663 47.71084337],0
n3,1,0.935428,0.006564,[23 11] ; [18  9],[22.85245902 11.14754098] ; [18.14754098  8.85245902],0
b3,1,0.962848,0.00217,[16 30] ; [12 23],[15.90123457 30.09876543] ; [12.09876543 22.90123457],0
b2,1,0.962848,0.00217,[16 30] ; [12 23],[15.90123457 30.09876543] ; [12.09876543 22.90123457],0
a5,1,0.972936,0.001151,[66 43] ; [41 27],[65.89265537 43.10734463] ; [41.10734463 26.89265537],0
r3,1,0.99733,1.1e-05,[101   8] ; [63  5],[100.99435028   8.00564972] ; [63.00564972  4.99435028],0
