Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,9.1e-05,15.323594,[26 44] ; [22  5],[34.63917526 35.36082474] ; [13.36082474 13.63917526],1
a2,1,0.002597,9.071286,[ 3 68] ; [ 7 22],[ 7.1 63.9] ; [ 2.9 26.1],0
p12,1,0.010309,6.580753,[ 2 69] ; [ 5 24],[ 4.97 66.03] ; [ 2.03 26.97],0
u1,1,0.010309,6.580753,[ 2 69] ; [ 5 24],[ 4.97 66.03] ; [ 2.03 26.97],0
a5,1,0.023761,5.112029,[42 29] ; [24  5],[46.86 24.14] ; [19.14  9.86],0
b1,1,0.023805,5.108814,[26 45] ; [ 4 25],[21.3 49.7] ; [ 8.7 20.3],0
b2,1,0.036802,4.359559,[ 9 26] ; [8 6],[12.14285714 22.85714286] ; [4.85714286 9.14285714],0
b3,1,0.036802,4.359559,[ 9 26] ; [8 6],[12.14285714 22.85714286] ; [4.85714286 9.14285714],0
s5,1,0.051558,3.790043,[18 51] ; [13 15],[22.05154639 46.94845361] ; [ 8.94845361 19.05154639],0
s3,1,0.053657,3.723341,[29 42] ; [18 11],[33.37 37.63] ; [13.63 15.37],0
u2,1,0.07194,3.238189,[19 18] ; [9 2],[21.58333333 15.41666667] ; [6.41666667 4.58333333],0
s6,1,0.089243,2.887969,[43 28] ; [22  6],[46.61616162 24.38383838] ; [18.38383838  9.61616162],0
a7,1,0.098113,2.735956,[50 21] ; [25  4],[53.25 17.75] ; [21.75  7.25],0
v1,1,0.098551,2.728834,[26 44] ; [16 13],[29.6969697 40.3030303] ; [12.3030303 16.6969697],0
s2,1,0.1161,2.469163,[27 44] ; [16 13],[30.53 40.47] ; [12.47 16.53],0
a4,1,0.116724,2.460741,[14 57] ; [10 19],[17.04 53.96] ; [ 6.96 22.04],0
n1,1,0.128872,2.306043,[7 9] ; [ 2 10],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
s1,1,0.144335,2.131118,[ 1 70] ; [ 2 27],[ 2.13 68.87] ; [ 0.87 28.13],0
r4,1,0.158533,1.988165,[55 16] ; [26  3],[57.51 13.49] ; [23.49  5.51],0
p5,1,0.172342,1.862449,[ 4 67] ; [ 4 25],[ 5.68 65.32] ; [ 2.32 26.68],0
p6,1,0.178226,1.812354,[29 40] ; [ 8 21],[26.05102041 42.94897959] ; [10.94897959 18.05102041],0
b5,1,0.187899,1.734011,[49 22] ; [16 13],[46.15 24.85] ; [18.85 10.15],0
d1,1,0.191284,1.707704,[29 42] ; [16 13],[31.95 39.05] ; [13.05 15.95],0
r1,1,0.194132,1.685978,[47 24] ; [23  6],[49.7 21.3] ; [20.3  8.7],0
p4,1,0.195339,1.676886,[39 32] ; [20  9],[41.89 29.11] ; [17.11 11.89],0
a3,1,0.197729,1.65907,[34 37] ; [18 11],[36.92 34.08] ; [15.08 13.92],0
p9,1,0.205454,1.603173,[53 18] ; [25  4],[55.38 15.62] ; [22.62  6.38],0
d4,1,0.205454,1.603173,[53 18] ; [25  4],[55.38 15.62] ; [22.62  6.38],0
d3,1,0.241811,1.370003,[48 23] ; [23  6],[50.41 20.59] ; [20.59  8.41],0
s8,1,0.280304,1.165614,[26 45] ; [14 15],[28.4 42.6] ; [11.6 17.4],0
s7,1,0.286854,1.134327,[23 47] ; [12 15],[25.25773196 44.74226804] ; [ 9.74226804 17.25773196],0
p10,1,0.311833,1.022895,[52 19] ; [24  5],[53.96 17.04] ; [22.04  6.96],0
b4,1,0.363821,0.824662,[37 34] ; [18 11],[39.05 31.95] ; [15.95 13.05],0
p1,1,0.374458,0.788816,[ 4 67] ; [ 3 25],[ 5.02020202 65.97979798] ; [ 1.97979798 26.02020202],0
p2,1,0.402578,0.700612,[59 12] ; [22  7],[57.51 13.49] ; [23.49  5.51],0
p3,1,0.430043,0.622707,[33 38] ; [16 13],[34.79 36.21] ; [14.21 14.79],0
a6,1,0.55392,0.350342,[42 29] ; [19 10],[43.31 27.69] ; [17.69 11.31],0
n3,1,0.57649,0.311943,[9 7] ; [8 4],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
n6,1,0.583524,0.300571,[44 27] ; [19  9],[45.18181818 25.81818182] ; [17.81818182 10.18181818],0
p11,1,0.591508,0.287995,[55 16] ; [21  8],[53.96 17.04] ; [22.04  6.96],0
p7,1,0.604066,0.268908,[50 18] ; [22  6],[51. 17.] ; [21.  7.],0
r2,1,0.613853,0.254602,[61 10] ; [26  3],[61.77  9.23] ; [25.23  3.77],0
d5,1,0.736392,0.113324,[49 22] ; [21  8],[49.7 21.3] ; [20.3  8.7],0
u3,1,0.7372,0.112603,[20 17] ; [6 4],[20.46808511 16.53191489] ; [5.53191489 4.46808511],0
v4,1,0.763928,0.090196,[65  6] ; [26  3],[64.61  6.39] ; [26.39  2.61],0
s4,1,0.839791,0.040869,[16 55] ; [ 6 23],[15.62 55.38] ; [ 6.38 22.62],0
a1,1,0.866626,0.028206,[ 2 69] ; [ 1 28],[ 2.13 68.87] ; [ 0.87 28.13],0
d2,1,0.885285,0.020815,[21 50] ; [ 9 20],[21.3 49.7] ; [ 8.7 20.3],0
r3,1,0.94144,0.005396,[64  7] ; [26  3],[63.9  7.1] ; [26.1  2.9],0
n5,1,0.992755,8.2e-05,[27 44] ; [11 18],[26.98 44.02] ; [11.02 17.98],0
n2,1,1.0,0.0,[12  4] ; [9 3],[12.  4.] ; [9. 3.],0
