Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.019078,5.49434,[ 41 215] ; [2 1],[ 42.5019305 213.4980695] ; [0.4980695 2.5019305],0
v4,1,0.061075,3.507942,[238  16] ; [2 1],[237.19844358  16.80155642] ; [2.80155642 0.19844358],0
s3,1,0.411411,0.67472,[143 108] ; [1 2],[142.2992126 108.7007874] ; [1.7007874 1.2992126],0
a4,1,0.525387,0.403306,[123 132] ; [2 1],[123.54651163 131.45348837] ; [1.45348837 1.54651163],0
n6,1,0.578366,0.308884,[204  52] ; [2 1],[203.61389961  52.38610039] ; [2.38610039 0.61389961],0
s2,1,0.579847,0.306481,[125 128] ; [1 2],[124.5234375 128.4765625] ; [1.4765625 1.5234375],0
n5,1,0.592383,0.286638,[203  53] ; [2 1],[202.62548263  53.37451737] ; [2.37451737 0.62548263],0
s7,1,0.619553,0.246496,[116 127] ; [1 2],[115.57317073 127.42682927] ; [1.42682927 1.57317073],0
s8,1,0.64595,0.211044,[118 135] ; [1 2],[117.60546875 135.39453125] ; [1.39453125 1.60546875],0
v2,1,0.669553,0.182125,[132 111] ; [2 1],[132.36585366 110.63414634] ; [1.63414634 1.36585366],0
a5,1,0.674595,0.176274,[197  59] ; [2 1],[196.69498069  59.30501931] ; [2.30501931 0.69498069],0
n3,1,0.674632,0.176232,[34 10] ; [2 1],[33.70212766 10.29787234] ; [2.29787234 0.70212766],0
v1,1,0.676851,0.173692,[136 113] ; [2 1],[136.35714286 112.64285714] ; [1.64285714 1.35714286],0
n1,1,0.682842,0.166944,[24 20] ; [2 1],[24.34042553 19.65957447] ; [1.65957447 1.34042553],0
a2,1,0.701285,0.147139,[ 61 195] ; [1 2],[ 61.28185328 194.71814672] ; [0.71814672 2.28185328],0
n2,1,0.730647,0.118519,[34 11] ; [2 1],[33.75 11.25] ; [2.25 0.75],0
b4,1,0.757451,0.095376,[148 108] ; [2 1],[148.26254826 107.73745174] ; [1.73745174 1.26254826],0
a3,1,0.769815,0.085625,[189  66] ; [2 1],[188.77906977  66.22093023] ; [2.22093023 0.77906977],0
v3,1,0.86176,0.030323,[ 96 155] ; [1 2],[ 95.85433071 155.14566929] ; [1.14566929 1.85433071],0
s6,1,0.889133,0.019433,[155  92] ; [2 1],[155.116  91.884] ; [1.884 1.116],0
d3,1,0.892905,0.018125,[161  95] ; [2 1],[161.11196911  94.88803089] ; [1.88803089 1.11196911],0
a7,1,0.921575,0.009692,[163  92] ; [2 1],[163.08139535  91.91860465] ; [1.91860465 1.08139535],0
a6,1,0.943666,0.004993,[165  90] ; [2 1],[165.05813953  89.94186047] ; [1.94186047 1.05813953],0
b3,1,0.946926,0.004431,[ 57 105] ; [1 2],[ 56.94545455 105.05454545] ; [1.05454545 1.94545455],0
b2,1,0.946926,0.004431,[ 57 105] ; [1 2],[ 56.94545455 105.05454545] ; [1.05454545 1.94545455],0
