Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,20.763309,[67 11] ; [14 18],[57.43636364 20.56363636] ; [23.56363636  8.43636364],1
b1,1,0.001091,10.666735,[28 50] ; [23 10],[35.83783784 42.16216216] ; [15.16216216 17.83783784],0
n5,1,0.001413,10.188605,[65 13] ; [18 15],[58.32432432 19.67567568] ; [24.67567568  8.32432432],0
p9,1,0.001652,9.901222,[69  9] ; [20 12],[63.10909091 14.89090909] ; [25.89090909  6.10909091],0
v4,1,0.012644,6.21832,[76  2] ; [28  5],[73.08108108  4.91891892] ; [30.91891892  2.08108108],0
a6,1,0.018235,5.573383,[54 24] ; [15 18],[48.48648649 29.51351351] ; [20.51351351 12.48648649],0
d3,1,0.018812,5.518876,[43 35] ; [26  7],[48.48648649 29.51351351] ; [20.51351351 12.48648649],0
n6,1,0.028491,4.798087,[68 10] ; [23 10],[63.94594595 14.05405405] ; [27.05405405  5.94594595],0
r4,1,0.031504,4.62527,[71  7] ; [25  8],[67.45945946 10.54054054] ; [28.54054054  4.45945946],0
r3,1,0.077011,3.12688,[74  4] ; [28  5],[71.67567568  6.32432432] ; [30.32432432  2.67567568],0
d4,1,0.085504,2.957043,[60 18] ; [30  3],[63.24324324 14.75675676] ; [26.75675676  6.24324324],0
n4,1,0.098914,2.722967,[67 11] ; [24  9],[63.94594595 14.05405405] ; [27.05405405  5.94594595],0
a5,1,0.110284,2.550146,[61 17] ; [21 12],[57.62162162 20.37837838] ; [24.37837838  8.62162162],0
u2,1,0.125294,2.349866,[13  7] ; [4 7],[10.96774194  9.03225806] ; [6.03225806 4.96774194],0
p1,1,0.135647,2.226659,[10 68] ; [ 8 25],[12.64864865 65.35135135] ; [ 5.35135135 27.64864865],0
b3,1,0.149661,2.075702,[22 29] ; [ 4 13],[19.5 31.5] ; [ 6.5 10.5],0
b2,1,0.149661,2.075702,[22 29] ; [ 4 13],[19.5 31.5] ; [ 6.5 10.5],0
d1,1,0.235361,1.408167,[45 33] ; [23 10],[47.78378378 30.21621622] ; [20.21621622 12.78378378],0
a3,1,0.254316,1.299438,[58 20] ; [21 12],[55.51351351 22.48648649] ; [23.48648649  9.51351351],0
u1,1,0.293067,1.105479,[16 62] ; [ 4 29],[14.05405405 63.94594595] ; [ 5.94594595 27.05405405],0
n1,1,0.340405,0.908906,[7 9] ; [8 5],[8.27586207 7.72413793] ; [6.72413793 6.27586207],0
p12,1,0.377325,0.779399,[ 9 69] ; [ 2 31],[ 7.72972973 70.27027027] ; [ 3.27027027 29.72972973],0
