Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-05,19.562433,[100  34] ; [24 34],[86.54166667 47.45833333] ; [37.45833333 20.54166667],1
a4,1,0.000305,13.04041,[65 69] ; [12 46],[53.73958333 80.26041667] ; [23.26041667 34.73958333],1
d2,1,0.002212,9.365141,[64 70] ; [14 44],[54.4375 79.5625] ; [23.5625 34.4375],0
a6,1,0.003867,8.345178,[96 38] ; [29 29],[87.23958333 46.76041667] ; [37.76041667 20.23958333],0
p4,1,0.009206,6.782501,[66 67] ; [17 41],[57.79581152 75.20418848] ; [25.20418848 32.79581152],0
p10,1,0.009434,6.738694,[95 38] ; [29 27],[87.25925926 45.74074074] ; [36.74074074 19.25925926],0
n4,1,0.013543,6.096766,[65 69] ; [17 41],[57.22916667 76.77083333] ; [24.77083333 33.22916667],0
p2,1,0.015146,5.899455,[106  26] ; [37 21],[99.34736842 32.65263158] ; [43.65263158 14.34736842],0
p3,1,0.020286,5.387109,[58 75] ; [15 43],[50.83246073 82.16753927] ; [22.16753927 35.83246073],0
d5,1,0.023451,5.134821,[110  24] ; [39 19],[103.98958333  30.01041667] ; [45.01041667 12.98958333],0
s6,1,0.026057,4.952228,[81 51] ; [25 32],[74.03174603 57.96825397] ; [31.96825397 25.03174603],0
d1,1,0.026482,4.924293,[81 53] ; [25 33],[73.97916667 60.02083333] ; [32.02083333 25.97916667],0
p8,1,0.055655,3.662357,[61 72] ; [18 40],[55.0104712 77.9895288] ; [23.9895288 34.0104712],0
n1,1,0.057753,3.600773,[ 7 29] ; [ 9 12],[10.10526316 25.89473684] ; [ 5.89473684 15.10526316],0
p9,1,0.059236,3.558642,[99 34] ; [34 22],[93.59259259 39.40740741] ; [39.40740741 16.59259259],0
s2,1,0.062777,3.462466,[58 75] ; [17 41],[52.22513089 80.77486911] ; [22.77486911 35.22513089],0
p6,1,0.065551,3.391053,[38 94] ; [ 9 47],[33. 99.] ; [14. 42.],0
p7,1,0.072305,3.229903,[75 56] ; [25 33],[69.31216931 61.68783069] ; [30.68783069 27.31216931],0
s7,1,0.077246,3.121921,[50 76] ; [14 40],[44.8 81.2] ; [19.2 34.8],0
n3,1,0.082743,3.010173,[24 10] ; [19  2],[26.58181818  7.41818182] ; [16.41818182  4.58181818],0
v3,1,0.112846,2.513906,[41 85] ; [11 42],[36.60335196 89.39664804] ; [15.39664804 37.60335196],0
d3,1,0.12736,2.324392,[100  34] ; [37 21],[95.61458333 38.38541667] ; [41.38541667 16.61458333],0
s8,1,0.166805,1.911425,[48 85] ; [15 43],[43.86910995 89.13089005] ; [19.13089005 38.86910995],0
v2,1,0.172525,1.860861,[74 53] ; [25 28],[69.85 57.15] ; [29.15 23.85],0
b5,1,0.184055,1.764576,[74 60] ; [38 20],[78.16666667 55.83333333] ; [33.83333333 24.16666667],0
r3,1,0.21299,1.550986,[130   4] ; [54  4],[128.41666667   5.58333333] ; [55.58333333  2.41666667],0
b2,1,0.24191,1.369428,[24 53] ; [ 5 21],[21.67961165 55.32038835] ; [ 7.32038835 18.67961165],0
b3,1,0.24191,1.369428,[24 53] ; [ 5 21],[21.67961165 55.32038835] ; [ 7.32038835 18.67961165],0
s3,1,0.244358,1.355273,[69 63] ; [25 33],[65.30526316 66.69473684] ; [28.69473684 29.30526316],0
v1,1,0.256295,1.288658,[57 74] ; [19 36],[53.52688172 77.47311828] ; [22.47311828 32.52688172],0
s5,1,0.262814,1.253872,[36 91] ; [11 43],[32.97790055 94.02209945] ; [14.02209945 39.97790055],0
r2,1,0.268007,1.226917,[126   6] ; [53  5],[124.35789474   7.64210526] ; [54.64210526  3.35789474],0
r4,1,0.302246,1.064259,[124  10] ; [51  7],[122.13541667  11.86458333] ; [52.86458333  5.13541667],0
p11,1,0.320326,0.987615,[93 41] ; [36 22],[90.03125 43.96875] ; [38.96875 19.03125],0
b1,1,0.331006,0.944957,[49 85] ; [17 41],[46.0625 87.9375] ; [19.9375 38.0625],0
s1,1,0.340724,0.907706,[  5 129] ; [ 4 54],[  6.28125 127.71875] ; [ 2.71875 55.28125],0
n2,1,0.387534,0.746667,[21 15] ; [14  6],[22.5 13.5] ; [12.5  7.5],0
d4,1,0.401635,0.703425,[115  19] ; [47 11],[113.0625  20.9375] ; [48.9375  9.0625],0
u2,1,0.584735,0.298643,[19 15] ; [20 12],[20.09090909 13.90909091] ; [18.90909091 13.09090909],0
s4,1,0.639029,0.220015,[ 27 107] ; [10 48],[ 25.82291667 108.17708333] ; [11.17708333 46.82291667],0
p1,1,0.658878,0.194889,[  9 122] ; [ 3 55],[  8.31746032 122.68253968] ; [ 3.68253968 54.31746032],0
a7,1,0.665841,0.186506,[101  33] ; [42 16],[99.80208333 34.19791667] ; [43.19791667 14.80208333],0
n6,1,0.767052,0.087754,[81 52] ; [34 24],[80.07853403 52.92146597] ; [34.92146597 23.07853403],0
b4,1,0.782249,0.076391,[85 49] ; [38 20],[85.84375 48.15625] ; [37.15625 20.84375],0
u3,1,0.799687,0.06439,[21 12] ; [20 13],[20.5 12.5] ; [20.5 12.5],0
v4,1,0.805697,0.060507,[122  10] ; [53  5],[121.57894737  10.42105263] ; [53.42105263  4.57894737],0
a1,1,0.8655,0.028689,[  4 130] ; [ 2 56],[  4.1875 129.8125] ; [ 1.8125 56.1875],0
a8,1,0.896983,0.016763,[  9 110] ; [ 4 53],[  8.78977273 110.21022727] ; [ 4.21022727 52.78977273],0
