Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.628852,[108  69] ; [ 6 29],[95.17924528 81.82075472] ; [18.82075472 16.17924528],1
a4,1,0.168487,1.896352,[ 75 105] ; [19 16],[ 78.69767442 101.30232558] ; [15.30232558 19.69767442],0
d2,1,0.177614,1.817477,[96 84] ; [23 12],[99.62790698 80.37209302] ; [19.37209302 15.62790698],0
p12,1,0.19552,1.675525,[ 17 162] ; [ 1 34],[ 15.05607477 163.94392523] ; [ 2.94392523 32.05607477],0
p11,1,0.211998,1.55773,[154  26] ; [27  8],[151.53488372  28.46511628] ; [29.46511628  5.53488372],0
p1,1,0.226289,1.464033,[ 16 164] ; [ 1 34],[ 14.23255814 165.76744186] ; [ 2.76744186 32.23255814],0
u1,1,0.237491,1.395428,[ 31 149] ; [ 9 26],[ 33.48837209 146.51162791] ; [ 6.51162791 28.48837209],0
n3,1,0.243926,1.357759,[21 14] ; [8 2],[22.55555556 12.44444444] ; [6.44444444 3.55555556],0
b5,1,0.340564,0.908309,[108  72] ; [24 11],[110.51162791  69.48837209] ; [21.48837209 13.51162791],0
a6,1,0.376373,0.782516,[117  63] ; [20 15],[114.69767442  65.30232558] ; [22.30232558 12.69767442],0
n5,1,0.412267,0.672255,[137  42] ; [29  6],[138.85046729  40.14953271] ; [27.14953271  7.85046729],0
a3,1,0.427844,0.62867,[135  45] ; [24 11],[133.11627907  46.88372093] ; [25.88372093  9.11627907],0
v1,1,0.473795,0.513112,[93 80] ; [15 17],[91.14146341 81.85853659] ; [16.85853659 15.14146341],0
b2,1,0.474794,0.510797,[49 73] ; [11 22],[47.22580645 74.77419355] ; [12.77419355 20.22580645],0
b3,1,0.474794,0.510797,[49 73] ; [11 22],[47.22580645 74.77419355] ; [12.77419355 20.22580645],0
d4,1,0.479839,0.499229,[148  32] ; [27  8],[146.51162791  33.48837209] ; [28.48837209  6.51162791],0
s3,1,0.482112,0.494082,[122  55] ; [22 13],[120.22641509  56.77358491] ; [23.77358491 11.22641509],0
d5,1,0.517869,0.418135,[146  34] ; [30  5],[147.34883721  32.65116279] ; [28.65116279  6.34883721],0
v2,1,0.568816,0.324668,[99 71] ; [18 16],[97.5 72.5] ; [19.5 14.5],0
b4,1,0.576683,0.311629,[104  76] ; [22 13],[105.48837209  74.51162791] ; [20.51162791 14.48837209],0
n6,1,0.582077,0.302889,[153  27] ; [31  4],[154.04651163  25.95348837] ; [29.95348837  5.04651163],0
a1,1,0.621736,0.243435,[  7 173] ; [ 2 33],[  7.53488372 172.46511628] ; [ 1.46511628 33.53488372],0
r4,1,0.635999,0.224013,[164  16] ; [31  4],[163.25581395  16.74418605] ; [31.74418605  3.25581395],0
r1,1,0.642926,0.214936,[149  30] ; [28  7],[148.05140187  30.94859813] ; [28.94859813  6.05140187],0
u2,1,0.666426,0.185811,[29 15] ; [8 3],[29.6 14.4] ; [7.4 3.6],0
s4,1,0.736057,0.113622,[ 22 158] ; [ 5 30],[ 22.60465116 157.39534884] ; [ 4.39534884 30.60465116],0
u3,1,0.738095,0.111808,[31 14] ; [7 4],[30.53571429 14.46428571] ; [7.46428571 3.53571429],0
v3,1,0.752658,0.099311,[75 96] ; [15 17],[75.81280788 95.18719212] ; [14.18719212 17.81280788],0
a2,1,0.761895,0.091805,[ 42 138] ; [ 9 26],[ 42.69767442 137.30232558] ; [ 8.30232558 26.69767442],0
a5,1,0.76286,0.091039,[133  47] ; [25 10],[132.27906977  47.72093023] ; [25.72093023  9.27906977],0
s1,1,0.763813,0.090287,[  7 172] ; [ 1 34],[  6.69158879 172.30841121] ; [ 1.30841121 33.69158879],0
r2,1,0.816618,0.053776,[165  12] ; [33  2],[165.31132075  11.68867925] ; [32.68867925  2.31132075],0
s6,1,0.825874,0.048399,[141  39] ; [28  7],[141.48837209  38.51162791] ; [27.51162791  7.48837209],0
s2,1,0.841628,0.039925,[110  68] ; [21 14],[109.4741784  68.5258216] ; [21.5258216 13.4741784],0
n4,1,0.867187,0.027967,[147  33] ; [29  6],[147.34883721  32.65116279] ; [28.65116279  6.34883721],0
d1,1,0.943456,0.005031,[112  68] ; [22 13],[112.18604651  67.81395349] ; [21.81395349 13.18604651],0
p5,1,0.982657,0.000473,[ 17 162] ; [ 3 29],[ 16.96682464 162.03317536] ; [ 3.03317536 28.96682464],0
