Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.000149,14.380634,[103   7] ; [5 4],[99.83193277 10.16806723] ; [8.16806723 0.83193277],1
n4,1,0.001193,10.501116,[91 22] ; [3 6],[87.06557377 25.93442623] ; [6.93442623 2.06557377],0
p11,1,0.006772,7.332441,[93 20] ; [4 5],[89.8442623 23.1557377] ; [7.1557377 1.8442623],0
b1,1,0.008245,6.979564,[38 75] ; [7 2],[41.68032787 71.31967213] ; [3.31967213 5.68032787],0
v4,1,0.008551,6.914286,[104   8] ; [6 3],[101.81818182  10.18181818] ; [8.18181818 0.81818182],0
n6,1,0.013069,6.1598,[98 15] ; [5 4],[95.40163934 17.59836066] ; [7.59836066 1.40163934],0
p3,1,0.030833,4.662261,[67 46] ; [2 7],[63.90983607 49.09016393] ; [5.09016393 3.90983607],0
v2,1,0.051752,3.783784,[62 49] ; [2 7],[59.2 51.8] ; [4.8 4.2],0
p2,1,0.052072,3.773457,[93 20] ; [5 4],[90.7704918 22.2295082] ; [7.2295082 1.7704918],0
s6,1,0.062494,3.469938,[73 40] ; [3 6],[70.39344262 42.60655738] ; [5.60655738 3.39344262],0
p7,1,0.080284,3.059145,[76 36] ; [3 5],[73.73333333 38.26666667] ; [5.26666667 2.73333333],0
r1,1,0.093838,2.807267,[90 23] ; [5 4],[87.99180328 25.00819672] ; [7.00819672 1.99180328],0
u2,1,0.175409,1.836101,[18  7] ; [1 2],[16.96428571  8.03571429] ; [2.03571429 0.96428571],0
p5,1,0.183144,1.771923,[18 95] ; [3 6],[19.45081967 93.54918033] ; [1.54918033 7.45081967],0
d3,1,0.208612,1.581032,[78 35] ; [8 1],[79.6557377 33.3442623] ; [6.3442623 2.6557377],0
p9,1,0.226586,1.462167,[92 19] ; [6 3],[90.65 20.35] ; [7.35 1.65],0
u3,1,0.236377,1.402074,[17  8] ; [1 2],[16.07142857  8.92857143] ; [1.92857143 1.07142857],0
n3,1,0.269685,1.218348,[19 10] ; [3 4],[17.72222222 11.27777778] ; [4.27777778 2.72222222],0
p6,1,0.292341,1.108808,[44 66] ; [2 7],[42.5210084 67.4789916] ; [3.4789916 5.5210084],0
s4,1,0.293233,1.104717,[ 12 101] ; [2 7],[ 12.96721311 100.03278689] ; [1.03278689 7.96721311],0
n2,1,0.3208,0.985681,[20 10] ; [6 1],[21.08108108  8.91891892] ; [4.91891892 2.08108108],0
v1,1,0.336177,0.924958,[55 55] ; [6 3],[56.38655462 53.61344538] ; [4.61344538 4.38655462],0
d5,1,0.360136,0.837418,[90 23] ; [6 3],[88.91803279 24.08196721] ; [7.08196721 1.91803279],0
s5,1,0.37377,0.791091,[27 85] ; [1 8],[25.91735537 86.08264463] ; [2.08264463 6.91735537],0
b2,1,0.407838,0.685094,[38 47] ; [2 5],[36.95652174 48.04347826] ; [3.04347826 3.95652174],0
b3,1,0.407838,0.685094,[38 47] ; [2 5],[36.95652174 48.04347826] ; [3.04347826 3.95652174],0
a3,1,0.409216,0.681076,[88 24] ; [6 3],[87.00826446 24.99173554] ; [6.99173554 2.00826446],0
v3,1,0.481781,0.494828,[50 60] ; [3 6],[48.99159664 61.00840336] ; [4.00840336 4.99159664],0
a2,1,0.483756,0.490384,[26 87] ; [3 6],[26.86065574 86.13934426] ; [2.13934426 6.86065574],0
u1,1,0.502018,0.450669,[23 90] ; [1 8],[22.2295082 90.7704918] ; [1.7704918 7.2295082],0
n1,1,0.509151,0.435812,[13 17] ; [4 3],[13.78378378 16.21621622] ; [3.21621622 3.78378378],0
a5,1,0.526798,0.400564,[86 27] ; [6 3],[85.21311475 27.78688525] ; [6.78688525 2.21311475],0
b4,1,0.545915,0.364686,[62 51] ; [4 5],[61.13114754 51.86885246] ; [4.86885246 4.13114754],0
s8,1,0.56191,0.336408,[61 51] ; [4 5],[60.16528926 51.83471074] ; [4.83471074 4.16528926],0
p8,1,0.578368,0.30888,[60 51] ; [4 5],[59.2 51.8] ; [4.8 4.2],0
a6,1,0.582548,0.302133,[78 35] ; [7 2],[78.7295082 34.2704918] ; [6.2704918 2.7295082],0
s3,1,0.60754,0.263773,[34 78] ; [2 7],[33.32231405 78.67768595] ; [2.67768595 6.32231405],0
d1,1,0.61689,0.250263,[60 53] ; [4 5],[59.27868852 53.72131148] ; [4.72131148 4.27868852],0
b5,1,0.653578,0.201419,[59 54] ; [4 5],[58.35245902 54.64754098] ; [4.64754098 4.35245902],0
n5,1,0.655857,0.198595,[80 33] ; [7 2],[80.58196721 32.41803279] ; [6.41803279 2.58196721],0
p4,1,0.664669,0.187902,[71 42] ; [5 4],[70.39344262 42.60655738] ; [5.60655738 3.39344262],0
p12,1,0.668905,0.182886,[  8 103] ; [1 8],[  8.325 102.675] ; [0.675 8.325],0
p10,1,0.753903,0.09828,[91 20] ; [7 2],[90.65 20.35] ; [7.35 1.65],0
a4,1,0.760856,0.092633,[44 68] ; [4 5],[44.42975207 67.57024793] ; [3.57024793 5.42975207],0
d4,1,0.788269,0.072124,[92 21] ; [7 2],[91.69672131 21.30327869] ; [7.30327869 1.69672131],0
d2,1,0.807012,0.059674,[55 58] ; [4 5],[54.64754098 58.35245902] ; [4.35245902 4.64754098],0
a7,1,0.88303,0.021647,[78 35] ; [6 3],[77.80327869 35.19672131] ; [6.19672131 2.80327869],0
