Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,96.164488,[258  18] ; [28 36],[232.16470588  43.83529412] ; [53.83529412 10.16470588],1
n6,1,0.0,39.554049,[257  18] ; [41 22],[242.4556213  32.5443787] ; [55.5443787  7.4556213],1
p10,1,1.9e-05,18.337095,[237  34] ; [41 22],[225.56287425  45.43712575] ; [52.43712575 10.56287425],1
p4,1,0.000138,14.523076,[180  91] ; [25 37],[166.83183183 104.16816817] ; [38.16816817 23.83183183],1
s7,1,0.000487,12.163964,[160  97] ; [23 38],[147.89622642 109.10377358] ; [35.10377358 25.89622642],1
p9,1,0.000615,11.730698,[239  32] ; [44 18],[230.30930931  40.69069069] ; [52.69069069  9.30930931],1
p11,1,0.00075,11.361116,[229  47] ; [41 23],[219.17647059  56.82352941] ; [50.82352941 13.17647059],1
p7,1,0.00328,8.644731,[189  77] ; [32 30],[179.22560976  86.77439024] ; [41.77439024 20.22560976],0
p3,1,0.004592,8.033365,[165 106] ; [26 37],[154.97305389 116.02694611] ; [36.02694611 26.97305389],0
s8,1,0.004743,7.97499,[150 120] ; [23 41],[139.8502994 130.1497006] ; [33.1497006 30.8502994],0
v1,1,0.007392,7.17524,[192  80] ; [34 30],[182.95238095  89.04761905] ; [43.04761905 20.95238095],0
s4,1,0.008732,6.876895,[ 30 242] ; [15 49],[ 36.42857143 235.57142857] ; [ 8.57142857 55.42857143],0
a4,1,0.009743,6.681263,[139 135] ; [21 43],[129.70414201 144.29585799] ; [30.29585799 33.70414201],0
p6,1,0.012657,6.216392,[114 155] ; [15 45],[105.47416413 163.52583587] ; [23.52583587 36.47416413],0
s2,1,0.014611,5.962795,[160 111] ; [27 37],[151.27462687 119.72537313] ; [35.72537313 28.27462687],0
n2,1,0.016918,5.704842,[40  7] ; [11  8],[36.31818182 10.68181818] ; [14.68181818  4.31818182],0
s6,1,0.022521,5.205115,[192  75] ; [36 27],[184.47272727  82.52727273] ; [43.52727273 19.47272727],0
p2,1,0.024359,5.068899,[231  41] ; [46 17],[224.90746269  47.09253731] ; [52.09253731 10.90746269],0
a2,1,0.025475,4.991308,[ 81 195] ; [10 54],[ 73.87058824 202.12941176] ; [17.12941176 46.87058824],0
n1,1,0.036336,4.381257,[19 25] ; [ 3 16],[15.36507937 28.63492063] ; [ 6.63492063 12.36507937],0
d2,1,0.074065,3.190543,[149 124] ; [27 37],[142.57566766 130.42433234] ; [33.42433234 30.57566766],0
u1,1,0.07571,3.154666,[ 62 214] ; [ 8 56],[ 56.82352941 219.17647059] ; [13.17647059 50.82352941],0
b4,1,0.080973,3.045254,[166 110] ; [46 18],[172.09411765 103.90588235] ; [39.90588235 24.09411765],0
b1,1,0.080973,3.045254,[110 166] ; [18 46],[103.90588235 172.09411765] ; [24.09411765 39.90588235],0
s3,1,0.085849,2.950531,[163 104] ; [31 32],[156.96363636 110.03636364] ; [37.03636364 25.96363636],0
a7,1,0.109949,2.55495,[195  78] ; [52 12],[200.09198813  72.90801187] ; [46.90801187 17.09198813],0
p5,1,0.116449,2.464448,[ 48 225] ; [ 6 57],[ 43.875 229.125] ; [10.125 52.875],0
r1,1,0.123836,2.368123,[237  39] ; [50 14],[232.97647059  43.02352941] ; [54.02352941  9.97647059],0
p8,1,0.129876,2.293983,[158 110] ; [30 32],[152.67878788 115.32121212] ; [35.32121212 26.67878788],0
a8,1,0.163349,1.942945,[ 37 205] ; [ 5 55],[ 33.65562914 208.34437086] ; [ 8.34437086 51.65562914],0
s5,1,0.165938,1.919266,[106 158] ; [19 43],[101.22699387 162.77300613] ; [23.77300613 38.22699387],0
a3,1,0.190077,1.717021,[213  60] ; [45 19],[209.00296736  63.99703264] ; [48.99703264 15.00296736],0
d5,1,0.213008,1.550864,[228  46] ; [49 15],[224.55029586  49.44970414] ; [52.44970414 11.55029586],0
d1,1,0.218634,1.513311,[178  98] ; [36 28],[173.71764706 102.28235294] ; [40.28235294 23.71764706],0
b5,1,0.23987,1.381356,[159 117] ; [42 22],[163.16470588 112.83529412] ; [37.83529412 26.16470588],0
a5,1,0.28028,1.16573,[215  60] ; [46 18],[211.72566372  63.27433628] ; [49.27433628 14.72566372],0
r4,1,0.294499,1.098941,[260  16] ; [58  6],[258.14117647  17.85882353] ; [59.85882353  4.14117647],0
p1,1,0.317036,1.001135,[ 34 240] ; [ 5 58],[ 31.70919881 242.29080119] ; [ 7.29080119 55.70919881],0
u2,1,0.352894,0.863024,[35 27] ; [13  6],[36.74074074 25.25925926] ; [11.25925926  7.74074074],0
d3,1,0.356065,0.851724,[194  80] ; [49 15],[196.98816568  77.01183432] ; [46.01183432 17.98816568],0
v4,1,0.361667,0.832097,[268   7] ; [61  3],[266.8879056   8.1120944] ; [62.1120944  1.8879056],0
v2,1,0.402457,0.700973,[216  56] ; [47 16],[213.54029851  58.45970149] ; [49.45970149 13.54029851],0
b2,1,0.436215,0.606218,[ 74 105] ; [12 23],[ 71.93457944 107.06542056] ; [14.06542056 20.93457944],0
b3,1,0.436215,0.606218,[ 74 105] ; [12 23],[ 71.93457944 107.06542056] ; [14.06542056 20.93457944],0
s1,1,0.48702,0.483103,[  8 262] ; [ 3 61],[  8.89221557 261.10778443] ; [ 2.10778443 61.89221557],0
p12,1,0.511539,0.430917,[ 34 238] ; [ 6 57],[ 32.47761194 239.52238806] ; [ 7.52238806 55.47761194],0
a1,1,0.521365,0.411192,[ 24 252] ; [ 4 60],[ 22.72941176 253.27058824] ; [ 5.27058824 58.72941176],0
r3,1,0.738984,0.111022,[263  11] ; [62  2],[263.46153846  10.53846154] ; [61.53846154  2.46153846],0
