Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,28.154421,[87 88] ; [22 94],[ 65.54982818 109.45017182] ; [43.45017182 72.54982818],1
s7,1,0.0,26.238932,[94 76] ; [26 82],[73.38129496 96.61870504] ; [46.61870504 61.38129496],1
s3,1,0.0,25.61899,[99 75] ; [31 85],[78. 96.] ; [52. 64.],1
s8,1,5e-06,20.902799,[84 92] ; [25 92],[ 65.47440273 110.52559727] ; [43.52559727 73.47440273],1
b4,1,0.008947,6.833357,[112  65] ; [56 61],[101.14285714  75.85714286] ; [66.85714286 50.14285714],0
r4,1,0.022841,5.18052,[160  17] ; [95 22],[153.52040816  23.47959184] ; [101.47959184  15.52040816],0
u2,1,0.03149,4.626057,[35 18] ; [14 19],[30.19767442 22.80232558] ; [18.80232558 14.19767442],0
r3,1,0.053042,3.742592,[169   7] ; [104  11],[165.11340206  10.88659794] ; [107.88659794   7.11340206],0
p9,1,0.053998,3.712767,[152  23] ; [90 25],[146.03448276  28.96551724] ; [95.96551724 19.03448276],0
d5,1,0.054457,3.698621,[144  33] ; [84 33],[137.26530612  39.73469388] ; [90.73469388 26.26530612],0
p10,1,0.06957,3.293143,[144  30] ; [85 30],[137.87543253  36.12456747] ; [91.12456747 23.87543253],0
d4,1,0.078269,3.100493,[144  33] ; [85 32],[137.86734694  39.13265306] ; [91.13265306 25.86734694],0
v4,1,0.090147,2.871755,[168   8] ; [104  11],[164.50859107  11.49140893] ; [107.49140893   7.50859107],0
u4,1,0.109778,2.557421,[  7 170] ; [  1 116],[  4.81632653 172.18367347] ; [  3.18367347 113.81632653],0
n6,1,0.11114,2.537941,[150  27] ; [89 26],[144.87328767  32.12671233] ; [94.12671233 20.87328767],0
b3,1,0.137291,2.208063,[40 78] ; [33 41],[44.86458333 73.13541667] ; [28.13541667 45.86458333],0
b2,1,0.137291,2.208063,[40 78] ; [33 41],[44.86458333 73.13541667] ; [28.13541667 45.86458333],0
p4,1,0.137819,2.202141,[113  64] ; [64 52],[106.92491468  70.07508532] ; [70.07508532 45.92491468],0
s4,1,0.152695,2.045117,[ 21 155] ; [  8 109],[ 17.41979522 158.58020478] ; [ 11.58020478 105.41979522],0
r2,1,0.154467,2.027575,[167   8] ; [105  10],[164.13793103  10.86206897] ; [107.86206897   7.13793103],0
d3,1,0.185749,1.751014,[125  52] ; [74 43],[119.80612245  57.19387755] ; [79.19387755 37.80612245],0
p5,1,0.212237,1.556102,[ 14 161] ; [  5 111],[ 11.42611684 163.57388316] ; [  7.57388316 108.42611684],0
a7,1,0.213951,1.544491,[133  43] ; [80 36],[128.38356164  47.61643836] ; [84.61643836 31.38356164],0
p6,1,0.22898,1.447188,[ 64 109] ; [34 79],[ 59.27972028 113.72027972] ; [38.72027972 74.27972028],0
n5,1,0.267765,1.228162,[143  33] ; [88 28],[139.23287671  36.76712329] ; [91.76712329 24.23287671],0
v2,1,0.274917,1.192047,[121  50] ; [73 40],[116.80985915  54.19014085] ; [77.19014085 35.80985915],0
p12,1,0.287484,1.131368,[ 13 162] ; [  5 110],[ 10.86206897 164.13793103] ; [  7.13793103 107.86206897],0
n4,1,0.289695,1.121038,[142  35] ; [87 29],[138.33788396  38.66211604] ; [90.66211604 25.33788396],0
a4,1,0.294979,1.096756,[ 71 103] ; [55 62],[75.34020619 98.65979381] ; [50.65979381 66.34020619],0
s1,1,0.3154,1.007929,[  5 169] ; [  6 110],[  6.6 167.4] ; [  4.4 111.6],0
d1,1,0.329733,0.949946,[101  76] ; [60 57],[96.92857143 80.07142857] ; [64.07142857 52.92857143],0
b5,1,0.339598,0.911947,[120  57] ; [73 44],[116.19387755  60.80612245] ; [76.80612245 40.19387755],0
a2,1,0.351104,0.869465,[ 43 134] ; [23 94],[ 39.73469388 137.26530612] ; [26.26530612 90.73469388],0
p2,1,0.494751,0.466178,[150  25] ; [96 20],[147.93814433  27.06185567] ; [98.06185567 17.93814433],0
u1,1,0.498005,0.459186,[ 31 146] ; [ 17 100],[ 28.89795918 148.10204082] ; [19.10204082 97.89795918],0
a8,1,0.567377,0.327091,[ 22 134] ; [12 91],[ 20.47876448 135.52123552] ; [13.52123552 89.47876448],0
a3,1,0.570131,0.322464,[122  54] ; [84 32],[124.16438356  51.83561644] ; [81.83561644 34.16438356],0
n2,1,0.606697,0.265013,[25  8] ; [16  7],[24.16071429  8.83928571] ; [16.83928571  6.16071429],0
u3,1,0.615791,0.251828,[33 22] ; [18 15],[31.875 23.125] ; [19.125 13.875],0
a1,1,0.631907,0.229483,[  7 170] ; [  6 111],[  7.82653061 169.17346939] ; [  5.17346939 111.82653061],0
a6,1,0.645344,0.211821,[124  53] ; [79 38],[122.21428571  54.78571429] ; [80.78571429 36.21428571],0
p8,1,0.662917,0.189999,[86 86] ; [60 54],[87.8041958 84.1958042] ; [58.1958042 55.8041958],0
p3,1,0.68393,0.165735,[90 86] ; [56 59],[88.3024055 87.6975945] ; [57.6975945 57.3024055],0
b1,1,0.725957,0.122856,[ 66 111] ; [46 71],[ 67.42857143 109.57142857] ; [44.57142857 72.42857143],0
v3,1,0.731009,0.118187,[82 87] ; [52 60],[80.59074733 88.40925267] ; [53.40925267 58.59074733],0
d2,1,0.750974,0.100715,[82 95] ; [52 65],[80.67346939 96.32653061] ; [53.32653061 63.67346939],0
a5,1,0.778792,0.078901,[129  48] ; [87 30],[130.04081633  46.95918367] ; [85.95918367 31.04081633],0
n1,1,0.805306,0.060755,[14 19] ; [ 9 14],[13.55357143 19.44642857] ; [ 9.44642857 13.55357143],0
r1,1,0.82113,0.051117,[145  32] ; [93 22],[144.26712329  32.73287671] ; [93.73287671 21.26712329],0
p7,1,0.867119,0.027996,[105  63] ; [73 42],[105.66784452  62.33215548] ; [72.33215548 42.66784452],0
n3,1,0.921474,0.009718,[24  9] ; [17  6],[24.16071429  8.83928571] ; [16.83928571  6.16071429],0
p1,1,0.922467,0.009472,[ 13 163] ; [  9 108],[ 13.21501706 162.78498294] ; [  8.78498294 108.21501706],0
p11,1,0.9805,0.000597,[142  35] ; [94 23],[142.08163265  34.91836735] ; [93.91836735 23.08163265],0
