Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,7.9e-05,15.584416,[14 19] ; [36  6],[22. 11.] ; [28. 14.],1
p11,1,0.006672,7.359307,[17 16] ; [34  8],[22.44 10.56] ; [28.56 13.44],0
a3,1,0.008954,6.831889,[10 22] ; [26 16],[15.56756757 16.43243243] ; [20.43243243 21.56756757],0
v2,1,0.009051,6.812765,[ 5 28] ; [17 22],[10.08333333 22.91666667] ; [11.91666667 27.08333333],0
u2,1,0.02017,5.397101,[ 8 15] ; [11  4],[11.5 11.5] ; [7.5 7.5],0
s7,1,0.020261,5.389277,[ 4 29] ; [14 25],[ 8.25 24.75] ; [ 9.75 29.25],0
a6,1,0.024223,5.078602,[11 22] ; [25 17],[15.84 17.16] ; [20.16 21.84],0
r2,1,0.026265,4.938483,[21 12] ; [36  6],[25.08  7.92] ; [31.92 10.08],0
d3,1,0.028387,4.804433,[ 9 24] ; [22 20],[13.64 19.36] ; [17.36 24.64],0
p7,1,0.031486,4.626279,[15 16] ; [30 11],[19.375 11.625] ; [25.625 15.375],0
v3,1,0.031862,4.605915,[ 3 30] ; [12 29],[ 6.68918919 26.31081081] ; [ 8.31081081 32.68918919],0
r3,1,0.043836,4.062873,[24  9] ; [38  4],[27.28  5.72] ; [34.72  7.28],0
d4,1,0.043855,4.062138,[14 19] ; [27 14],[18.28378378 14.71621622] ; [22.71621622 18.28378378],0
v4,1,0.04904,3.87398,[24  9] ; [37  4],[27.2027027  5.7972973] ; [33.7972973  7.2027027],0
a5,1,0.072485,3.225822,[ 9 24] ; [20 22],[12.76 20.24] ; [16.24 25.76],0
n2,1,0.095045,2.786786,[7 5] ; [13  2],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
s6,1,0.09903,2.721088,[11 22] ; [22 20],[14.52 18.48] ; [18.48 23.52],0
v1,1,0.11091,2.541209,[ 8 24] ; [18 24],[11.24324324 20.75675676] ; [14.75675676 27.24324324],0
p10,1,0.112458,2.519328,[16 17] ; [28 14],[19.36 13.64] ; [24.64 17.36],0
u3,1,0.126474,2.335258,[ 8 15] ; [9 6],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
s5,1,0.146691,2.106322,[ 4 28] ; [11 31],[ 6.48648649 25.51351351] ; [ 8.51351351 33.48648649],0
a8,1,0.225823,1.466976,[ 2 30] ; [ 6 33],[ 3.6056338 28.3943662] ; [ 4.3943662 34.6056338],0
p2,1,0.235877,1.40507,[21 12] ; [32 10],[23.32  9.68] ; [29.68 12.32],0
n6,1,0.284623,1.144882,[18 15] ; [28 14],[20.24 12.76] ; [25.76 16.24],0
a4,1,0.290516,1.11723,[ 4 29] ; [ 9 33],[ 5.72 27.28] ; [ 7.28 34.72],0
b5,1,0.327934,0.957037,[21 12] ; [22 20],[18.92 14.08] ; [24.08 17.92],0
a7,1,0.340461,0.908695,[16 17] ; [25 17],[18.04 14.96] ; [22.96 19.04],0
b4,1,0.340461,0.908695,[16 17] ; [25 17],[18.04 14.96] ; [22.96 19.04],0
s8,1,0.343709,0.896547,[ 7 26] ; [13 29],[ 8.8 24.2] ; [11.2 30.8],0
s2,1,0.362243,0.830102,[10 23] ; [17 25],[11.88 21.12] ; [15.12 26.88],0
b1,1,0.36651,0.815464,[16 17] ; [16 26],[14.08 18.92] ; [17.92 24.08],0
n5,1,0.439858,0.596654,[15 18] ; [15 26],[13.37837838 19.62162162] ; [16.62162162 24.37837838],0
s3,1,0.513891,0.426136,[14 19] ; [21 21],[15.4 17.6] ; [19.6 22.4],0
p3,1,0.527883,0.398465,[10 23] ; [10 32],[ 8.8 24.2] ; [11.2 30.8],0
n1,1,0.534561,0.385714,[ 2 10] ; [ 4 11],[2.66666667 9.33333333] ; [ 3.33333333 11.66666667],0
s4,1,0.616028,0.25149,[ 7 26] ; [ 7 35],[ 6.16 26.84] ; [ 7.84 34.16],0
p8,1,0.641925,0.216234,[12 20] ; [18 24],[12.97297297 19.02702703] ; [17.02702703 24.97297297],0
p12,1,0.704043,0.1443,[ 1 32] ; [ 2 40],[ 1.32 31.68] ; [ 1.68 40.32],0
n3,1,0.706197,0.142105,[8 4] ; [11  4],[8.44444444 3.55555556] ; [10.55555556  4.44444444],0
s1,1,0.803776,0.061734,[ 2 31] ; [ 2 40],[ 1.76 31.24] ; [ 2.24 39.76],0
p1,1,0.803776,0.061734,[ 2 31] ; [ 2 40],[ 1.76 31.24] ; [ 2.24 39.76],0
a1,1,0.803776,0.061734,[ 2 31] ; [ 2 40],[ 1.76 31.24] ; [ 2.24 39.76],0
b2,1,0.869467,0.027006,[ 3 11] ; [ 5 16],[ 3.2 10.8] ; [ 4.8 16.2],0
b3,1,0.869467,0.027006,[ 3 11] ; [ 5 16],[ 3.2 10.8] ; [ 4.8 16.2],0
p5,1,0.879506,0.022981,[ 2 30] ; [ 3 39],[ 2.16216216 29.83783784] ; [ 2.83783784 39.16216216],0
p6,1,0.898492,0.016273,[ 7 26] ; [ 8 32],[ 6.78082192 26.21917808] ; [ 8.21917808 31.78082192],0
p9,1,0.951727,0.003665,[23 10] ; [29 13],[22.88 10.12] ; [29.12 12.88],0
p4,1,0.974178,0.001048,[13 20] ; [16 25],[12.93243243 20.06756757] ; [16.06756757 24.93243243],0
d2,1,0.981879,0.000516,[ 7 26] ; [ 9 33],[ 7.04 25.96] ; [ 8.96 33.04],0
