Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,46.780389,[ 1 41] ; [97 60],[20.68341709 21.31658291] ; [77.31658291 79.68341709],1
d5,1,0.0,33.166447,[18 24] ; [134  23],[32.08040201  9.91959799] ; [119.91959799  37.08040201],1
a5,1,0.000128,14.67656,[20 22] ; [122  35],[29.96984925 12.03015075] ; [112.03015075  44.96984925],1
a3,1,0.000176,14.075497,[21 21] ; [124  33],[30.60301508 11.39698492] ; [114.39698492  42.60301508],1
p9,1,0.000382,12.616134,[24 18] ; [127  26],[32.52307692  9.47692308] ; [118.47692308  34.52307692],1
v2,1,0.001793,9.749958,[11 28] ; [86 67],[19.703125 19.296875] ; [77.296875 75.703125],0
p10,1,0.001805,9.737756,[24 17] ; [125  28],[31.48969072  9.51030928] ; [117.51030928  35.48969072],0
d3,1,0.004215,8.188632,[11 31] ; [80 77],[19.20603015 22.79396985] ; [71.79396985 85.20603015],0
d2,1,0.011588,6.372816,[13 29] ; [83 74],[20.26130653 21.73869347] ; [75.73869347 81.26130653],0
a4,1,0.013176,6.145312,[11 30] ; [76 81],[18.01515152 22.98484848] ; [68.98484848 88.01515152],0
p8,1,0.014201,6.012924,[13 29] ; [80 73],[20.03076923 21.96923077] ; [72.96923077 80.03076923],0
p2,1,0.016684,5.729326,[26 16] ; [122  31],[31.87692308 10.12307692] ; [116.12307692  36.87692308],0
p7,1,0.019322,5.472177,[20 22] ; [101  49],[26.46875 15.53125] ; [94.53125 55.46875],0
s5,1,0.031221,4.640743,[10 29] ; [67 83],[15.88888889 23.11111111] ; [61.11111111 88.88888889],0
b2,1,0.052752,3.751747,[10 20] ; [54 47],[14.65648855 15.34351145] ; [49.34351145 51.65648855],0
b3,1,0.052752,3.751747,[10 20] ; [54 47],[14.65648855 15.34351145] ; [49.34351145 51.65648855],0
v1,1,0.074263,3.186179,[18 23] ; [91 62],[23.03608247 17.96391753] ; [85.96391753 67.03608247],0
p1,1,0.075754,3.153715,[ 5 37] ; [  7 148],[ 2.55837563 39.44162437] ; [  9.44162437 145.55837563],0
s2,1,0.09376,2.808599,[15 26] ; [80 76],[19.7715736 21.2284264] ; [75.2284264 80.7715736],0
s8,1,0.103419,2.652011,[16 26] ; [81 74],[20.68020305 21.31979695] ; [76.31979695 78.68020305],0
s7,1,0.16654,1.91382,[18 23] ; [83 65],[21.91005291 19.08994709] ; [79.08994709 68.91005291],0
a6,1,0.167381,1.906247,[21 21] ; [60 97],[17.09547739 24.90452261] ; [63.90452261 93.09547739],0
s1,1,0.180155,1.796347,[ 4 36] ; [  7 148],[ 2.25641026 37.74358974] ; [  8.74358974 146.25641026],0
a8,1,0.182053,1.780786,[ 7 31] ; [ 16 136],[ 4.6 33.4] ; [ 18.4 133.6],0
n6,1,0.215656,1.533047,[31 11] ; [126  27],[33.81538462  8.18461538] ; [123.18461538  29.81538462],0
r3,1,0.232292,1.42677,[37  5] ; [146  10],[38.81818182  3.18181818] ; [144.18181818  11.81818182],0
a1,1,0.315046,1.009404,[ 1 41] ; [ 10 147],[ 2.32160804 39.67839196] ; [  8.67839196 148.32160804],0
s3,1,0.332614,0.938693,[21 20] ; [93 63],[23.72588832 17.27411168] ; [90.27411168 65.72588832],0
p4,1,0.337027,0.921708,[19 23] ; [82 71],[21.75384615 20.24615385] ; [79.24615385 73.75384615],0
p3,1,0.351032,0.869724,[18 24] ; [79 76],[20.68020305 21.31979695] ; [76.31979695 78.68020305],0
p6,1,0.384916,0.754941,[12 30] ; [54 97],[14.3626943 27.6373057] ; [51.6373057 99.3626943],0
