Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.001485,10.097145,[93 17] ; [14 11],[87.18518519 22.81481481] ; [19.81481481  5.18518519],0
p7,1,0.001524,10.049908,[98  9] ; [17  8],[93.21969697 13.78030303] ; [21.78030303  3.21969697],0
v4,1,0.003316,8.624796,[108   1] ; [22  3],[105.74626866   3.25373134] ; [24.25373134  0.74626866],0
r4,1,0.018109,5.58554,[106   4] ; [21  4],[103.48148148   6.51851852] ; [23.51851852  1.48148148],0
s5,1,0.027718,4.8455,[53 53] ; [ 5 16],[48.40944882 57.59055118] ; [ 9.59055118 11.40944882],0
u1,1,0.028311,4.809022,[32 78] ; [ 2 23],[27.7037037 82.2962963] ; [ 6.2962963 18.7037037],0
p8,1,0.028483,4.798572,[87 21] ; [15 10],[82.82706767 25.17293233] ; [19.17293233  5.82706767],0
p4,1,0.041642,4.149716,[93 16] ; [17  8],[89.47761194 19.52238806] ; [20.52238806  4.47761194],0
p5,1,0.046709,3.95584,[35 75] ; [ 3 22],[30.96296296 79.03703704] ; [ 7.03703704 17.96296296],0
u3,1,0.052563,3.757764,[16  7] ; [2 5],[13.8  9.2] ; [4.2 2.8],0
a2,1,0.055706,3.660833,[34 76] ; [ 3 22],[30.14814815 79.85185185] ; [ 6.85185185 18.14814815],0
a6,1,0.078551,3.094629,[76 32] ; [13 12],[72.27067669 35.72932331] ; [16.72932331  8.27067669],0
p12,1,0.078677,3.092017,[26 83] ; [ 2 23],[22.7761194 86.2238806] ; [ 5.2238806 19.7761194],0
n2,1,0.101707,2.678571,[11  3] ; [3 4],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
p3,1,0.124504,2.359723,[82 27] ; [15 10],[78.90298507 30.09701493] ; [18.09701493  6.90298507],0
s4,1,0.125146,2.3517,[17 92] ; [ 1 24],[14.64179104 94.35820896] ; [ 3.35820896 21.64179104],0
a4,1,0.15323,2.039795,[57 53] ; [ 9 16],[53.77777778 56.22222222] ; [12.22222222 12.77777778],0
p10,1,0.171387,1.870774,[101   8] ; [21  4],[99.23880597  9.76119403] ; [22.76119403  2.23880597],0
p1,1,0.207745,1.587069,[20 89] ; [ 2 23],[17.89552239 91.10447761] ; [ 4.10447761 20.89552239],0
d3,1,0.21242,1.554859,[83 26] ; [16  9],[80.52985075 28.47014925] ; [18.47014925  6.52985075],0
p11,1,0.213407,1.548161,[90 20] ; [23  2],[92.07407407 17.92592593] ; [20.92592593  4.07407407],0
s7,1,0.226165,1.464821,[77 26] ; [15  9],[74.61417323 28.38582677] ; [17.38582677  6.61417323],0
v1,1,0.274537,1.193938,[85 25] ; [16  8],[82.91044776 27.08955224] ; [18.08955224  5.91044776],0
d2,1,0.279255,1.17071,[61 48] ; [11 14],[58.56716418 50.43283582] ; [13.43283582 11.56716418],0
u2,1,0.290347,1.118012,[15  8] ; [3 4],[13.8  9.2] ; [4.2 2.8],0
a3,1,0.344381,0.894056,[87 21] ; [18  7],[85.26315789 22.73684211] ; [19.73684211  5.26315789],0
b1,1,0.365712,0.818182,[46 64] ; [ 8 17],[44. 66.] ; [10. 15.],0
b4,1,0.381955,0.7644,[69 41] ; [18  7],[70.88888889 39.11111111] ; [16.11111111  8.88888889],0
a7,1,0.400032,0.70823,[79 30] ; [16  9],[77.2761194 31.7238806] ; [17.7238806  7.2761194],0
s2,1,0.485242,0.48706,[65 44] ; [13 12],[63.44776119 45.55223881] ; [14.55223881 10.44776119],0
p9,1,0.489142,0.478412,[104   5] ; [23  2],[103.30597015   5.69402985] ; [23.69402985  1.30597015],0
n6,1,0.541052,0.373594,[100   8] ; [24  1],[100.69172932   7.30827068] ; [23.30827068  1.69172932],0
d4,1,0.564191,0.3325,[90 18] ; [22  3],[90.94736842 17.05263158] ; [21.05263158  3.94736842],0
b5,1,0.593041,0.28562,[64 46] ; [16  9],[65.18518519 44.81481481] ; [14.81481481 10.18518519],0
a8,1,0.635586,0.224562,[13 83] ; [ 4 19],[13.71428571 82.28571429] ; [ 3.28571429 19.71428571],0
s3,1,0.638126,0.221202,[63 44] ; [16  9],[64.03787879 42.96212121] ; [14.96212121 10.03787879],0
n3,1,0.743421,0.107143,[9 5] ; [5 2],[9.33333333 4.66666667] ; [4.66666667 2.33333333],0
s6,1,0.753362,0.098728,[80 28] ; [17  5],[80.58461538 27.41538462] ; [16.41538462  5.58461538],0
d1,1,0.754023,0.098182,[74 36] ; [16  9],[73.33333333 36.66666667] ; [16.66666667  8.33333333],0
p2,1,0.76717,0.087662,[99 11] ; [22  3],[98.59259259 11.40740741] ; [22.40740741  2.59259259],0
n4,1,0.76717,0.087662,[103   7] ; [23  2],[102.66666667   7.33333333] ; [23.33333333  1.66666667],0
a1,1,0.875505,0.024545,[12 98] ; [ 3 22],[12.22222222 97.77777778] ; [ 2.77777778 22.22222222],0
b2,1,0.913573,0.011779,[33 35] ; [8 9],[32.8 35.2] ; [8.2 8.8],0
b3,1,0.913573,0.011779,[33 35] ; [8 9],[32.8 35.2] ; [8.2 8.8],0
v2,1,0.926528,0.008504,[88 22] ; [19  5],[87.8358209 22.1641791] ; [19.1641791  4.8358209],0
u4,1,0.930747,0.007552,[  4 106] ; [ 1 24],[  4.07407407 105.92592593] ; [ 0.92592593 24.07407407],0
d5,1,0.935567,0.006536,[90 18] ; [21  4],[90.13533835 17.86466165] ; [20.86466165  4.13533835],0
r2,1,0.937364,0.006175,[105   4] ; [24  1],[104.93283582   4.06716418] ; [24.06716418  0.93283582],0
r3,1,0.937364,0.006175,[105   4] ; [24  1],[104.93283582   4.06716418] ; [24.06716418  0.93283582],0
n5,1,0.979745,0.000645,[97 13] ; [22  3],[96.96296296 13.03703704] ; [22.03703704  2.96296296],0
s8,1,0.991683,0.000109,[69 39] ; [16  9],[69.02255639 38.97744361] ; [15.97744361  9.02255639],0
n1,1,1.0,0.0,[7 7] ; [3 3],[7. 7.] ; [3. 3.],0
