Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.9e-05,15.838509,[13 38] ; [33 18],[23. 28.] ; [23. 28.],1
d5,1,0.002065,9.490411,[22 29] ; [38 14],[29.70873786 21.29126214] ; [30.29126214 21.70873786],0
a6,1,0.004012,8.278306,[16 35] ; [31 21],[23.27184466 27.72815534] ; [23.72815534 28.27184466],0
n5,1,0.011016,6.462746,[38 13] ; [25 25],[31.81188119 19.18811881] ; [31.18811881 18.81188119],0
d4,1,0.012256,6.273422,[25 26] ; [38 14],[31.19417476 19.80582524] ; [31.80582524 20.19417476],0
b1,1,0.013831,6.059542,[31 20] ; [19 33],[24.75728155 26.24271845] ; [25.24271845 26.75728155],0
a2,1,0.015466,5.862639,[ 2 49] ; [10 42],[ 5.94174757 45.05825243] ; [ 6.05825243 45.94174757],0
r3,1,0.035586,4.416852,[22 29] ; [32 18],[27.26732673 23.73267327] ; [26.73267327 23.26732673],0
a5,1,0.037846,4.311937,[19 32] ; [30 22],[24.26213592 26.73786408] ; [24.73786408 27.26213592],0
d1,1,0.046115,3.977399,[13 38] ; [23 29],[17.82524272 33.17475728] ; [18.17475728 33.82524272],0
u1,1,0.053484,3.728738,[ 1 50] ; [ 6 46],[ 3.46601942 47.53398058] ; [ 3.53398058 48.46601942],0
p10,1,0.071804,3.241297,[21 29] ; [30 20],[25.5 24.5] ; [25.5 24.5],0
a8,1,0.096917,2.755551,[ 1 47] ; [ 5 44],[ 2.96907216 45.03092784] ; [ 3.03092784 45.96907216],0
u2,1,0.103387,2.652498,[ 7 16] ; [11  9],[ 9.62790698 13.37209302] ; [ 8.37209302 11.62790698],0
s8,1,0.130662,2.284624,[ 6 45] ; [12 40],[ 8.91262136 42.08737864] ; [ 9.08737864 42.91262136],0
r1,1,0.131833,2.270786,[12 39] ; [19 32],[15.5 35.5] ; [15.5 35.5],0
v3,1,0.134566,2.239024,[ 7 44] ; [13 38],[10. 41.] ; [10. 41.],0
s6,1,0.13846,2.194993,[13 38] ; [20 31],[16.5 34.5] ; [16.5 34.5],0
b5,1,0.140207,2.175682,[23 28] ; [31 21],[26.73786408 24.26213592] ; [27.26213592 24.73786408],0
p8,1,0.144755,2.126671,[ 9 42] ; [15 35],[12.11881188 38.88118812] ; [11.88118812 38.11881188],0
b3,1,0.146155,2.11193,[15 18] ; [ 8 21],[12.24193548 20.75806452] ; [10.75806452 18.24193548],0
b2,1,0.146155,2.11193,[15 18] ; [ 8 21],[12.24193548 20.75806452] ; [10.75806452 18.24193548],0
n4,1,0.192284,1.70003,[32 19] ; [26 26],[28.7184466 22.2815534] ; [29.2815534 22.7184466],0
u3,1,0.234929,1.410765,[ 5 18] ; [ 8 13],[ 6.79545455 16.20454545] ; [ 6.20454545 14.79545455],0
a4,1,0.262527,1.255385,[14 36] ; [20 32],[16.66666667 33.33333333] ; [17.33333333 34.66666667],0
s4,1,0.295621,1.093843,[ 6 45] ; [10 42],[ 7.9223301 43.0776699] ; [ 8.0776699 43.9223301],0
v2,1,0.304837,1.052915,[15 33] ; [21 30],[17.45454545 30.54545455] ; [18.54545455 32.45454545],0
n6,1,0.317214,1.0004,[28 22] ; [23 27],[25.5 24.5] ; [25.5 24.5],0
p9,1,0.317375,0.999734,[23 25] ; [29 21],[25.46938776 22.53061224] ; [26.53061224 23.46938776],0
s3,1,0.357917,0.845189,[15 35] ; [19 30],[17.17171717 32.82828283] ; [16.82828283 32.17171717],0
s5,1,0.401627,0.703448,[ 6 45] ; [ 9 42],[ 7.5 43.5] ; [ 7.5 43.5],0
n3,1,0.40223,0.701649,[13 16] ; [13 10],[14.5 14.5] ; [11.5 11.5],0
p7,1,0.472738,0.515568,[14 36] ; [17 32],[15.65656566 34.34343434] ; [15.34343434 33.65656566],0
p11,1,0.488355,0.480148,[23 28] ; [27 25],[24.75728155 26.24271845] ; [25.24271845 26.75728155],0
n2,1,0.583248,0.301012,[16 14] ; [14  9],[16.98113208 13.01886792] ; [13.01886792  9.98113208],0
p2,1,0.621856,0.243268,[25 25] ; [28 23],[26.23762376 23.76237624] ; [26.76237624 24.23762376],0
a3,1,0.625725,0.237903,[28 22] ; [31 20],[29.20792079 20.79207921] ; [29.79207921 21.20792079],0
b4,1,0.62924,0.233092,[29 22] ; [32 20],[30.2038835 20.7961165] ; [30.7961165 21.2038835],0
p5,1,0.630201,0.231788,[ 2 49] ; [ 3 47],[ 2.52475248 48.47524752] ; [ 2.47524752 47.52475248],0
s7,1,0.640745,0.21777,[13 34] ; [16 34],[14.05154639 32.94845361] ; [14.94845361 35.05154639],0
s2,1,0.649542,0.206478,[12 39] ; [14 37],[13. 38.] ; [13. 38.],0
v4,1,0.807752,0.059208,[29 21] ; [29 19],[29.59183673 20.40816327] ; [28.40816327 19.59183673],0
p6,1,0.855208,0.033298,[ 6 43] ; [ 7 45],[ 6.30693069 42.69306931] ; [ 6.69306931 45.30693069],0
d2,1,0.868381,0.027462,[21 29] ; [21 31],[20.58823529 29.41176471] ; [21.41176471 30.58823529],0
r2,1,0.906264,0.013865,[27 21] ; [27 20],[27.28421053 20.71578947] ; [26.71578947 20.28421053],0
p4,1,0.906564,0.013777,[12 38] ; [13 39],[12.25490196 37.74509804] ; [12.74509804 39.25490196],0
n1,1,0.912077,0.012192,[10 20] ; [ 8 15],[10.18867925 19.81132075] ; [ 7.81132075 15.18867925],0
a1,1,0.971456,0.00128,[ 6 45] ; [ 6 46],[ 5.94174757 45.05825243] ; [ 6.05825243 45.94174757],0
s1,1,0.980448,0.000601,[ 3 48] ; [ 3 49],[ 2.97087379 48.02912621] ; [ 3.02912621 48.97087379],0
p1,1,1.0,0.0,[ 3 48] ; [ 3 48],[ 3. 48.] ; [ 3. 48.],0
v1,1,1.0,0.0,[14 35] ; [14 35],[14. 35.] ; [14. 35.],0
p12,1,1.0,0.0,[ 1 50] ; [ 1 50],[ 1. 50.] ; [ 1. 50.],0
