Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.02864,4.789133,[47 17] ; [14 14],[42.43478261 21.56521739] ; [18.56521739  9.43478261],0
u1,1,0.030693,4.670046,[14 51] ; [ 1 27],[10.48387097 54.51612903] ; [ 4.51612903 23.48387097],0
r2,1,0.03138,4.632056,[60  4] ; [22  6],[57.04347826  6.95652174] ; [24.95652174  3.04347826],0
p8,1,0.031591,4.620536,[54 10] ; [18 10],[50.08695652 13.91304348] ; [21.91304348  6.08695652],0
p10,1,0.03377,4.50631,[59  4] ; [22  6],[56.07692308  6.92307692] ; [24.92307692  3.07692308],0
u4,1,0.045417,4.003082,[ 1 64] ; [ 3 25],[ 2.79569892 62.20430108] ; [ 1.20430108 26.79569892],0
v4,1,0.046049,3.97979,[62  2] ; [24  4],[59.82608696  4.17391304] ; [26.17391304  1.82608696],0
n2,1,0.050924,3.810784,[15  3] ; [2 3],[13.30434783  4.69565217] ; [3.69565217 1.30434783],0
p1,1,0.053842,3.717606,[22 43] ; [ 4 24],[18.17204301 46.82795699] ; [ 7.82795699 20.17204301],0
a2,1,0.068185,3.326175,[15 50] ; [ 2 26],[11.88172043 53.11827957] ; [ 5.11827957 22.88172043],0
b1,1,0.096007,2.770653,[25 40] ; [16 12],[28.65591398 36.34408602] ; [12.34408602 15.65591398],0
n5,1,0.105612,2.618677,[55 10] ; [27  1],[57.31182796  7.68817204] ; [24.68817204  3.31182796],0
s7,1,0.147162,2.10142,[44 14] ; [17 11],[41.13953488 16.86046512] ; [19.86046512  8.13953488],0
p12,1,0.152169,2.050371,[18 46] ; [ 4 24],[15.30434783 48.69565217] ; [ 6.69565217 21.30434783],0
d2,1,0.185868,1.750068,[27 37] ; [16 12],[29.91304348 34.08695652] ; [13.08695652 14.91304348],0
d4,1,0.202825,1.621916,[55  9] ; [21  7],[52.86956522 11.13043478] ; [23.13043478  4.86956522],0
a6,1,0.205607,1.602088,[41 23] ; [14 14],[38.26086957 25.73913043] ; [16.73913043 11.26086957],0
p6,1,0.225952,1.466165,[39 24] ; [13 14],[36.4 26.6] ; [15.6 11.4],0
r1,1,0.276354,1.184935,[53 12] ; [20  8],[51.02150538 13.97849462] ; [21.97849462  6.02150538],0
s1,1,0.342644,0.900512,[ 6 59] ; [ 1 27],[ 4.89247312 60.10752688] ; [ 2.10752688 25.89247312],0
n4,1,0.358486,0.843189,[56  9] ; [26  2],[57.31182796  7.68817204] ; [24.68817204  3.31182796],0
u2,1,0.371093,0.8,[11  5] ; [4 4],[10.  6.] ; [5. 3.],0
s2,1,0.384972,0.754763,[36 28] ; [13 15],[34.08695652 29.91304348] ; [14.91304348 13.08695652],0
v2,1,0.391055,0.735659,[37 25] ; [14 14],[35.13333333 26.86666667] ; [15.86666667 12.13333333],0
s8,1,0.391055,0.735659,[37 25] ; [14 14],[35.13333333 26.86666667] ; [15.86666667 12.13333333],0
p9,1,0.457412,0.552221,[60  4] ; [25  3],[59.13043478  4.86956522] ; [25.86956522  2.13043478],0
a5,1,0.464103,0.535982,[51 14] ; [20  8],[49.62365591 15.37634409] ; [21.37634409  6.62365591],0
n6,1,0.470768,0.520172,[59  4] ; [25  3],[58.15384615  4.84615385] ; [25.84615385  2.15384615],0
p11,1,0.478968,0.501211,[57  8] ; [23  5],[55.91397849  9.08602151] ; [24.08602151  3.91397849],0
s5,1,0.540317,0.374953,[39 22] ; [16 12],[37.69662921 23.30337079] ; [17.30337079 10.69662921],0
r3,1,0.572936,0.317795,[57  7] ; [26  2],[57.73913043  6.26086957] ; [25.26086957  2.73913043],0
b4,1,0.59861,0.277098,[38 27] ; [18 10],[39.13978495 25.86021505] ; [16.86021505 11.13978495],0
n1,1,0.61093,0.258824,[8 9] ; [3 2],[8.5 8.5] ; [2.5 2.5],0
a3,1,0.689192,0.159962,[49 16] ; [20  8],[48.22580645 16.77419355] ; [20.77419355  7.22580645],0
p4,1,0.706389,0.14191,[52 11] ; [24  4],[52.61538462 10.38461538] ; [23.38461538  4.61538462],0
p2,1,0.745074,0.105717,[57  8] ; [23  4],[56.52173913  8.47826087] ; [23.47826087  3.52173913],0
s6,1,0.756869,0.095849,[50 12] ; [21  6],[49.46067416 12.53932584] ; [21.53932584  5.46067416],0
s3,1,0.775987,0.08097,[38 25] ; [16 12],[37.38461538 25.61538462] ; [16.61538462 11.38461538],0
r4,1,0.794076,0.068132,[57  8] ; [24  4],[56.61290323  8.38709677] ; [24.38709677  3.61290323],0
a8,1,0.803498,0.061913,[10 49] ; [ 4 23],[ 9.60465116 49.39534884] ; [ 4.39534884 22.60465116],0
v1,1,0.847575,0.036946,[41 22] ; [17 10],[40.6 22.4] ; [17.4  9.6],0
p7,1,0.903132,0.014812,[48 14] ; [22  6],[48.22222222 13.77777778] ; [21.77777778  6.22222222],0
v3,1,0.951148,0.003753,[35 27] ; [16 12],[35.13333333 26.86666667] ; [15.86666667 12.13333333],0
d5,1,0.961901,0.002282,[50 14] ; [22  6],[50.08695652 13.91304348] ; [21.91304348  6.08695652],0
n3,1,0.964079,0.002028,[11  7] ; [3 2],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
b5,1,0.980553,0.000594,[30 35] ; [13 15],[30.05376344 34.94623656] ; [12.94623656 15.05376344],0
d1,1,0.984332,0.000386,[37 28] ; [16 12],[37.04301075 27.95698925] ; [15.95698925 12.04301075],0
a4,1,0.984332,0.000386,[28 37] ; [12 16],[27.95698925 37.04301075] ; [12.04301075 15.95698925],0
a1,1,0.99374,6.2e-05,[ 7 58] ; [ 3 25],[ 6.98924731 58.01075269] ; [ 3.01075269 24.98924731],0
u3,1,1.0,0.0,[10  6] ; [5 3],[10.  6.] ; [5. 3.],0
p3,1,1.0,0.0,[48 16] ; [21  7],[48. 16.] ; [21.  7.],0
b2,1,1.0,0.0,[23 23] ; [11 11],[23. 23.] ; [11. 11.],0
b3,1,1.0,0.0,[23 23] ; [11 11],[23. 23.] ; [11. 11.],0
