Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6.8e-05,15.877838,[27 19] ; [18 60],[16.69354839 29.30645161] ; [28.30645161 49.69354839],1
v3,1,0.002785,8.94331,[26 19] ; [24 55],[18.14516129 26.85483871] ; [31.85483871 47.14516129],0
u2,1,0.03273,4.559855,[9 3] ; [12 19],[5.86046512 6.13953488] ; [15.13953488 15.86046512],0
b1,1,0.055921,3.654405,[13 33] ; [36 43],[18.032 27.968] ; [30.968 48.032],0
b4,1,0.071683,3.244048,[24 22] ; [54 25],[28.704 17.296] ; [49.296 29.704],0
a3,1,0.094138,2.802144,[34 11] ; [48 31],[29.75806452 15.24193548] ; [52.24193548 26.75806452],0
a4,1,0.09942,2.714831,[16 30] ; [39 39],[20.40322581 25.59677419] ; [34.59677419 43.40322581],0
n3,1,0.11998,2.417582,[10  5] ; [16  2],[11.81818182  3.18181818] ; [14.18181818  3.81818182],0
v2,1,0.12205,2.390814,[29 17] ; [38 40],[24.85483871 21.14516129] ; [42.14516129 35.85483871],0
p3,1,0.125584,2.346262,[32 14] ; [44 35],[27.968 18.032] ; [48.032 30.968],0
p5,1,0.13764,2.204147,[ 9 37] ; [ 8 71],[ 6.256 39.744] ; [10.744 68.256],0
n6,1,0.165703,1.921394,[42  4] ; [65 14],[39.376  6.624] ; [67.624 11.376],0
p4,1,0.185761,1.750924,[39  7] ; [59 20],[36.064  9.936] ; [61.936 17.064],0
v4,1,0.203632,1.616134,[45  1] ; [73  6],[43.424  2.576] ; [74.576  4.424],0
n2,1,0.217597,1.520149,[8 7] ; [14  5],[9.70588235 5.29411765] ; [12.29411765  6.70588235],0
p10,1,0.23529,1.408595,[38  7] ; [58 19],[35.40983607  9.59016393] ; [60.59016393 16.40983607],0
n4,1,0.238252,1.390908,[40  6] ; [62 17],[37.536  8.464] ; [64.464 14.536],0
u3,1,0.241032,1.374545,[8 4] ; [14 16],[6.28571429 5.71428571] ; [15.71428571 14.28571429],0
p8,1,0.256873,1.285532,[28 16] ; [58 21],[30.76422764 13.23577236] ; [55.23577236 23.76422764],0
d3,1,0.258938,1.274428,[34 12] ; [50 28],[31.16129032 14.83870968] ; [52.83870968 25.16129032],0
d2,1,0.313673,1.015146,[19 27] ; [40 39],[21.712 24.288] ; [37.288 41.712],0
b5,1,0.348899,0.877457,[24 22] ; [48 31],[26.496 19.504] ; [45.504 33.496],0
p12,1,0.415264,0.663679,[ 4 41] ; [ 4 74],[ 2.92682927 42.07317073] ; [ 5.07317073 72.92682927],0
p9,1,0.416578,0.65995,[40  5] ; [66 13],[38.46774194  6.53225806] ; [67.53225806 11.46774194],0
n5,1,0.426681,0.63184,[36 10] ; [56 22],[34.12903226 11.87096774] ; [57.87096774 20.12903226],0
r1,1,0.462559,0.539695,[37  9] ; [59 20],[35.328 10.672] ; [60.672 18.328],0
p7,1,0.504032,0.446438,[39  6] ; [64 14],[37.68292683  7.31707317] ; [65.31707317 12.68292683],0
d1,1,0.510802,0.432424,[24 22] ; [46 33],[25.76 20.24] ; [44.24 34.76],0
a6,1,0.546667,0.363322,[31 15] ; [49 30],[29.44 16.56] ; [50.56 28.44],0
d4,1,0.561863,0.336489,[37  9] ; [60 19],[35.696 10.304] ; [61.304 17.696],0
s5,1,0.573913,0.316179,[12 34] ; [16 58],[10.73333333 35.26666667] ; [17.26666667 56.73333333],0
r3,1,0.57794,0.309576,[44  2] ; [77  2],[44.528  1.472] ; [76.472  2.528],0
d5,1,0.582331,0.302481,[36 10] ; [65 14],[37.168  8.832] ; [63.832 15.168],0
s6,1,0.592746,0.286076,[25 21] ; [36 37],[23.57983193 22.42016807] ; [37.42016807 35.57983193],0
a1,1,0.618918,0.247391,[ 1 45] ; [ 3 76],[ 1.472 44.528] ; [ 2.528 76.472],0
p2,1,0.633839,0.22689,[42  4] ; [70  9],[41.216  4.784] ; [70.784  8.216],0
n1,1,0.691801,0.157143,[6 9] ; [ 6 12],[5.45454545 9.54545455] ; [ 6.54545455 11.45454545],0
r2,1,0.722782,0.125843,[42  3] ; [74  4],[42.43902439  2.56097561] ; [73.56097561  4.43902439],0
v1,1,0.744058,0.106592,[27 19] ; [44 35],[26.128 19.872] ; [44.872 34.128],0
u1,1,0.746109,0.10483,[ 8 38] ; [12 67],[ 7.36 38.64] ; [12.64 66.36],0
a7,1,0.802378,0.062636,[33 13] ; [55 24],[32.384 13.616] ; [55.616 23.384],0
r4,1,0.822866,0.050113,[43  3] ; [73  6],[42.688  3.312] ; [73.312  5.688],0
a8,1,0.829818,0.046197,[ 5 34] ; [ 8 62],[ 4.65137615 34.34862385] ; [ 8.34862385 61.65137615],0
p1,1,0.842557,0.039452,[ 7 39] ; [11 68],[ 6.624 39.376] ; [11.376 67.624],0
s4,1,0.868444,0.027435,[ 6 40] ; [11 67],[ 6.30645161 39.69354839] ; [10.69354839 67.30645161],0
a5,1,0.887943,0.019855,[32 14] ; [54 25],[31.648 14.352] ; [54.352 24.648],0
b2,1,0.907931,0.013375,[17 21] ; [20 26],[16.73809524 21.26190476] ; [20.26190476 25.73809524],0
b3,1,0.907931,0.013375,[17 21] ; [20 26],[16.73809524 21.26190476] ; [20.26190476 25.73809524],0
s3,1,0.914132,0.011627,[11 34] ; [20 59],[11.25 33.75] ; [19.75 59.25],0
a2,1,0.926116,0.008599,[ 9 37] ; [16 63],[ 9.2 36.8] ; [15.8 63.2],0
p11,1,0.96271,0.002186,[38  8] ; [65 14],[37.904  8.096] ; [65.096 13.904],0
