Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000589,11.809822,[16  6] ; [11 29],[ 9.58064516 12.41935484] ; [17.41935484 22.58064516],1
p6,1,0.013482,6.104783,[12 11] ; [ 9 32],[ 7.546875 15.453125] ; [13.453125 27.546875],0
b3,1,0.01383,6.059752,[12  6] ; [ 5 14],[8.27027027 9.72972973] ; [ 8.72972973 10.27027027],0
b2,1,0.01383,6.059752,[12  6] ; [ 5 14],[8.27027027 9.72972973] ; [ 8.72972973 10.27027027],0
r4,1,0.062337,3.474085,[21  2] ; [30 12],[18.04615385  4.95384615] ; [32.95384615  9.04615385],0
d2,1,0.069674,3.290674,[13 10] ; [14 28],[ 9.55384615 13.44615385] ; [17.44615385 24.55384615],0
n5,1,0.083751,2.990568,[19  4] ; [26 16],[15.92307692  7.07692308] ; [29.07692308 12.92307692],0
a3,1,0.088645,2.898808,[18  5] ; [24 18],[14.86153846  8.13846154] ; [27.13846154 14.86153846],0
p12,1,0.092642,2.827854,[ 3 20] ; [ 1 40],[ 1.4375 21.5625] ; [ 2.5625 38.4375],0
v2,1,0.121879,2.393004,[15  8] ; [18 22],[12.04761905 10.95238095] ; [20.95238095 19.04761905],0
p3,1,0.143507,2.139946,[13 10] ; [15 25],[10.22222222 12.77777778] ; [17.77777778 22.22222222],0
u1,1,0.144805,2.126135,[ 6 17] ; [ 5 37],[ 3.89230769 19.10769231] ; [ 7.10769231 34.89230769],0
n6,1,0.152585,2.046219,[19  4] ; [27 14],[16.53125  6.46875] ; [29.46875 11.53125],0
p8,1,0.158841,1.985222,[12 11] ; [14 27],[ 9.34375 13.65625] ; [16.65625 24.34375],0
d1,1,0.164849,1.929171,[14  9] ; [18 24],[11.32307692 11.67692308] ; [20.67692308 21.32307692],0
n4,1,0.169622,1.886285,[19  4] ; [28 14],[16.63076923  6.36923077] ; [30.36923077 11.63076923],0
a2,1,0.172745,1.858959,[ 5 18] ; [ 4 38],[ 3.18461538 19.81538462] ; [ 5.81538462 36.18461538],0
p4,1,0.177264,1.820414,[13 10] ; [16 25],[10.421875 12.578125] ; [18.578125 22.421875],0
a5,1,0.180365,1.794614,[17  6] ; [24 18],[14.50769231  8.49230769] ; [26.49230769 15.50769231],0
v3,1,0.228951,1.447368,[11 11] ; [13 25],[ 8.8 13.2] ; [15.2 22.8],0
p7,1,0.234999,1.410348,[16  6] ; [23 17],[13.83870968  8.16129032] ; [25.16129032 14.83870968],0
a6,1,0.2508,1.318841,[12 11] ; [28 14],[14.15384615  8.84615385] ; [25.84615385 16.15384615],0
p2,1,0.258878,1.274749,[20  3] ; [30 10],[18.25396825  4.74603175] ; [31.74603175  8.25396825],0
a4,1,0.312558,1.019835,[10 13] ; [13 29],[ 8.13846154 14.86153846] ; [14.86153846 27.13846154],0
p11,1,0.31705,1.001077,[19  4] ; [30 12],[17.33846154  5.66153846] ; [31.66153846 10.33846154],0
a7,1,0.374945,0.787209,[15  8] ; [31 10],[16.53125  6.46875] ; [29.46875 11.53125],0
p9,1,0.392427,0.73141,[19  4] ; [30 11],[17.609375  5.390625] ; [31.390625  9.609375],0
a1,1,0.453966,0.560732,[ 1 22] ; [ 4 38],[ 1.76923077 21.23076923] ; [ 3.23076923 38.76923077],0
d3,1,0.491976,0.472201,[16  7] ; [25 16],[14.734375  8.265625] ; [26.265625 14.734375],0
s5,1,0.525168,0.403732,[ 5 16] ; [ 7 34],[ 4.06451613 16.93548387] ; [ 7.93548387 33.06451613],0
r1,1,0.603902,0.269151,[15  8] ; [30 12],[15.92307692  7.07692308] ; [29.07692308 12.92307692],0
b1,1,0.634439,0.22609,[ 9 14] ; [19 23],[ 9.90769231 13.09230769] ; [18.09230769 23.90769231],0
s1,1,0.653886,0.201036,[ 1 22] ; [ 3 39],[ 1.41538462 21.58461538] ; [ 2.58461538 39.41538462],0
r3,1,0.661598,0.191588,[20  3] ; [38  4],[20.52307692  2.47692308] ; [37.47692308  4.52307692],0
a8,1,0.662216,0.190843,[ 3 19] ; [ 7 32],[ 3.60655738 18.39344262] ; [ 6.39344262 32.60655738],0
s3,1,0.680052,0.170067,[17  6] ; [29 13],[16.27692308  6.72307692] ; [29.72307692 12.27692308],0
d4,1,0.697203,0.151398,[19  4] ; [33  9],[18.4  4.6] ; [33.6  8.4],0
s4,1,0.698661,0.149868,[ 3 20] ; [ 7 35],[ 3.53846154 19.46153846] ; [ 6.46153846 35.53846154],0
d5,1,0.761562,0.09207,[16  7] ; [27 14],[15.453125  7.546875] ; [27.546875 13.453125],0
p10,1,0.799596,0.06445,[19  4] ; [32  8],[18.61904762  4.38095238] ; [32.38095238  7.61904762],0
n3,1,0.824745,0.049038,[3 1] ; [9 4],[2.82352941 1.17647059] ; [9.17647059 3.82352941],0
b4,1,0.841378,0.040052,[12 11] ; [23 19],[12.38461538 10.61538462] ; [22.61538462 19.38461538],0
b5,1,0.866873,0.0281,[12 11] ; [21 21],[11.67692308 11.32307692] ; [21.32307692 20.67692308],0
v1,1,0.868024,0.027612,[12 11] ; [20 20],[11.68253968 11.31746032] ; [20.31746032 19.68253968],0
p1,1,0.923291,0.009272,[ 1 22] ; [ 2 39],[ 1.078125 21.921875] ; [ 1.921875 39.078125],0
n2,1,1.0,0.0,[3 1] ; [9 3],[3. 1.] ; [9. 3.],0
n1,1,1.0,0.0,[1 2] ; [4 8],[1. 2.] ; [4. 8.],0
