Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,92.468839,[145   5] ; [14 28],[124.21875  25.78125] ; [34.78125  7.21875],1
n6,1,5.1e-05,16.423746,[127  22] ; [23 18],[117.63157895  31.36842105] ; [32.36842105  8.63157895],1
p11,1,0.0004,12.531577,[122  28] ; [23 19],[113.28125  36.71875] ; [31.71875 10.28125],1
n5,1,0.002756,8.962358,[118  31] ; [23 18],[110.57368421  38.42631579] ; [30.42631579 10.57368421],0
p2,1,0.003643,8.453684,[126  23] ; [27 15],[119.35602094  29.64397906] ; [33.64397906  8.35602094],0
p8,1,0.006405,7.432584,[77 70] ; [12 30],[69.22222222 77.77777778] ; [19.77777778 22.22222222],0
s7,1,0.021196,5.310564,[73 67] ; [13 28],[66.51933702 73.48066298] ; [19.48066298 21.51933702],0
s6,1,0.035362,4.427589,[100  45] ; [21 20],[94.32795699 50.67204301] ; [26.67204301 14.32795699],0
p4,1,0.04007,4.214937,[84 66] ; [16 26],[78.125 71.875] ; [21.875 20.125],0
a8,1,0.051628,3.787772,[ 19 124] ; [10 28],[ 22.91160221 120.08839779] ; [ 6.08839779 31.91160221],0
s8,1,0.076027,3.147843,[67 83] ; [12 29],[62.04188482 87.95811518] ; [16.95811518 24.04188482],0
b2,1,0.077445,3.117729,[39 53] ; [ 7 22],[34.97520661 57.02479339] ; [11.02479339 17.97520661],0
b3,1,0.077445,3.117729,[39 53] ; [ 7 22],[34.97520661 57.02479339] ; [11.02479339 17.97520661],0
b1,1,0.100236,2.701785,[54 96] ; [21 21],[58.59375 91.40625] ; [16.40625 25.59375],0
r3,1,0.105724,2.617008,[139  10] ; [35  6],[136.45263158  12.54736842] ; [37.54736842  3.45263158],0
v2,1,0.114897,2.485541,[89 56] ; [19 21],[84.64864865 60.35135135] ; [23.35135135 16.64864865],0
p7,1,0.118404,2.43831,[95 52] ; [21 20],[90.70212766 56.29787234] ; [25.29787234 15.70212766],0
p6,1,0.151491,2.057172,[52 94] ; [10 32],[48.14893617 97.85106383] ; [13.85106383 28.14893617],0
a3,1,0.170428,1.879176,[98 52] ; [22 19],[94.2408377 55.7591623] ; [25.7591623 15.2408377],0
s2,1,0.195065,1.678946,[71 77] ; [15 26],[67.34391534 80.65608466] ; [18.65608466 22.34391534],0
n1,1,0.22654,1.462455,[12 17] ; [8 5],[13.80952381 15.19047619] ; [6.19047619 6.80952381],0
a5,1,0.228276,1.451574,[94 56] ; [22 20],[90.625 59.375] ; [25.375 16.625],0
a4,1,0.242209,1.367691,[ 47 103] ; [ 9 32],[ 43.97905759 106.02094241] ; [12.02094241 28.97905759],0
p12,1,0.249162,1.327994,[ 11 138] ; [ 1 40],[  9.41052632 139.58947368] ; [ 2.58947368 38.41052632],0
p3,1,0.254831,1.296623,[72 78] ; [16 26],[68.75 81.25] ; [19.25 22.75],0
d2,1,0.293059,1.105516,[ 19 131] ; [ 8 34],[ 21.09375 128.90625] ; [ 5.90625 36.09375],0
n2,1,0.296078,1.091777,[23  6] ; [12  1],[24.16666667  4.83333333] ; [10.83333333  2.16666667],0
d5,1,0.3348,0.930242,[91 59] ; [22 20],[88.28125 61.71875] ; [24.71875 17.28125],0
v4,1,0.339,0.914208,[136  11] ; [36  5],[134.4893617  12.5106383] ; [37.5106383  3.4893617],0
r4,1,0.353702,0.860129,[130  20] ; [34  8],[128.125  21.875] ; [35.875  6.125],0
