Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.000732,11.407407,[5 6] ; [58  8],[9. 2.] ; [54. 12.],1
d3,1,0.00207,9.486795,[3 8] ; [49 17],[7.42857143 3.57142857] ; [44.57142857 21.42857143],0
d2,1,0.022799,5.183731,[ 1 10] ; [30 36],[4.42857143 6.57142857] ; [26.57142857 39.42857143],0
a6,1,0.042254,4.125,[4 7] ; [45 21],[7. 4.] ; [42. 24.],0
p2,1,0.04679,3.952908,[5 6] ; [48 16],[7.77333333 3.22666667] ; [45.22666667 18.77333333],0
a7,1,0.091207,2.852949,[5 6] ; [47 19],[7.42857143 3.57142857] ; [44.57142857 21.42857143],0
a8,1,0.092509,2.830169,[2 8] ; [ 3 56],[0.72463768 9.27536232] ; [ 4.27536232 54.72463768],0
r2,1,0.095826,2.773669,[7 3] ; [58  7],[8.66666667 1.33333333] ; [56.33333333  8.66666667],0
p4,1,0.113137,2.50984,[3 8] ; [34 30],[5.42666667 5.57333333] ; [31.57333333 32.42666667],0
p1,1,0.164976,1.928013,[2 9] ; [ 4 62],[ 0.85714286 10.14285714] ; [ 5.14285714 60.85714286],0
p11,1,0.175734,1.833333,[9 2] ; [40 26],[7. 4.] ; [42. 24.],0
n5,1,0.205814,1.600628,[7 4] ; [28 37],[5.06578947 5.93421053] ; [29.93421053 35.06578947],0
b4,1,0.22544,1.469399,[4 7] ; [37 29],[5.85714286 5.14285714] ; [35.14285714 30.85714286],0
s5,1,0.226738,1.461205,[ 1 10] ; [16 46],[2.56164384 8.43835616] ; [14.43835616 47.56164384],0
r1,1,0.284813,1.143981,[7 4] ; [51 14],[8.39473684 2.60526316] ; [49.60526316 15.39473684],0
a4,1,0.315164,1.00891,[2 9] ; [22 44],[3.42857143 7.57142857] ; [20.57142857 45.42857143],0
v3,1,0.325224,0.967824,[6 5] ; [24 38],[4.52054795 6.47945205] ; [25.47945205 36.52054795],0
r4,1,0.331434,0.943285,[7 4] ; [51 15],[8.28571429 2.71428571] ; [49.71428571 16.28571429],0
n4,1,0.40199,0.702365,[7 4] ; [33 33],[5.71428571 5.28571429] ; [34.28571429 31.71428571],0
p8,1,0.437286,0.603395,[6 5] ; [26 36],[4.82191781 6.17808219] ; [27.17808219 34.82191781],0
p7,1,0.471777,0.51781,[5 6] ; [36 27],[6.09459459 4.90540541] ; [34.90540541 28.09459459],0
p6,1,0.484475,0.488773,[2 9] ; [17 43],[2.94366197 8.05633803] ; [16.05633803 43.94366197],0
a5,1,0.536632,0.381818,[7 4] ; [48 18],[7.85714286 3.14285714] ; [47.14285714 18.85714286],0
r3,1,0.538711,0.377933,[10  1] ; [62  3],[10.42105263  0.57894737] ; [61.57894737  3.42105263],0
s3,1,0.541158,0.373398,[6 5] ; [29 36],[5.06578947 5.93421053] ; [29.93421053 35.06578947],0
a3,1,0.589493,0.291137,[9 2] ; [49 17],[8.28571429 2.71428571] ; [49.71428571 16.28571429],0
s4,1,0.594853,0.282828,[ 1 10] ; [10 56],[1.57142857 9.42857143] ; [ 9.42857143 56.57142857],0
s6,1,0.609603,0.260753,[7 4] ; [36 29],[6.22368421 4.77631579] ; [36.77631579 28.22368421],0
p3,1,0.64456,0.212828,[5 6] ; [24 39],[4.31081081 6.68918919] ; [24.68918919 38.31081081],0
p9,1,0.681609,0.168321,[7 4] ; [44 19],[7.58108108 3.41891892] ; [43.41891892 19.58108108],0
u3,1,0.683406,0.166317,[1 1] ; [11  6],[1.26315789 0.73684211] ; [10.73684211  6.26315789],0
s8,1,0.76316,0.090802,[3 8] ; [21 45],[3.42857143 7.57142857] ; [20.57142857 45.42857143],0
v4,1,0.846594,0.037429,[9 1] ; [58  8],[8.81578947 1.18421053] ; [58.18421053  7.81578947],0
s2,1,0.850857,0.035354,[5 6] ; [28 38],[4.71428571 6.28571429] ; [28.28571429 37.71428571],0
b5,1,0.850857,0.035354,[6 5] ; [38 28],[6.28571429 4.71428571] ; [37.71428571 28.28571429],0
s7,1,0.851935,0.034838,[4 7] ; [24 37],[4.27777778 6.72222222] ; [23.72222222 37.27777778],0
b1,1,0.852258,0.034685,[6 5] ; [34 32],[5.71428571 5.28571429] ; [34.28571429 31.71428571],0
n1,1,0.873382,0.025397,[1 2] ; [ 8 13],[1.125 1.875] ; [ 7.875 13.125],0
b3,1,0.891613,0.018568,[2 4] ; [11 25],[1.85714286 4.14285714] ; [11.14285714 24.85714286],0
b2,1,0.891613,0.018568,[2 4] ; [11 25],[1.85714286 4.14285714] ; [11.14285714 24.85714286],0
v1,1,0.958715,0.00268,[6 5] ; [36 29],[6.07894737 4.92105263] ; [35.92105263 29.07894737],0
p10,1,0.962978,0.002155,[7 4] ; [39 23],[6.93150685 4.06849315] ; [39.06849315 22.93150685],0
