Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8.1e-05,15.535719,[80 29] ; [71  3],[89.93989071 19.06010929] ; [61.06010929 12.93989071],1
s2,1,0.001419,10.181032,[69 41] ; [64 12],[78.65591398 31.34408602] ; [54.34408602 21.65591398],0
s4,1,0.002521,9.125041,[16 94] ; [25 50],[24.37837838 85.62162162] ; [16.62162162 58.37837838],0
p12,1,0.0028,8.933108,[  1 108] ; [ 8 68],[  5.3027027 103.6972973] ; [ 3.6972973 72.3027027],0
s8,1,0.023604,5.123525,[66 44] ; [57 18],[73.13513514 36.86486486] ; [49.86486486 25.13513514],0
s3,1,0.031873,4.605327,[74 35] ; [60 13],[80.25274725 28.74725275] ; [53.74725275 19.25274725],0
p9,1,0.033842,4.502664,[83 25] ; [66  8],[88.41758242 19.58241758] ; [60.58241758 13.41758242],0
p5,1,0.033899,4.499808,[  4 104] ; [ 9 67],[  7.63043478 100.36956522] ; [ 5.36956522 70.63043478],0
b3,1,0.054637,3.693126,[23 53] ; [24 27],[28.12598425 47.87401575] ; [18.87401575 32.12598425],0
b2,1,0.054637,3.693126,[23 53] ; [24 27],[28.12598425 47.87401575] ; [18.87401575 32.12598425],0
b5,1,0.063929,3.432401,[70 40] ; [38 38],[63.87096774 46.12903226] ; [44.12903226 31.87096774],0
p7,1,0.071925,3.238527,[52 54] ; [44 26],[57.81818182 48.18181818] ; [38.18181818 31.81818182],0
p10,1,0.072253,3.231075,[81 28] ; [64 11],[85.89673913 23.10326087] ; [59.10326087 15.89673913],0
p6,1,0.091612,2.84581,[28 81] ; [28 47],[33.17391304 75.82608696] ; [22.82608696 52.17391304],0
n3,1,0.092251,2.834651,[18 15] ; [19  6],[21.05172414 11.94827586] ; [15.94827586  9.05172414],0
a3,1,0.148985,2.082608,[78 32] ; [61 15],[82.20430108 27.79569892] ; [56.79569892 19.20430108],0
r4,1,0.151218,2.059925,[90 20] ; [68  8],[93.44086022 16.55913978] ; [64.55913978 11.44086022],0
v3,1,0.170781,1.876075,[36 70] ; [33 42],[40.40883978 65.59116022] ; [28.59116022 46.40883978],0
p2,1,0.206573,1.595285,[81 29] ; [62 14],[84.56989247 25.43010753] ; [58.43010753 17.56989247],0
n6,1,0.243705,1.359035,[87 22] ; [64 10],[89.93989071 19.06010929] ; [61.06010929 12.93989071],0
d3,1,0.265534,1.239672,[80 29] ; [50 26],[76.59459459 32.40540541] ; [53.40540541 22.59459459],0
a1,1,0.350899,0.870203,[  6 104] ; [ 2 74],[  4.7311828 105.2688172] ; [ 3.2688172 72.7311828],0
v4,1,0.351079,0.869554,[100   8] ; [71  3],[101.47252747   6.52747253] ; [69.52747253  4.47252747],0
r3,1,0.446962,0.578344,[100   9] ; [71  4],[101.29891304   7.70108696] ; [69.70108696  5.29891304],0
d5,1,0.458889,0.548602,[84 25] ; [62 14],[86.02162162 22.97837838] ; [59.97837838 16.02162162],0
r2,1,0.480248,0.4983,[101   7] ; [71  3],[102.06593407   5.93406593] ; [69.93406593  4.06593407],0
v2,1,0.489499,0.477626,[58 50] ; [43 30],[60.26519337 47.73480663] ; [40.73480663 32.26519337],0
b4,1,0.491527,0.473181,[61 49] ; [46 30],[63.27956989 46.72043011] ; [43.72043011 32.27956989],0
v1,1,0.529415,0.395515,[52 55] ; [40 35],[54.08791209 52.91208791] ; [37.91208791 37.08791209],0
b1,1,0.541353,0.373039,[40 70] ; [31 45],[41.98924731 68.01075269] ; [29.01075269 46.98924731],0
p1,1,0.545558,0.365335,[  5 105] ; [ 5 71],[  5.91397849 104.08602151] ; [ 4.08602151 71.91397849],0
d1,1,0.566944,0.327823,[64 46] ; [41 35],[62.09677419 47.90322581] ; [42.90322581 33.09677419],0
d2,1,0.591699,0.287698,[53 56] ; [40 36],[54.79459459 54.20540541] ; [38.20540541 37.79459459],0
n5,1,0.602492,0.271253,[81 29] ; [57 17],[82.5 27.5] ; [55.5 18.5],0
n2,1,0.608702,0.262069,[26  7] ; [19  7],[25.16949153  7.83050847] ; [19.83050847  6.16949153],0
r1,1,0.653866,0.20106,[92 18] ; [60 14],[90.86956522 19.13043478] ; [61.13043478 12.86956522],0
n4,1,0.662409,0.19061,[88 22] ; [58 17],[86.81081081 23.18918919] ; [59.18918919 15.81081081],0
u1,1,0.676055,0.1746,[23 87] ; [14 62],[21.88172043 88.11827957] ; [15.11827957 60.88172043],0
a6,1,0.701656,0.146755,[69 40] ; [46 30],[67.75675676 41.24324324] ; [47.24324324 28.75675676],0
a4,1,0.704003,0.144341,[49 61] ; [36 40],[50.2688172 59.7311828] ; [34.7311828 41.2688172],0
p4,1,0.725751,0.123049,[47 63] ; [34 41],[48.16216216 61.83783784] ; [32.83783784 42.16216216],0
a7,1,0.72648,0.122368,[77 33] ; [55 21],[78.06451613 31.93548387] ; [53.93548387 22.06451613],0
u2,1,0.73193,0.117347,[20 12] ; [8 6],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
u3,1,0.748756,0.102579,[22 10] ; [11  4],[22.46808511  9.53191489] ; [10.53191489  4.46808511],0
d4,1,0.765032,0.089329,[88 21] ; [60 16],[87.2 21.8] ; [60.8 15.2],0
p8,1,0.766007,0.088567,[43 66] ; [30 42],[43.96132597 65.03867403] ; [29.03867403 42.96132597],0
a2,1,0.830958,0.045571,[26 84] ; [19 57],[26.61290323 83.38709677] ; [18.38709677 57.61290323],0
p11,1,0.847949,0.036763,[81 29] ; [55 21],[80.43010753 29.56989247] ; [55.56989247 20.43010753],0
a8,1,0.915627,0.011224,[21 79] ; [13 51],[20.73170732 79.26829268] ; [13.26829268 50.73170732],0
s1,1,0.928463,0.00806,[  7 102] ; [ 5 69],[  7.14754098 101.85245902] ; [ 4.85245902 69.14754098],0
a5,1,0.93449,0.006756,[79 31] ; [55 21],[79.24731183 30.75268817] ; [54.75268817 21.24731183],0
n1,1,0.956332,0.002998,[15 17] ; [12 14],[14.89655172 17.10344828] ; [12.10344828 13.89655172],0
u4,1,0.968359,0.001573,[  3 107] ; [ 2 74],[  2.95698925 107.04301075] ; [ 2.04301075 73.95698925],0
