Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.9e-05,16.138451,[ 8 52] ; [18 17],[16.42105263 43.57894737] ; [ 9.57894737 25.42105263],1
p3,1,0.000548,11.946335,[ 8 51] ; [16 19],[15.06382979 43.93617021] ; [ 8.93617021 26.06382979],1
p11,1,0.000598,11.782135,[20 40] ; [25 11],[28.125 31.875] ; [16.875 19.125],1
p8,1,0.000725,11.425207,[ 9 51] ; [16 18],[15.95744681 44.04255319] ; [ 9.04255319 24.95744681],1
p6,1,0.002589,9.076746,[ 4 55] ; [10 23],[ 8.97826087 50.02173913] ; [ 5.02173913 27.97826087],0
b1,1,0.004124,8.228571,[27 33] ; [27  9],[33.75 26.25] ; [20.25 15.75],0
p2,1,0.010942,6.474774,[26 34] ; [24 10],[31.91489362 28.08510638] ; [18.08510638 15.91489362],0
v2,1,0.013742,6.071003,[15 43] ; [17 16],[20.3956044 37.6043956] ; [11.6043956 21.3956044],0
s7,1,0.019031,5.49871,[ 4 50] ; [ 8 23],[ 7.62352941 46.37647059] ; [ 4.37647059 26.62352941],0
p10,1,0.021394,5.294394,[21 38] ; [21 14],[26.36170213 32.63829787] ; [15.63829787 19.36170213],0
u2,1,0.030856,4.660934,[ 9 14] ; [8 2],[11.84848485 11.15151515] ; [5.15151515 4.84848485],0
n3,1,0.074462,3.181818,[12 12] ; [9 2],[14.4  9.6] ; [6.6 4.4],0
r3,1,0.075213,3.165414,[38 22] ; [29  7],[41.875 18.125] ; [25.125 10.875],0
p9,1,0.106995,2.598048,[26 33] ; [22 14],[29.81052632 29.18947368] ; [18.18947368 17.81052632],0
v4,1,0.110017,2.55398,[38 21] ; [28  7],[41.42553191 17.57446809] ; [24.57446809 10.42553191],0
a1,1,0.127124,2.327273,[ 7 53] ; [ 1 35],[ 5. 55.] ; [ 3. 33.],0
s8,1,0.127124,2.327273,[ 3 57] ; [ 5 31],[ 5. 55.] ; [ 3. 33.],0
n2,1,0.13821,2.197779,[12 14] ; [8 3],[14.05405405 11.94594595] ; [5.94594595 5.05405405],0
s3,1,0.139098,2.18791,[15 44] ; [14 21],[18.20212766 40.79787234] ; [10.79787234 24.20212766],0
v1,1,0.198483,1.653499,[17 42] ; [15 21],[19.87368421 39.12631579] ; [12.12631579 23.87368421],0
r1,1,0.213004,1.550893,[34 26] ; [25 11],[36.875 23.125] ; [22.125 13.875],0
b2,1,0.220997,1.497885,[12 20] ; [ 4 15],[10.03921569 21.96078431] ; [ 5.96078431 13.03921569],0
b3,1,0.220997,1.497885,[12 20] ; [ 4 15],[10.03921569 21.96078431] ; [ 5.96078431 13.03921569],0
p5,1,0.276498,1.184222,[ 1 59] ; [ 2 33],[ 1.89473684 58.10526316] ; [ 1.10526316 33.89473684],0
v3,1,0.285566,1.140409,[12 44] ; [11 24],[14.15384615 41.84615385] ; [ 8.84615385 26.15384615],0
b5,1,0.29016,1.118881,[30 30] ; [22 14],[32.5 27.5] ; [19.5 16.5],0
p1,1,0.308376,1.037619,[ 7 52] ; [ 2 34],[ 5.58947368 53.41052632] ; [ 3.41052632 32.58947368],0
s4,1,0.319983,0.989017,[ 7 53] ; [ 2 34],[ 5.625 54.375] ; [ 3.375 32.625],0
n5,1,0.33898,0.914286,[24 36] ; [18 18],[26.25 33.75] ; [15.75 20.25],0
r2,1,0.341252,0.90572,[49 10] ; [27  9],[47.2 11.8] ; [28.8  7.2],0
a3,1,0.341371,0.905277,[37 22] ; [26 10],[39.12631579 19.87368421] ; [23.87368421 12.12631579],0
a7,1,0.357325,0.847274,[39 21] ; [20 16],[36.875 23.125] ; [22.125 13.875],0
r4,1,0.392421,0.731429,[33 27] ; [23 13],[35. 25.] ; [21. 15.],0
n1,1,0.445009,0.583333,[11 14] ; [3 7],[10. 15.] ; [4. 6.],0
d1,1,0.470735,0.52025,[19 41] ; [14 22],[20.625 39.375] ; [12.375 23.625],0
s2,1,0.529901,0.394581,[ 9 51] ; [ 7 28],[10.10526316 49.89473684] ; [ 5.89473684 29.10526316],0
n4,1,0.634594,0.225882,[33 27] ; [18 18],[31.875 28.125] ; [19.125 16.875],0
a4,1,0.668929,0.182857,[26 34] ; [14 22],[25. 35.] ; [15. 21.],0
u3,1,0.678187,0.172174,[11 12] ; [4 6],[10.45454545 12.54545455] ; [4.54545455 5.45454545],0
a2,1,0.749933,0.101587,[ 7 53] ; [ 5 31],[ 7.5 52.5] ; [ 4.5 31.5],0
d4,1,0.792836,0.068974,[41 19] ; [23 12],[40.42105263 19.57894737] ; [23.57894737 11.42105263],0
s5,1,0.814775,0.054883,[ 4 53] ; [ 3 33],[ 4.29032258 52.70967742] ; [ 2.70967742 33.29032258],0
d3,1,0.857657,0.032169,[32 28] ; [18 17],[31.57894737 28.42105263] ; [18.42105263 16.57894737],0
d5,1,0.865739,0.028586,[41 19] ; [24 12],[40.625 19.375] ; [24.375 11.625],0
b4,1,0.873021,0.025543,[34 26] ; [21 15],[34.375 25.625] ; [20.625 15.375],0
a5,1,0.873021,0.025543,[34 26] ; [21 15],[34.375 25.625] ; [20.625 15.375],0
u1,1,0.905592,0.014066,[ 3 57] ; [ 2 34],[ 3.125 56.875] ; [ 1.875 34.125],0
a8,1,0.922555,0.009451,[ 4 55] ; [ 2 30],[ 3.89010989 55.10989011] ; [ 2.10989011 29.89010989],0
d2,1,0.956819,0.002932,[23 37] ; [14 22],[23.125 36.875] ; [13.875 22.125],0
a6,1,0.956819,0.002932,[37 23] ; [22 14],[36.875 23.125] ; [22.125 13.875],0
s1,1,0.98702,0.000265,[ 5 54] ; [ 3 32],[ 5.0212766 53.9787234] ; [ 2.9787234 32.0212766],0
