Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1.9e-05,18.332472,[30  6] ; [18 31],[20.32941176 15.67058824] ; [27.67058824 21.32941176],1
p10,1,6.1e-05,16.079851,[28  8] ; [17 33],[18.8372093 17.1627907] ; [26.1627907 23.8372093],1
r3,1,0.00071,11.46376,[23 14] ; [13 37],[15.31034483 21.68965517] ; [20.68965517 29.31034483],1
p8,1,0.000759,11.338605,[19 19] ; [ 8 41],[11.79310345 26.20689655] ; [15.20689655 33.79310345],1
s6,1,0.001235,10.436491,[16 22] ; [ 6 44],[ 9.5 28.5] ; [12.5 37.5],0
p4,1,0.00138,10.232063,[20 18] ; [10 40],[12.95454545 25.04545455] ; [17.04545455 32.95454545],0
p9,1,0.001607,9.951577,[28 10] ; [19 29],[20.76744186 17.23255814] ; [26.23255814 21.76744186],0
n6,1,0.001644,9.90983,[27 10] ; [19 30],[19.79069767 17.20930233] ; [26.20930233 22.79069767],0
b1,1,0.001647,9.906435,[13 25] ; [34 16],[20.29545455 17.70454545] ; [26.70454545 23.29545455],0
p7,1,0.016523,5.746312,[17 17] ; [12 37],[11.87951807 22.12048193] ; [17.12048193 31.87951807],0
p5,1,0.018774,5.522437,[ 6 31] ; [ 1 47],[ 3.04705882 33.95294118] ; [ 3.95294118 44.04705882],0
s8,1,0.019975,5.414119,[10 28] ; [ 4 46],[ 6.04545455 31.95454545] ; [ 7.95454545 42.04545455],0
u2,1,0.02104,5.323515,[12  9] ; [ 5 17],[ 8.30232558 12.69767442] ; [ 8.69767442 13.30232558],0
u3,1,0.024632,5.049545,[ 9 11] ; [ 3 19],[ 5.71428571 14.28571429] ; [ 6.28571429 15.71428571],0
b2,1,0.025513,4.988698,[ 4 20] ; [14 17],[ 7.85454545 16.14545455] ; [10.14545455 20.85454545],0
b3,1,0.025513,4.988698,[ 4 20] ; [14 17],[ 7.85454545 16.14545455] ; [10.14545455 20.85454545],0
p3,1,0.028913,4.772796,[15 23] ; [ 9 40],[10.48275862 27.51724138] ; [13.51724138 35.48275862],0
s4,1,0.046081,3.97863,[11 27] ; [ 6 44],[ 7.34090909 30.65909091] ; [ 9.65909091 40.34090909],0
s7,1,0.055229,3.675169,[15 22] ; [10 37],[11.01190476 25.98809524] ; [13.98809524 33.01190476],0
p6,1,0.074531,3.180294,[ 8 29] ; [ 4 45],[ 5.1627907 31.8372093] ; [ 6.8372093 42.1627907],0
s5,1,0.083763,2.990333,[ 8 30] ; [ 4 45],[ 5.24137931 32.75862069] ; [ 6.75862069 42.24137931],0
s1,1,0.107667,2.58813,[ 1 37] ; [ 6 44],[ 3.02272727 34.97727273] ; [ 3.97727273 46.02272727],0
b4,1,0.10999,2.554363,[24 14] ; [23 27],[20.29545455 17.70454545] ; [26.70454545 23.29545455],0
v4,1,0.117869,2.445405,[24 13] ; [24 26],[20.4137931 16.5862069] ; [27.5862069 22.4137931],0
d5,1,0.176581,1.826165,[23 15] ; [23 27],[19.86363636 18.13636364] ; [26.13636364 23.86363636],0
v3,1,0.185892,1.749876,[ 3 34] ; [ 9 41],[ 5.10344828 31.89655172] ; [ 6.89655172 43.10344828],0
n1,1,0.20577,1.600941,[8 7] ; [ 9 18],[6.07142857 8.92857143] ; [10.92857143 16.07142857],0
a3,1,0.209955,1.57174,[17 21] ; [28 20],[19.88372093 18.11627907] ; [25.11627907 22.88372093],0
r1,1,0.214044,1.54386,[ 7 31] ; [15 35],[ 9.5 28.5] ; [12.5 37.5],0
