Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.4e-05,16.291474,[ 4 11] ; [76 22],[10.61946903  4.38053097] ; [69.38053097 28.61946903],1
u3,1,0.002653,9.031877,[1 6] ; [32 12],[4.52941176 2.47058824] ; [28.47058824 15.52941176],0
p9,1,0.010384,6.567845,[6 9] ; [68 25],[10.27777778  4.72222222] ; [63.72222222 29.27777778],0
r2,1,0.033373,4.526519,[10  5] ; [86 12],[12.74336283  2.25663717] ; [83.25663717 14.74336283],0
p10,1,0.035778,4.407656,[ 5 10] ; [59 36],[8.72727273 6.27272727] ; [55.27272727 39.72727273],0
u2,1,0.041565,4.152824,[1 6] ; [24 19],[3.5 3.5] ; [21.5 21.5],0
r1,1,0.053092,3.741031,[6 9] ; [64 33],[9.375 5.625] ; [60.625 36.375],0
p2,1,0.060492,3.523853,[ 5 10] ; [58 40],[8.36283186 6.63716814] ; [54.63716814 43.36283186],0
a6,1,0.072434,3.226976,[6 9] ; [63 35],[9.15929204 5.84070796] ; [59.84070796 38.15929204],0
n6,1,0.086503,2.938271,[6 9] ; [62 36],[9.02654867 5.97345133] ; [58.97345133 39.02654867],0
r3,1,0.100688,2.694607,[11  4] ; [87 11],[13.00884956  1.99115044] ; [84.99115044 13.00884956],0
b5,1,0.102449,2.667006,[6 9] ; [61 37],[8.89380531 6.10619469] ; [58.10619469 39.89380531],0
s8,1,0.106358,2.607522,[ 1 14] ; [25 73],[ 3.45132743 11.54867257] ; [22.54867257 75.45132743],0
d5,1,0.116237,2.467313,[9 6] ; [77 21],[11.4159292  3.5840708] ; [74.5840708 23.4159292],0
v1,1,0.132489,2.263093,[ 3 12] ; [39 58],[5.625 9.375] ; [36.375 60.625],0
b4,1,0.139549,2.182928,[12  3] ; [59 39],[9.42477876 5.57522124] ; [61.57522124 36.42477876],0
s2,1,0.1723,1.862818,[ 3 12] ; [37 60],[5.35714286 9.64285714] ; [34.64285714 62.35714286],0
p4,1,0.21328,1.549023,[ 2 13] ; [28 70],[ 3.98230088 11.01769912] ; [26.01769912 71.98230088],0
p1,1,0.218105,1.516799,[ 2 13] ; [ 5 93],[ 0.92920354 14.07079646] ; [ 6.07079646 91.92920354],0
d2,1,0.287708,1.130314,[7 8] ; [32 66],[5.17699115 9.82300885] ; [33.82300885 64.17699115],0
a7,1,0.368788,0.807744,[9 6] ; [70 28],[10.48672566  4.51327434] ; [68.51327434 29.48672566],0
d3,1,0.413681,0.668198,[8 7] ; [63 35],[9.42477876 5.57522124] ; [61.57522124 36.42477876],0
n3,1,0.469998,0.52198,[1 2] ; [29 24],[1.60714286 1.39285714] ; [28.39285714 24.60714286],0
s6,1,0.493886,0.468049,[6 9] ; [48 49],[7.23214286 7.76785714] ; [46.76785714 50.23214286],0
p11,1,0.516737,0.4204,[9 6] ; [50 48],[7.83185841 7.16814159] ; [51.16814159 46.83185841],0
a5,1,0.516737,0.4204,[6 9] ; [48 50],[7.16814159 7.83185841] ; [46.83185841 51.16814159],0
b1,1,0.539989,0.375561,[ 4 11] ; [34 64],[5.04424779 9.95575221] ; [32.95575221 65.04424779],0
s7,1,0.540203,0.375163,[ 4 10] ; [20 74],[ 3.11111111 10.88888889] ; [20.88888889 73.11111111],0
p8,1,0.548251,0.36046,[ 4 10] ; [21 77],[ 3.125 10.875] ; [21.875 76.125],0
p3,1,0.623026,0.241638,[ 2 13] ; [18 79],[ 2.67857143 12.32142857] ; [17.32142857 79.67857143],0
s3,1,0.63263,0.228511,[ 5 10] ; [39 59],[5.84070796 9.15929204] ; [38.15929204 59.84070796],0
n5,1,0.698485,0.150053,[ 4 11] ; [31 67],[ 4.6460177 10.3539823] ; [30.3539823 67.6460177],0
a4,1,0.705634,0.142677,[ 5 10] ; [28 70],[ 4.38053097 10.61946903] ; [28.61946903 69.38053097],0
v2,1,0.741139,0.109128,[6 9] ; [41 51],[6.58878505 8.41121495] ; [40.41121495 51.58878505],0
d4,1,0.766233,0.088391,[12  3] ; [75 23],[11.54867257  3.45132743] ; [75.45132743 22.54867257],0
s1,1,0.801292,0.063341,[ 1 14] ; [ 5 93],[ 0.79646018 14.20353982] ; [ 5.20353982 92.79646018],0
v3,1,0.80776,0.059203,[ 3 12] ; [21 71],[ 3.36448598 11.63551402] ; [20.63551402 71.36448598],0
d1,1,0.809973,0.057822,[7 8] ; [49 49],[7.43362832 7.56637168] ; [48.56637168 49.43362832],0
n1,1,0.887305,0.020083,[1 3] ; [15 38],[1.12280702 2.87719298] ; [14.87719298 38.12280702],0
a3,1,0.897994,0.016434,[8 7] ; [54 44],[8.2300885 6.7699115] ; [53.7699115 44.2300885],0
s5,1,0.907679,0.013448,[ 4 11] ; [24 71],[ 3.81818182 11.18181818] ; [24.18181818 70.81818182],0
b3,1,0.929158,0.007904,[3 6] ; [15 28],[3.11538462 5.88461538] ; [14.88461538 28.11538462],0
b2,1,0.929158,0.007904,[3 6] ; [15 28],[3.11538462 5.88461538] ; [14.88461538 28.11538462],0
u1,1,0.935102,0.00663,[ 1 14] ; [ 6 92],[ 0.92920354 14.07079646] ; [ 6.07079646 91.92920354],0
s4,1,0.970833,0.001337,[ 3 12] ; [20 78],[ 3.05309735 11.94690265] ; [19.94690265 78.05309735],0
a2,1,0.99423,5.2e-05,[ 2 13] ; [13 85],[ 1.99115044 13.00884956] ; [13.00884956 84.99115044],0
