Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5.3e-05,16.339256,[ 8 29] ; [23 10],[16.38571429 20.61428571] ; [14.61428571 18.38571429],1
p2,1,0.000312,12.997543,[19 18] ; [30  3],[25.9 11.1] ; [23.1  9.9],1
p4,1,0.000433,12.383292,[15 22] ; [27  6],[22.2 14.8] ; [19.8 13.2],1
n5,1,0.000486,12.168238,[18 19] ; [29  4],[24.84285714 12.15714286] ; [22.15714286 10.84285714],1
p7,1,0.001015,10.799115,[19 18] ; [29  4],[25.37142857 11.62857143] ; [22.62857143 10.37142857],0
p3,1,0.007687,7.10503,[14 23] ; [23 10],[19.55714286 17.44285714] ; [17.44285714 15.55714286],0
p11,1,0.024155,5.083482,[21 16] ; [27  6],[25.37142857 11.62857143] ; [22.62857143 10.37142857],0
b5,1,0.035213,4.434798,[28  9] ; [17 16],[23.78571429 13.21428571] ; [21.21428571 11.78571429],0
p10,1,0.056782,3.628968,[28  8] ; [31  2],[30.7826087  5.2173913] ; [28.2173913  4.7826087],0
n4,1,0.082055,3.023726,[22 15] ; [26  7],[25.37142857 11.62857143] ; [22.62857143 10.37142857],0
v1,1,0.10125,2.68574,[17 20] ; [21 11],[20.37681159 16.62318841] ; [17.62318841 14.37681159],0
p5,1,0.174842,1.840932,[ 2 35] ; [ 5 28],[ 3.7 33.3] ; [ 3.3 29.7],0
v3,1,0.239397,1.384142,[14 22] ; [17 15],[16.41176471 19.58823529] ; [14.58823529 17.41176471],0
d1,1,0.263354,1.251038,[21 16] ; [23 10],[23.25714286 13.74285714] ; [20.74285714 12.25714286],0
a7,1,0.267527,1.229383,[30  7] ; [23 10],[28.01428571  8.98571429] ; [24.98571429  8.01428571],0
a3,1,0.272537,1.203931,[28  9] ; [21 12],[25.9 11.1] ; [23.1  9.9],0
d2,1,0.31611,1.004973,[18 19] ; [20 13],[20.08571429 16.91428571] ; [17.91428571 15.08571429],0
r2,1,0.316375,1.003873,[35  2] ; [29  4],[33.82857143  3.17142857] ; [30.17142857  2.82857143],0
a8,1,0.32318,0.976032,[ 2 30] ; [ 4 25],[ 3.14754098 28.85245902] ; [ 2.85245902 26.14754098],0
s5,1,0.336616,0.923276,[17 17] ; [18 11],[18.88888889 15.11111111] ; [16.11111111 12.88888889],0
n6,1,0.400087,0.708066,[31  6] ; [29  3],[32.17391304  4.82608696] ; [27.82608696  4.17391304],0
d3,1,0.402014,0.702293,[31  6] ; [25  8],[29.6  7.4] ; [26.4  6.6],0
s7,1,0.418444,0.654681,[19 17] ; [20 12],[20.64705882 15.35294118] ; [18.35294118 13.64705882],0
u3,1,0.445009,0.583333,[6 3] ; [6 6],[5.14285714 3.85714286] ; [6.85714286 5.14285714],0
s6,1,0.471111,0.519369,[29  7] ; [27  4],[30.08955224  5.91044776] ; [25.91044776  5.08955224],0
v4,1,0.488666,0.479462,[36  1] ; [31  2],[35.41428571  1.58571429] ; [31.58571429  1.41428571],0
r3,1,0.488666,0.479462,[36  1] ; [31  2],[35.41428571  1.58571429] ; [31.58571429  1.41428571],0
s2,1,0.584698,0.298701,[24 12] ; [24  9],[25.04347826 10.95652174] ; [22.95652174 10.04347826],0
d5,1,0.592147,0.287004,[32  5] ; [27  6],[31.18571429  5.81428571] ; [27.81428571  5.18571429],0
u2,1,0.603848,0.269231,[4 5] ; [4 8],[3.42857143 5.57142857] ; [4.57142857 7.42857143],0
a4,1,0.622184,0.24281,[18 19] ; [18 15],[19.02857143 17.97142857] ; [16.97142857 16.02857143],0
s8,1,0.622184,0.24281,[18 19] ; [18 15],[19.02857143 17.97142857] ; [16.97142857 16.02857143],0
