Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.8e-05,17.549063,[ 7 69] ; [22 33],[16.82442748 59.17557252] ; [12.17557252 42.82442748],1
s6,1,0.004718,7.984638,[28 48] ; [34 21],[35.96946565 40.03053435] ; [26.03053435 28.96946565],0
v1,1,0.01238,6.255614,[23 53] ; [29 27],[29.93939394 46.06060606] ; [22.06060606 33.93939394],0
r1,1,0.012883,6.185143,[41 36] ; [41 14],[47.83333333 29.16666667] ; [34.16666667 20.83333333],0
d5,1,0.014957,5.921503,[46 30] ; [45 11],[52.39393939 23.60606061] ; [38.60606061 17.39393939],0
a5,1,0.033379,4.526219,[31 46] ; [33 23],[37.05263158 39.94736842] ; [26.94736842 29.05263158],0
r3,1,0.043655,4.069863,[64 13] ; [53  3],[67.73684211  9.26315789] ; [49.26315789  6.73684211],0
d3,1,0.048582,3.889736,[38 37] ; [38 18],[43.51145038 31.48854962] ; [32.48854962 23.51145038],0
r2,1,0.048855,3.880338,[62 15] ; [51  4],[65.91666667 11.08333333] ; [47.08333333  7.91666667],0
b1,1,0.054871,3.68599,[39 38] ; [19 37],[33.57894737 43.42105263] ; [24.42105263 31.57894737],0
p10,1,0.058184,3.588405,[40 36] ; [38 17],[45.2519084 30.7480916] ; [32.7480916 22.2519084],0
u1,1,0.070807,3.264212,[ 4 73] ; [ 8 48],[ 6.94736842 70.05263158] ; [ 5.05263158 50.94736842],0
d1,1,0.084202,2.981861,[27 50] ; [28 28],[31.84210526 45.15789474] ; [23.15789474 32.84210526],0
a3,1,0.126211,2.338504,[43 33] ; [39 17],[47.21212121 28.78787879] ; [34.78787879 21.21212121],0
p11,1,0.132417,2.26394,[38 39] ; [35 21],[42.26315789 34.73684211] ; [30.73684211 25.26315789],0
u2,1,0.135515,2.228164,[19 14] ; [ 6 11],[16.5 16.5] ; [8.5 8.5],0
p9,1,0.183257,1.771012,[47 27] ; [41 14],[50.48062016 23.51937984] ; [37.51937984 17.48062016],0
n5,1,0.192955,1.694907,[29 47] ; [15 40],[25.52671756 50.47328244] ; [18.47328244 36.52671756],0
s5,1,0.201373,1.63239,[17 58] ; [18 37],[20.19230769 54.80769231] ; [14.80769231 40.19230769],0
a7,1,0.218163,1.516414,[45 31] ; [39 17],[48.36363636 27.63636364] ; [35.63636364 20.36363636],0
v4,1,0.293183,1.104946,[67 10] ; [51  4],[68.83333333  8.16666667] ; [49.16666667  5.83333333],0
s7,1,0.303282,1.059705,[15 56] ; [16 39],[17.46825397 53.53174603] ; [13.53174603 41.46825397],0
p2,1,0.338006,0.917981,[46 31] ; [38 18],[48.63157895 28.36842105] ; [35.36842105 20.63157895],0
s8,1,0.360825,0.83502,[14 62] ; [14 42],[16.12121212 59.87878788] ; [11.87878788 44.12121212],0
p5,1,0.383467,0.759557,[ 1 76] ; [ 2 54],[ 1.73684211 75.26315789] ; [ 1.26315789 54.73684211],0
r4,1,0.393679,0.727549,[54 23] ; [43 13],[56.15789474 20.84210526] ; [40.84210526 15.15789474],0
p4,1,0.409394,0.680559,[22 54] ; [20 36],[24.18181818 51.81818182] ; [17.81818182 38.18181818],0
d2,1,0.456719,0.553924,[31 46] ; [19 37],[28.94736842 48.05263158] ; [21.05263158 34.94736842],0
a8,1,0.474159,0.512268,[ 5 71] ; [ 2 52],[ 4.09230769 71.90769231] ; [ 2.90769231 51.09230769],0
d4,1,0.596288,0.280631,[56 21] ; [43 13],[57.31578947 19.68421053] ; [41.68421053 14.31578947],0
a2,1,0.615745,0.251894,[10 67] ; [ 9 47],[11. 66.] ; [ 8. 48.],0
a6,1,0.636927,0.222784,[45 32] ; [35 21],[46.31578947 30.68421053] ; [33.68421053 22.31578947],0
s4,1,0.653133,0.201973,[18 59] ; [15 41],[19.10526316 57.89473684] ; [13.89473684 42.10526316],0
s1,1,0.656063,0.198342,[ 4 73] ; [ 2 54],[ 3.47368421 73.52631579] ; [ 2.52631579 53.47368421],0
a1,1,0.656063,0.198342,[ 4 73] ; [ 2 54],[ 3.47368421 73.52631579] ; [ 2.52631579 53.47368421],0
p3,1,0.695896,0.152776,[16 61] ; [13 42],[16.91666667 60.08333333] ; [12.08333333 42.91666667],0
a4,1,0.725102,0.123657,[27 50] ; [18 38],[26.05263158 50.94736842] ; [18.94736842 37.05263158],0
n2,1,0.736197,0.113498,[26 13] ; [15  9],[25.38095238 13.61904762] ; [15.61904762  8.38095238],0
u3,1,0.73979,0.110311,[21 12] ; [10  7],[20.46 12.54] ; [10.54  6.46],0
p7,1,0.744333,0.106355,[27 47] ; [22 34],[27.89230769 46.10769231] ; [21.10769231 34.89230769],0
b5,1,0.763938,0.090189,[46 31] ; [32 24],[45.15789474 31.84210526] ; [32.84210526 23.15789474],0
b3,1,0.773235,0.083028,[11 31] ; [ 6 20],[10.5 31.5] ; [ 6.5 19.5],0
b2,1,0.773235,0.083028,[11 31] ; [ 6 20],[10.5 31.5] ; [ 6.5 19.5],0
p6,1,0.819905,0.051832,[10 66] ; [ 8 47],[10.44274809 65.55725191] ; [ 7.55725191 47.44274809],0
n3,1,0.83576,0.042981,[25 14] ; [16  8],[25.38095238 13.61904762] ; [15.61904762  8.38095238],0
b4,1,0.880943,0.022432,[45 32] ; [32 24],[44.57894737 32.42105263] ; [32.42105263 23.57894737],0
n6,1,0.891795,0.018505,[50 27] ; [37 19],[50.36842105 26.63157895] ; [36.63157895 19.36842105],0
s3,1,0.928998,0.00794,[33 44] ; [24 31],[33.25 43.75] ; [23.75 31.25],0
s2,1,0.938615,0.005931,[29 47] ; [21 35],[28.78787879 47.21212121] ; [21.21212121 34.78787879],0
p1,1,0.966981,0.001714,[ 4 73] ; [ 3 53],[ 4.05263158 72.94736842] ; [ 2.94736842 53.05263158],0
n1,1,0.975646,0.000932,[ 8 31] ; [ 5 19],[ 8.04761905 30.95238095] ; [ 4.95238095 19.04761905],0
