Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.062579,3.467692,[4 1] ; [ 6 12],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
a3,1,0.12695,2.329412,[4 1] ; [ 7 10],[2.5 2.5] ; [8.5 8.5],0
s2,1,0.131636,2.273099,[2 3] ; [ 2 16],[0.86956522 4.13043478] ; [ 3.13043478 14.86956522],0
b5,1,0.231263,1.433077,[4 1] ; [9 9],[2.82608696 2.17391304] ; [10.17391304  7.82608696],0
d5,1,0.231263,1.433077,[1 4] ; [9 9],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
a8,1,0.24122,1.373452,[1 3] ; [ 1 16],[0.38095238 3.61904762] ; [ 1.61904762 15.38095238],0
p4,1,0.27976,1.168254,[3 2] ; [ 6 12],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
d4,1,0.27976,1.168254,[2 3] ; [12  6],[3.04347826 1.95652174] ; [10.95652174  7.04347826],0
n1,1,0.371093,0.8,[1 1] ; [2 8],[0.5 1.5] ; [2.5 7.5],0
a5,1,0.399557,0.709658,[3 2] ; [ 7 11],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
a6,1,0.399557,0.709658,[2 3] ; [11  7],[2.82608696 2.17391304] ; [10.17391304  7.82608696],0
p3,1,0.423206,0.641394,[2 3] ; [ 4 14],[1.30434783 3.69565217] ; [ 4.69565217 13.30434783],0
n4,1,0.537892,0.379461,[3 2] ; [ 8 10],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
b1,1,0.566501,0.328571,[4 1] ; [12  6],[3.47826087 1.52173913] ; [12.52173913  5.47826087],0
s6,1,0.566501,0.328571,[1 4] ; [ 6 12],[1.52173913 3.47826087] ; [ 5.47826087 12.52173913],0
p11,1,0.566501,0.328571,[1 4] ; [ 6 12],[1.52173913 3.47826087] ; [ 5.47826087 12.52173913],0
d2,1,0.566501,0.328571,[1 4] ; [ 6 12],[1.52173913 3.47826087] ; [ 5.47826087 12.52173913],0
n3,1,0.583882,0.3,[1 1] ; [3 7],[0.66666667 1.33333333] ; [3.33333333 6.66666667],0
n5,1,0.599275,0.276091,[3 2] ; [13  5],[3.47826087 1.52173913] ; [12.52173913  5.47826087],0
p1,1,0.601598,0.272593,[1 4] ; [ 2 16],[0.65217391 4.34782609] ; [ 2.34782609 15.65217391],0
n6,1,0.692103,0.156818,[2 3] ; [9 9],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
d3,1,0.692103,0.156818,[2 3] ; [9 9],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
p2,1,0.692103,0.156818,[2 3] ; [9 9],[2.39130435 2.60869565] ; [8.60869565 9.39130435],0
p9,1,0.71714,0.13125,[2 3] ; [ 5 11],[1.66666667 3.33333333] ; [ 5.33333333 10.66666667],0
r1,1,0.781867,0.076667,[2 3] ; [ 6 12],[1.73913043 3.26086957] ; [ 6.26086957 11.73913043],0
s4,1,0.915127,0.011358,[1 4] ; [ 4 14],[1.08695652 3.91304348] ; [ 3.91304348 14.08695652],0
b4,1,0.964079,0.002028,[3 2] ; [11  7],[3.04347826 1.95652174] ; [10.95652174  7.04347826],0
a7,1,0.964079,0.002028,[2 3] ; [ 7 11],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
a4,1,0.964079,0.002028,[2 3] ; [ 7 11],[1.95652174 3.04347826] ; [ 7.04347826 10.95652174],0
s7,1,1.0,0.0,[1 3] ; [ 4 12],[1. 3.] ; [ 4. 12.],0
