Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.896101,[87 94] ; [21 96],[ 65.59731544 115.40268456] ; [42.40268456 74.59731544],1
r4,1,3.8e-05,16.993057,[162  20] ; [82 35],[148.52173913  33.47826087] ; [95.47826087 21.52173913],1
a6,1,0.000165,14.187256,[121  61] ; [52 65],[105.30434783  76.69565217] ; [67.69565217 49.30434783],1
r3,1,0.000354,12.762334,[168  12] ; [93 24],[158.18181818  21.81818182] ; [102.81818182  14.18181818],1
r1,1,0.00407,8.252207,[136  44] ; [70 47],[124.84848485  55.15151515] ; [81.15151515 35.84848485],0
v4,1,0.006976,7.279048,[170  12] ; [97 19],[163.06711409  18.93288591] ; [103.93288591  12.06711409],0
r2,1,0.010867,6.48701,[167  15] ; [95 21],[160.01342282  21.98657718] ; [101.98657718  14.01342282],0
u3,1,0.016187,5.782498,[44 35] ; [17 33],[37.35658915 41.64341085] ; [23.64341085 26.35658915],0
b5,1,0.0328,4.556195,[113  69] ; [58 59],[104.08695652  77.91304348] ; [66.91304348 50.08695652],0
v2,1,0.032825,4.554902,[91 82] ; [44 67],[82.23591549 90.76408451] ; [52.76408451 58.23591549],0
p2,1,0.038815,4.268925,[148  33] ; [83 33],[140.77777778  40.22222222] ; [90.22222222 25.77777778],0
d2,1,0.04783,3.915952,[ 26 156] ; [27 89],[ 32.36912752 149.63087248] ; [20.63087248 95.36912752],0
p8,1,0.054772,3.68902,[91 84] ; [47 69],[82.98969072 92.01030928] ; [55.01030928 60.98969072],0
a5,1,0.058087,3.591181,[112  70] ; [59 58],[104.08695652  77.91304348] ; [66.91304348 50.08695652],0
p4,1,0.061234,3.50363,[100  80] ; [52 65],[92.12121212 87.87878788] ; [59.87878788 57.12121212],0
d4,1,0.08654,2.937593,[104  78] ; [55 62],[96.7826087 85.2173913] ; [62.2173913 54.7826087],0
p12,1,0.089944,2.875378,[  7 172] ; [ 10 106],[ 10.31525424 168.68474576] ; [  6.68474576 109.31525424],0
n2,1,0.091484,2.848072,[33  4] ; [32 11],[30.0625  6.9375] ; [34.9375  8.0625],0
s1,1,0.094417,2.79741,[  5 172] ; [  8 107],[  7.88013699 169.11986301] ; [  5.11986301 109.88013699],0
d5,1,0.097159,2.751572,[108  74] ; [58 59],[101.04347826  80.95652174] ; [64.95652174 52.04347826],0
s6,1,0.100194,2.702448,[120  59] ; [65 48],[113.40753425  65.59246575] ; [71.59246575 41.40753425],0
u2,1,0.126185,2.338822,[42 36] ; [20 30],[37.78125 40.21875] ; [24.21875 25.78125],0
p10,1,0.165101,1.926873,[143  34] ; [85 30],[138.20547945  38.79452055] ; [89.79452055 25.20547945],0
s8,1,0.175929,1.831683,[ 57 123] ; [46 71],[ 62.42424242 117.57575758] ; [40.57575758 76.42424242],0
s7,1,0.176903,1.823448,[68 98] ; [56 58],[73.51428571 92.48571429] ; [50.48571429 63.51428571],0
p7,1,0.206515,1.595687,[111  64] ; [65 51],[105.8419244  69.1580756] ; [70.1580756 45.8419244],0
b3,1,0.229255,1.445477,[30 62] ; [32 45],[33.75147929 58.24852071] ; [28.24852071 48.75147929],0
b2,1,0.229255,1.445477,[30 62] ; [32 45],[33.75147929 58.24852071] ; [28.24852071 48.75147929],0
p9,1,0.230057,1.440511,[147  30] ; [89 26],[143.05479452  33.94520548] ; [92.94520548 22.05479452],0
a2,1,0.236919,1.39883,[ 14 168] ; [  5 112],[ 11.56521739 170.43478261] ; [  7.43478261 109.56521739],0
n3,1,0.246535,1.342831,[29  8] ; [28 14],[26.69620253 10.30379747] ; [30.30379747 11.69620253],0
a8,1,0.256272,1.288785,[ 30 140] ; [14 97],[ 26.61921708 143.38078292] ; [17.38078292 93.61921708],0
s2,1,0.291201,1.114061,[ 79 100] ; [44 72],[ 74.63389831 104.36610169] ; [48.36610169 67.63389831],0
p3,1,0.307878,1.039756,[82 99] ; [46 71],[ 77.74496644 103.25503356] ; [50.25503356 66.74496644],0
b4,1,0.320283,0.987792,[104  78] ; [60 57],[99.82608696 82.17391304] ; [64.17391304 52.82608696],0
v1,1,0.348734,0.878059,[91 85] ; [53 62],[87.09278351 88.90721649] ; [56.90721649 58.09278351],0
p6,1,0.368095,0.810087,[ 60 118] ; [33 82],[ 56.49829352 121.50170648] ; [36.50170648 78.49829352],0
u1,1,0.411608,0.674152,[  8 174] ; [  3 114],[  6.69565217 175.30434783] ; [  4.30434783 112.69565217],0
s3,1,0.567675,0.326588,[92 86] ; [56 60],[89.60544218 88.39455782] ; [58.39455782 57.60544218],0
a1,1,0.59574,0.281469,[  7 175] ; [  6 111],[  7.91304348 174.08695652] ; [  5.08695652 111.91304348],0
p1,1,0.616925,0.250213,[ 17 163] ; [  9 107],[ 15.81081081 164.18918919] ; [ 10.18918919 105.81081081],0
a4,1,0.646337,0.210549,[ 48 133] ; [28 88],[ 46.31649832 134.68350168] ; [29.68350168 86.31649832],0
n1,1,0.674583,0.176288,[18 18] ; [19 23],[17.07692308 18.92307692] ; [19.92307692 22.07692308],0
b1,1,0.715797,0.132556,[ 77 105] ; [52 65],[ 78.52173913 103.47826087] ; [50.47826087 66.52173913],0
v3,1,0.756138,0.096445,[ 61 119] ; [41 74],[ 62.23728814 117.76271186] ; [39.76271186 75.23728814],0
p5,1,0.778606,0.079038,[ 22 157] ; [ 13 103],[ 21.23728814 157.76271186] ; [ 13.76271186 102.23728814],0
n4,1,0.851471,0.035059,[147  34] ; [94 23],[146.37919463  34.62080537] ; [94.62080537 22.37919463],0
n6,1,0.880897,0.02245,[151  30] ; [96 20],[150.52861953  30.47138047] ; [96.47138047 19.52861953],0
p11,1,0.897308,0.016657,[135  47] ; [86 31],[134.52173913  47.47826087] ; [86.47826087 30.52173913],0
s5,1,0.953146,0.003452,[ 48 129] ; [31 82],[ 48.21724138 128.78275862] ; [30.78275862 82.21724138],0
s4,1,0.987463,0.000247,[ 32 147] ; [21 96],[ 32.05067568 146.94932432] ; [20.94932432 96.05067568],0
a3,1,0.994196,5.3e-05,[103  77] ; [67 50],[103.03030303  76.96969697] ; [66.96969697 50.03030303],0
