Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5.9e-05,16.147076,[ 3 13] ; [24  6],[9.39130435 6.60869565] ; [17.60869565 12.39130435],1
n6,1,0.00205,9.50431,[ 6 10] ; [24  5],[10.66666667  5.33333333] ; [19.33333333  9.66666667],0
p10,1,0.02211,5.237069,[ 6 10] ; [21  8],[9.6 6.4] ; [17.4 11.6],0
v2,1,0.032992,4.546199,[ 6 10] ; [21  9],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
v1,1,0.045164,4.012494,[ 2 14] ; [12 17],[ 4.97777778 11.02222222] ; [ 9.02222222 19.97777778],0
s8,1,0.053532,3.727232,[ 2 14] ; [12 18],[ 4.86956522 11.13043478] ; [ 9.13043478 20.86956522],0
n2,1,0.061948,3.484444,[2 4] ; [8 2],[3.75 2.25] ; [6.25 3.75],0
v3,1,0.075927,3.15,[ 1 14] ; [ 9 21],[ 3.33333333 11.66666667] ; [ 6.66666667 23.33333333],0
a8,1,0.077436,3.117914,[ 1 15] ; [ 8 20],[ 3.27272727 12.72727273] ; [ 5.72727273 22.27272727],0
s4,1,0.078667,3.092222,[ 4 12] ; [ 2 28],[ 2.08695652 13.91304348] ; [ 3.91304348 26.08695652],0
p9,1,0.092393,2.832184,[8 8] ; [21  7],[10.54545455  5.45454545] ; [18.45454545  9.54545455],0
d5,1,0.114632,2.489177,[10  6] ; [25  5],[12.17391304  3.82608696] ; [22.82608696  7.17391304],0
p2,1,0.157022,2.002674,[7 9] ; [19 10],[9.24444444 6.75555556] ; [16.75555556 12.24444444],0
n3,1,0.170904,1.875,[3 2] ; [9 1],[4. 1.] ; [8. 2.],0
p8,1,0.179712,1.8,[7 8] ; [ 8 22],[ 5. 10.] ; [10. 20.],0
u3,1,0.195539,1.675385,[1 7] ; [4 6],[2.22222222 5.77777778] ; [2.77777778 7.22222222],0
r2,1,0.236212,1.403061,[12  4] ; [16 12],[10.18181818  5.81818182] ; [17.81818182 10.18181818],0
a5,1,0.269964,1.216931,[8 8] ; [20 10],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
a3,1,0.269964,1.216931,[8 8] ; [20 10],[9.73913043 6.26086957] ; [18.26086957 11.73913043],0
d2,1,0.291958,1.110571,[7 9] ; [18 12],[8.69565217 7.30434783] ; [16.30434783 13.69565217],0
r4,1,0.305885,1.048359,[ 6 10] ; [16 14],[7.65217391 8.34782609] ; [14.34782609 15.65217391],0
p4,1,0.311816,1.022969,[ 5 11] ; [14 16],[6.60869565 9.39130435] ; [12.39130435 17.60869565],0
a2,1,0.317731,0.998264,[ 1 15] ; [ 5 25],[ 2.08695652 13.91304348] ; [ 3.91304348 26.08695652],0
b5,1,0.381715,0.765172,[8 8] ; [19 11],[9.39130435 6.60869565] ; [17.60869565 12.39130435],0
a6,1,0.41757,0.657143,[ 6 10] ; [15 15],[7.30434783 8.69565217] ; [13.69565217 16.30434783],0
