Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-06,21.347938,[103  15] ; [16 16],[93.61333333 24.38666667] ; [25.38666667  6.61333333],1
r4,1,3.9e-05,16.910747,[78 41] ; [ 8 24],[67.77483444 51.22516556] ; [18.22516556 13.77483444],1
p10,1,0.000153,14.338316,[96 23] ; [14 16],[87.85234899 31.14765101] ; [22.14765101  7.85234899],1
p8,1,0.000183,13.999209,[56 62] ; [ 3 27],[47.04054054 70.95945946] ; [11.95945946 18.04054054],1
p11,1,0.000319,12.955588,[94 25] ; [15 17],[85.90066225 33.09933775] ; [23.09933775  8.90066225],1
d4,1,0.001191,10.504469,[85 34] ; [13 19],[77.23178808 41.76821192] ; [20.76821192 11.23178808],0
p9,1,0.001555,10.012593,[101  16] ; [19 12],[94.86486486 22.13513514] ; [25.13513514  5.86486486],0
p3,1,0.001793,9.750661,[56 63] ; [ 5 26],[48.39333333 70.60666667] ; [12.60666667 18.39333333],0
s6,1,0.003398,8.580393,[66 49] ; [ 9 23],[58.67346939 56.32653061] ; [16.32653061 15.67346939],0
v4,1,0.003457,8.549065,[101  18] ; [19 12],[95.2 23.8] ; [24.8  6.2],0
d5,1,0.006734,7.34246,[86 33] ; [15 17],[79.59602649 39.40397351] ; [21.40397351 10.59602649],0
b1,1,0.007251,7.209817,[43 76] ; [20 12],[49.64900662 69.35099338] ; [13.35099338 18.64900662],0
d3,1,0.017632,5.632389,[63 56] ; [ 9 22],[57.12 61.88] ; [14.88 16.12],0
s7,1,0.019303,5.473823,[47 64] ; [ 6 25],[41.42957746 69.57042254] ; [11.57042254 19.42957746],0
d1,1,0.020034,5.4089,[53 66] ; [ 7 25],[47.28476821 71.71523179] ; [12.71523179 19.28476821],0
n4,1,0.028947,4.770779,[99 20] ; [21 11],[94.56953642 24.43046358] ; [25.43046358  6.56953642],0
a7,1,0.048113,3.906024,[68 51] ; [12 20],[63.04635762 55.95364238] ; [16.95364238 15.04635762],0
v3,1,0.06241,3.472141,[39 78] ; [ 5 26],[34.78378378 82.21621622] ; [ 9.21621622 21.78378378],0
p2,1,0.06367,3.439113,[88 31] ; [17 13],[83.8590604 35.1409396] ; [21.1409396  8.8590604],0
s2,1,0.066073,3.377987,[51 68] ; [ 8 24],[46.49668874 72.50331126] ; [12.50331126 19.49668874],0
a1,1,0.070466,3.272139,[  7 112] ; [ 5 27],[  9.45695364 109.54304636] ; [ 2.54304636 29.45695364],0
s5,1,0.077347,3.119791,[27 84] ; [ 3 28],[23.45070423 87.54929577] ; [ 6.54929577 24.45070423],0
p4,1,0.08334,2.998534,[63 56] ; [11 20],[58.70666667 60.29333333] ; [15.29333333 15.70666667],0
v1,1,0.102775,2.66195,[54 62] ; [ 9 21],[50.05479452 65.94520548] ; [12.94520548 17.05479452],0
s8,1,0.104858,2.630061,[40 79] ; [ 6 26],[36.25165563 82.74834437] ; [ 9.74834437 22.25165563],0
p6,1,0.114997,2.484164,[41 76] ; [ 6 24],[37.40816327 79.59183673] ; [ 9.59183673 20.40816327],0
b4,1,0.118088,2.442505,[74 45] ; [15 17],[70.13907285 48.86092715] ; [18.86092715 13.13907285],0
v2,1,0.155316,2.019246,[51 64] ; [ 9 21],[47.5862069 67.4137931] ; [12.4137931 17.5862069],0
r2,1,0.220733,1.499601,[94 23] ; [21  9],[91.53061224 25.46938776] ; [23.46938776  6.53061224],0
s4,1,0.239347,1.384438,[26 93] ; [ 4 28],[23.64238411 95.35761589] ; [ 6.35761589 25.64238411],0
