Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,26.821999,[206  83] ; [116 120],[177.25333333 111.74666667] ; [144.74666667  91.25333333],1
p6,1,1e-06,24.364203,[135 155] ; [ 64 183],[107.46741155 182.53258845] ; [ 91.53258845 155.46741155],1
p4,1,1e-06,23.270137,[210  84] ; [126 120],[182.93333333 111.06666667] ; [153.06666667  92.93333333],1
v3,1,2e-06,22.328567,[144 143] ; [ 72 169],[117.40909091 169.59090909] ; [ 98.59090909 142.40909091],1
n5,1,5e-06,20.992712,[245  52] ; [160  85],[221.92804428  75.07195572] ; [183.07195572  61.92804428],1
p3,1,2.9e-05,17.461709,[169 126] ; [ 97 150],[144.77859779 150.22140221] ; [121.22140221 125.77859779],1
p8,1,0.000365,12.702412,[179 111] ; [113 131],[158.57677903 131.42322097] ; [133.42322097 110.57677903],1
p9,1,0.000387,12.593313,[261  32] ; [189  54],[245.98880597  47.01119403] ; [204.01119403  38.98880597],1
s8,1,0.001456,10.133198,[146 147] ; [ 89 157],[127.7458256 165.2541744] ; [107.2541744 138.7458256],0
p2,1,0.001681,9.868552,[263  33] ; [196  52],[249.75  46.25] ; [209.25  38.75],0
a5,1,0.001857,9.685968,[248  50] ; [179  69],[233.05128205  64.94871795] ; [193.94871795  54.05128205],0
n4,1,0.004656,8.008304,[245  53] ; [178  69],[231.29174312  66.70825688] ; [191.70825688  55.29174312],0
n6,1,0.007268,7.205608,[260  36] ; [196  51],[248.57458564  47.42541436] ; [207.42541436  39.57458564],0
p7,1,0.008292,6.969271,[198  87] ; [142 101],[183.52272727 101.47727273] ; [156.47727273  86.52272727],0
p11,1,0.009187,6.78609,[242  56] ; [178  70],[229.23076923  68.76923077] ; [190.76923077  57.23076923],0
b5,1,0.01191,6.324158,[204  94] ; [144 104],[189.93406593 108.06593407] ; [158.06593407  89.93406593],0
s7,1,0.012795,6.19721,[153 127] ; [103 133],[138.91472868 141.08527132] ; [117.08527132 118.91472868],0
p10,1,0.013946,6.044936,[250  44] ; [188  57],[238.90909091  55.09090909] ; [199.09090909  45.90909091],0
u1,1,0.015345,5.876429,[ 87 211] ; [ 50 198],[ 74.77289377 223.22710623] ; [ 62.22710623 185.77289377],0
p12,1,0.017481,5.647467,[ 34 261] ; [ 14 232],[ 26.17375231 268.82624769] ; [ 21.82624769 224.17375231],0
r4,1,0.017494,5.646165,[291   7] ; [232  16],[285.44688645  12.55311355] ; [237.55311355  10.44688645],0
a4,1,0.020573,5.362626,[156 140] ; [106 142],[142.55882353 153.44117647] ; [119.44117647 128.55882353],0
d1,1,0.021303,5.301865,[206  92] ; [148 100],[193.20879121 104.79120879] ; [160.79120879  87.20879121],0
p5,1,0.025302,5.003102,[ 42 253] ; [ 20 227],[ 33.74538745 261.25461255] ; [ 28.25461255 218.74538745],0
a2,1,0.028085,4.822869,[108 190] ; [ 68 180],[ 96.05860806 201.94139194] ; [ 79.94139194 168.05860806],0
s5,1,0.029011,4.766983,[106 180] ; [ 68 174],[ 94.25 191.75] ; [ 79.75 162.25],0
p1,1,0.029393,4.744467,[ 34 262] ; [ 15 231],[ 26.7601476 269.2398524] ; [ 22.2398524 223.7601476],0
n2,1,0.050266,3.832569,[40  9] ; [45 24],[35.29661017 13.70338983] ; [49.70338983 19.29661017],0
s6,1,0.056715,3.630938,[211  82] ; [157  87],[200.78957169  92.21042831] ; [167.21042831  76.78957169],0
r3,1,0.062764,3.462791,[291   6] ; [233  12],[287.13653137   9.86346863] ; [236.86346863   8.13653137],0
a3,1,0.085637,2.954543,[227  68] ; [174  73],[218.25645756  76.74354244] ; [182.74354244  64.25645756],0
r2,1,0.091883,2.841068,[292   5] ; [236  10],[288.79558011   8.20441989] ; [239.20441989   6.79558011],0
a8,1,0.111515,2.532621,[ 46 209] ; [ 29 198],[ 39.67842324 215.32157676] ; [ 35.32157676 191.67842324],0
b2,1,0.127708,2.320148,[ 69 122] ; [37 95],[ 62.68111455 128.31888545] ; [43.31888545 88.68111455],0
b3,1,0.127708,2.320148,[ 69 122] ; [37 95],[ 62.68111455 128.31888545] ; [43.31888545 88.68111455],0
d2,1,0.140656,2.170771,[159 137] ; [117 130],[150.45303867 145.54696133] ; [125.54696133 121.45303867],0
d3,1,0.161404,1.961018,[244  53] ; [191  56],[237.49080882  59.50919118] ; [197.50919118  49.49080882],0
u3,1,0.179715,1.799977,[50 21] ; [43 29],[46.17482517 24.82517483] ; [46.82517483 25.17482517],0
s2,1,0.199223,1.648064,[157 133] ; [120 127],[149.59031657 140.40968343] ; [127.40968343 119.59031657],0
u2,1,0.227827,1.454378,[43 27] ; [37 35],[39.43661972 30.56338028] ; [40.56338028 31.43661972],0
v4,1,0.25522,1.294502,[290   7] ; [236  10],[287.70165746   9.29834254] ; [238.29834254   7.70165746],0
b1,1,0.278142,1.176145,[102 196] ; [ 96 152],[108.06593407 189.93406593] ; [ 89.93406593 158.06593407],0
a6,1,0.328952,0.953019,[239  57] ; [191  56],[234.4014733  61.5985267] ; [195.5985267  51.4014733],0
d5,1,0.344281,0.894424,[253  44] ; [203  44],[248.95588235  48.04411765] ; [207.04411765  39.95588235],0
s1,1,0.389499,0.740505,[  8 284] ; [ 10 235],[  9.7877095 282.2122905] ; [  8.2122905 236.7877095],0
s3,1,0.433074,0.614566,[156 132] ; [141 104],[160.48030019 127.51969981] ; [136.51969981 108.48030019],0
s4,1,0.450703,0.568883,[ 42 249] ; [ 41 203],[ 45.14579439 245.85420561] ; [ 37.85420561 206.14579439],0
n1,1,0.54294,0.370119,[20 29] ; [24 44],[18.42735043 30.57264957] ; [25.57264957 42.42735043],0
b4,1,0.926298,0.008557,[179 119] ; [148 100],[178.47252747 119.52747253] ; [148.52747253  99.47252747],0
n3,1,0.956967,0.002912,[36 13] ; [51 18],[36.12711864 12.87288136] ; [50.87288136 18.12711864],0
d4,1,0.974552,0.001018,[254  43] ; [211  36],[253.86948529  43.13051471] ; [211.13051471  35.86948529],0
