Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,50.220662,[52 70] ; [246  70],[83.00456621 38.99543379] ; [214.99543379 101.00456621],1
a6,1,0.0,35.697326,[66 56] ; [259  57],[90.52511416 31.47488584] ; [234.47488584  81.52511416],1
b5,1,2e-06,23.059602,[51 71] ; [212 105],[73.08883827 48.91116173] ; [189.91116173 127.08883827],1
a2,1,3e-06,21.554062,[ 16 106] ; [113 204],[35.84965831 86.15034169] ; [ 93.15034169 223.84965831],1
u1,1,1.6e-05,18.627525,[  7 115] ; [ 75 242],[22.7881549 99.2118451] ; [ 59.2118451 257.7881549],1
d1,1,0.001249,10.416603,[60 62] ; [209 108],[74.75626424 47.24373576] ; [194.24373576 122.75626424],0
b1,1,0.006958,7.283804,[59 63] ; [109 208],[46.68792711 75.31207289] ; [121.31207289 195.68792711],0
r4,1,0.009701,6.688957,[98 24] ; [284  33],[106.1594533  15.8405467] ; [275.8405467  41.1594533],0
d5,1,0.017687,5.626858,[95 27] ; [275  41],[103.05936073  18.94063927] ; [266.94063927  49.05936073],0
b3,1,0.017775,5.618171,[38 42] ; [ 62 130],[29.41176471 50.58823529] ; [ 70.58823529 121.41176471],0
b2,1,0.017775,5.618171,[38 42] ; [ 62 130],[29.41176471 50.58823529] ; [ 70.58823529 121.41176471],0
u3,1,0.023939,5.099035,[ 7 15] ; [41 28],[11.6043956 10.3956044] ; [36.3956044 32.6043956],0
r3,1,0.028325,4.808164,[107  15] ; [296  19],[112.50800915   9.49199085] ; [290.49199085  24.50800915],0
r1,1,0.029892,4.715481,[92 30] ; [264  49],[99.84367816 22.15632184] ; [256.15632184  56.84367816],0
p8,1,0.036669,4.36571,[43 79] ; [144 167],[52.68822171 69.31177829] ; [134.31177829 176.68822171],0
s1,1,0.0367,4.364261,[  7 115] ; [  6 305],[  3.66281755 118.33718245] ; [  9.33718245 301.66281755],0
r2,1,0.048618,3.888496,[107  13] ; [295  17],[111.66666667   8.33333333] ; [290.33333333  21.66666667],0
v2,1,0.066319,3.371862,[58 61] ; [177 125],[66.42517815 52.57482185] ; [168.57482185 133.42517815],0
p2,1,0.087667,2.916694,[86 35] ; [249  67],[92.75743707 28.24256293] ; [242.24256293  73.75743707],0
p3,1,0.099039,2.720943,[58 63] ; [124 192],[50.39359268 70.60640732] ; [131.60640732 184.39359268],0
v4,1,0.122588,2.383945,[108  13] ; [294  20],[111.82068966   9.17931034] ; [290.17931034  23.82068966],0
a8,1,0.128308,2.312861,[ 12 104] ; [ 46 237],[16.86215539 99.13784461] ; [ 41.13784461 241.86215539],0
p4,1,0.134138,2.243951,[53 69] ; [162 153],[60.0228833 61.9771167] ; [154.9771167 160.0228833],0
d4,1,0.136457,2.217461,[98 24] ; [272  44],[103.05936073  18.94063927] ; [266.94063927  49.05936073],0
p9,1,0.138416,2.195479,[90 30] ; [254  58],[95.55555556 24.44444444] ; [248.44444444  63.55555556],0
p10,1,0.146747,2.105743,[88 34] ; [247  67],[93.73853211 28.26146789] ; [241.26146789  72.73853211],0
s6,1,0.237416,1.395873,[70 51] ; [199 112],[75.34490741 45.65509259] ; [193.65509259 117.34490741],0
u4,1,0.259053,1.273812,[  1 121] ; [  8 309],[  2.50113895 119.49886105] ; [  6.49886105 310.50113895],0
