Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,25.022886,[ 12 285] ; [13 45],[ 20.91549296 276.08450704] ; [ 4.08450704 53.91549296],1
s6,1,4.4e-05,16.697729,[107 191] ; [37 20],[120.87887324 177.12112676] ; [23.12112676 33.87887324],1
d2,1,0.000333,12.873149,[112 186] ; [36 21],[124.23661972 173.76338028] ; [23.76338028 33.23661972],1
b5,1,0.001688,9.86092,[185 114] ; [23 35],[174.20728291 124.79271709] ; [33.79271709 24.20728291],0
p12,1,0.008137,7.003088,[  6 290] ; [ 5 53],[  9.19774011 286.80225989] ; [ 1.80225989 56.19774011],0
r1,1,0.009721,6.685233,[206  90] ; [50  8],[214.05649718  81.94350282] ; [41.94350282 16.05649718],0
p3,1,0.018828,5.517407,[ 96 202] ; [28 30],[103.79775281 194.20224719] ; [20.20224719 37.79775281],0
d1,1,0.020879,5.336825,[131 168] ; [35 23],[139.03081232 159.96918768] ; [26.96918768 31.03081232],0
n6,1,0.021249,5.306272,[213  84] ; [50  8],[220.03098592  76.96901408] ; [42.96901408 15.03098592],0
u1,1,0.024746,5.041564,[ 27 272] ; [11 47],[ 31.82633053 267.17366947] ; [ 6.17366947 51.82633053],0
a8,1,0.039898,4.222232,[ 26 248] ; [10 42],[ 30.25766871 243.74233129] ; [ 5.74233129 46.25766871],0
d4,1,0.045894,3.985492,[213  85] ; [48  9],[219.09295775  78.90704225] ; [41.90704225 15.09295775],0
s8,1,0.088045,2.909752,[ 50 248] ; [15 42],[ 54.56338028 243.43661972] ; [10.43661972 46.56338028],0
p1,1,0.088905,2.894094,[ 14 283] ; [ 6 52],[ 16.73239437 280.26760563] ; [ 3.26760563 54.73239437],0
p7,1,0.124909,2.354664,[129 163] ; [32 26],[134.32 157.68] ; [26.68 31.32],0
s7,1,0.136331,2.218892,[ 57 227] ; [16 39],[ 61.15634218 222.84365782] ; [11.84365782 43.15634218],0
a3,1,0.138989,2.189117,[183 114] ; [41 16],[187.93220339 109.06779661] ; [36.06779661 20.93220339],0
s3,1,0.153626,2.035875,[ 72 222] ; [ 9 48],[ 67.84615385 226.15384615] ; [13.15384615 43.84615385],0
a4,1,0.163708,1.93964,[109 187] ; [27 31],[113.71751412 182.28248588] ; [22.28248588 35.71751412],0
v2,1,0.166891,1.910652,[128 155] ; [32 26],[132.78592375 150.21407625] ; [27.21407625 30.78592375],0
a5,1,0.187202,1.739505,[195 104] ; [43 15],[199.33333333  99.66666667] ; [38.66666667 19.33333333],0
n1,1,0.203758,1.61523,[32 58] ; [7 6],[34.0776699 55.9223301] ; [4.9223301 8.0776699],0
p2,1,0.208017,1.585173,[206  91] ; [45 13],[209.9915493  87.0084507] ; [41.0084507 16.9915493],0
p10,1,0.250592,1.319998,[195 101] ; [42 15],[198.73087819  97.26912181] ; [38.26912181 18.73087819],0
b3,1,0.252821,1.30765,[ 54 116] ; [15 21],[ 56.94174757 113.05825243] ; [12.05825243 23.94174757],0
b2,1,0.252821,1.30765,[ 54 116] ; [15 21],[ 56.94174757 113.05825243] ; [12.05825243 23.94174757],0
d5,1,0.264864,1.243154,[216  83] ; [46 12],[219.43417367  79.56582633] ; [42.56582633 15.43417367],0
n3,1,0.310821,1.027182,[55 33] ; [10  3],[56.63366337 31.36633663] ; [8.36633663 4.63366337],0
v1,1,0.315805,1.006242,[120 172] ; [19 37],[116.63218391 175.36781609] ; [22.36781609 33.63218391],0
p4,1,0.366287,0.816223,[111 185] ; [25 32],[114.03966006 181.96033994] ; [21.96033994 35.03966006],0
r4,1,0.398722,0.712176,[227  72] ; [47 11],[229.48459384  69.51540616] ; [44.51540616 13.48459384],0
a7,1,0.433527,0.613357,[204  94] ; [36 21],[201.46478873  96.53521127] ; [38.53521127 18.46478873],0
p11,1,0.455342,0.55732,[207  92] ; [43 15],[209.3837535  89.6162465] ; [40.6162465 17.3837535],0
