Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.031135,4.645512,[14 23] ; [10 46],[ 9.5483871 27.4516129] ; [14.4516129 41.5483871],0
a8,1,0.039908,4.221776,[ 6 32] ; [ 2 53],[ 3.2688172 34.7311828] ; [ 4.7311828 50.2688172],0
p11,1,0.045824,3.988052,[25 16] ; [24 35],[20.09 20.91] ; [28.91 30.09],0
a5,1,0.047408,3.930837,[27 14] ; [27 32],[22.14 18.86] ; [31.86 27.14],0
a4,1,0.053256,3.735859,[18 23] ; [15 44],[13.53 27.47] ; [19.47 39.53],0
s7,1,0.054197,3.706621,[12 24] ; [ 9 47],[ 8.2173913 27.7826087] ; [12.7826087 43.2173913],0
s5,1,0.061943,3.484574,[ 3 35] ; [13 45],[ 6.33333333 31.66666667] ; [ 9.66666667 48.33333333],0
r1,1,0.063696,3.438438,[31 10] ; [34 25],[26.65 14.35] ; [38.35 20.65],0
s6,1,0.068258,3.324432,[11 30] ; [26 32],[15.32323232 25.67676768] ; [21.67676768 36.32323232],0
b3,1,0.094847,2.790121,[10 16] ; [ 6 26],[ 7.17241379 18.82758621] ; [ 8.82758621 23.17241379],0
b2,1,0.094847,2.790121,[10 16] ; [ 6 26],[ 7.17241379 18.82758621] ; [ 8.82758621 23.17241379],0
v1,1,0.098413,2.731073,[19 21] ; [18 40],[15.10204082 24.89795918] ; [21.89795918 36.10204082],0
u1,1,0.100763,2.693421,[ 6 35] ; [ 3 56],[ 3.69 37.31] ; [ 5.31 53.69],0
n1,1,0.144308,2.13141,[5 7] ; [ 5 21],[3.15789474 8.84210526] ; [ 6.84210526 19.15789474],0
p7,1,0.158217,1.991181,[13 28] ; [27 32],[16.4 24.6] ; [23.6 35.4],0
a3,1,0.161165,1.96326,[27 14] ; [30 28],[23.60606061 17.39393939] ; [33.39393939 24.60606061],0
s8,1,0.188251,1.731255,[ 9 32] ; [ 7 51],[ 6.62626263 34.37373737] ; [ 9.37373737 48.62626263],0
s1,1,0.211315,1.562395,[ 1 40] ; [ 5 54],[ 2.46 38.54] ; [ 3.54 55.46],0
p4,1,0.278463,1.174576,[12 28] ; [24 35],[14.54545455 25.45454545] ; [21.45454545 37.54545455],0
n3,1,0.317497,0.99923,[9 2] ; [17  9],[7.72972973 3.27027027] ; [18.27027027  7.72972973],0
p2,1,0.319219,0.992146,[27 14] ; [33 26],[24.6 16.4] ; [35.4 23.6],0
d4,1,0.321461,0.982991,[34  7] ; [44 15],[31.98  9.02] ; [46.02 12.98],0
b4,1,0.36044,0.836359,[26 15] ; [32 27],[23.78 17.22] ; [34.22 24.78],0
n2,1,0.37095,0.800481,[9 3] ; [15 10],[7.78378378 4.21621622] ; [16.21621622  8.78378378],0
r4,1,0.397069,0.717185,[31 10] ; [40 19],[29.11 11.89] ; [41.89 17.11],0
s4,1,0.421347,0.646554,[ 4 37] ; [ 9 50],[ 5.33 35.67] ; [ 7.67 51.33],0
p8,1,0.439646,0.597207,[10 30] ; [19 40],[11.71717172 28.28282828] ; [17.28282828 41.71717172],0
v2,1,0.471424,0.518637,[21 20] ; [25 32],[19.24489796 21.75510204] ; [26.75510204 30.24489796],0
p6,1,0.503964,0.446578,[ 9 30] ; [10 47],[ 7.71875 31.28125] ; [11.28125 45.71875],0
d2,1,0.506663,0.440954,[18 23] ; [22 37],[16.4 24.6] ; [23.6 35.4],0
b1,1,0.541886,0.372055,[22 19] ; [28 31],[20.5 20.5] ; [29.5 29.5],0
p3,1,0.563867,0.333053,[15 26] ; [18 40],[13.66666667 27.33333333] ; [19.33333333 38.66666667],0
d5,1,0.564971,0.331169,[28 13] ; [37 22],[26.65 14.35] ; [38.35 20.65],0
u3,1,0.585705,0.297102,[6 8] ; [15 14],[6.8372093 7.1627907] ; [14.1627907 14.8372093],0
d1,1,0.615261,0.252584,[16 25] ; [26 33],[17.22 23.78] ; [24.78 34.22],0
s2,1,0.624113,0.240129,[10 31] ; [17 42],[11.07 29.93] ; [15.93 43.07],0
r2,1,0.676599,0.173979,[33  6] ; [48 11],[32.23469388  6.76530612] ; [48.76530612 10.23469388],0
a1,1,0.708758,0.13952,[ 2 39] ; [ 2 57],[ 1.64 39.36] ; [ 2.36 56.64],0
p1,1,0.715738,0.132613,[ 2 38] ; [ 4 55],[ 2.42424242 37.57575758] ; [ 3.57575758 55.42424242],0
a7,1,0.737739,0.112124,[25 16] ; [34 25],[24.19 16.81] ; [34.81 24.19],0
r3,1,0.740338,0.10983,[37  4] ; [52  7],[36.49  4.51] ; [52.51  6.49],0
a2,1,0.750174,0.101385,[ 5 36] ; [ 6 53],[ 4.51 36.49] ; [ 6.49 52.51],0
a6,1,0.854084,0.033823,[23 18] ; [32 27],[22.55 18.45] ; [32.45 26.55],0
b5,1,0.868148,0.02756,[25 16] ; [35 24],[24.6 16.4] ; [35.4 23.6],0
d3,1,0.868148,0.02756,[25 16] ; [35 24],[24.6 16.4] ; [35.4 23.6],0
s3,1,0.888831,0.01954,[14 25] ; [22 37],[14.32653061 24.67346939] ; [21.67346939 37.32653061],0
p9,1,0.913035,0.011927,[12 28] ; [18 40],[12.24489796 27.75510204] ; [17.75510204 40.24489796],0
v4,1,0.919026,0.010335,[33  8] ; [47 12],[32.8  8.2] ; [47.2 11.8],0
n6,1,0.9708,0.00134,[21 20] ; [30 29],[20.91 20.09] ; [30.09 28.91],0
u2,1,1.0,0.0,[6 8] ; [12 16],[6. 8.] ; [12. 16.],0
