Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,125.753082,[ 65 234] ; [127  43],[122.40511727 176.59488273] ; [ 69.59488273 100.40511727],1
s2,1,0.0,72.906207,[ 92 213] ; [125  53],[137.02898551 167.97101449] ; [79.97101449 98.02898551],1
s3,1,0.0,61.596388,[115 186] ; [134  44],[156.4697286 144.5302714] ; [92.5302714 85.4697286],1
s6,1,0.0,47.902105,[153 148] ; [149  32],[188.593361 112.406639] ; [113.406639  67.593361],1
a3,1,1e-06,23.222732,[184 122] ; [147  34],[207.97946612  98.02053388] ; [123.02053388  57.97946612],1
v3,1,8e-06,19.911308,[ 91 208] ; [88 84],[113.63269639 185.36730361] ; [ 65.36730361 106.63269639],1
r1,1,8e-06,19.838762,[217  90] ; [158  21],[236.88271605  70.11728395] ; [138.11728395  40.88271605],1
d2,1,7.4e-05,15.71743,[122 183] ; [106  75],[143.08641975 161.91358025] ; [84.91358025 96.08641975],1
a2,1,0.000233,13.542943,[ 50 258] ; [ 55 126],[ 66.13496933 241.86503067] ; [ 38.86503067 142.13496933],1
r4,1,0.000268,13.284396,[256  52] ; [171  10],[268.94887526  39.05112474] ; [158.05112474  22.94887526],1
u4,1,0.001141,10.582972,[  1 307] ; [  8 173],[  5.66871166 302.33128834] ; [  3.33128834 177.66871166],0
p10,1,0.001535,10.035605,[228  76] ; [155  23],[241.56016598  62.43983402] ; [141.43983402  36.56016598],0
p9,1,0.001644,9.909468,[229  70] ; [158  21],[242.07740586  56.92259414] ; [144.92259414  34.07740586],0
d1,1,0.001979,9.569216,[153 155] ; [116  65],[169.43149284 138.56850716] ; [99.56850716 81.43149284],0
p3,1,0.002009,9.541095,[107 199] ; [89 92],[123.15400411 182.84599589] ; [ 72.84599589 108.15400411],0
n4,1,0.002265,9.321663,[216  91] ; [149  31],[230.09240246  76.90759754] ; [134.90759754  45.09240246],0
s5,1,0.002994,8.81096,[ 73 229] ; [ 64 109],[ 87.10315789 214.89684211] ; [ 49.89684211 123.10315789],0
p12,1,0.004317,8.145524,[ 10 296] ; [ 17 164],[ 16.9650924 289.0349076] ; [ 10.0349076 170.9650924],0
u1,1,0.004419,8.103268,[ 38 270] ; [ 40 141],[ 49.12883436 258.87116564] ; [ 28.87116564 152.12883436],0
