Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,1e-05,19.537806,[ 7 87] ; [12 17],[14.5203252 79.4796748] ; [ 4.4796748 24.5203252],1
p4,1,0.00299,8.81344,[38 55] ; [21  8],[44.97540984 48.02459016] ; [14.02459016 14.97540984],0
p7,1,0.018994,5.502084,[40 51] ; [20  9],[45.5 45.5] ; [14.5 14.5],0
b2,1,0.021784,5.262959,[12 45] ; [8 8],[15.61643836 41.38356164] ; [ 4.38356164 11.61643836],0
b3,1,0.021784,5.262959,[12 45] ; [8 8],[15.61643836 41.38356164] ; [ 4.38356164 11.61643836],0
b1,1,0.030468,4.682696,[40 54] ; [19 10],[45.08943089 48.91056911] ; [13.91056911 15.08943089],0
s5,1,0.031786,4.610001,[14 76] ; [ 9 17],[17.84482759 72.15517241] ; [ 5.15517241 20.84482759],0
p3,1,0.031928,4.602348,[34 60] ; [17 12],[38.97560976 55.02439024] ; [12.02439024 16.97560976],0
s8,1,0.040361,4.202658,[29 65] ; [15 14],[33.62601626 60.37398374] ; [10.37398374 18.62601626],0
v1,1,0.043735,4.066758,[34 57] ; [17 12],[38.675 52.325] ; [12.325 16.675],0
s6,1,0.065743,3.386245,[46 47] ; [20  9],[50.31147541 42.68852459] ; [15.68852459 13.31147541],0
p8,1,0.068567,3.317003,[34 60] ; [16 13],[38.21138211 55.78861789] ; [11.78861789 17.21138211],0
a5,1,0.082413,3.016665,[68 26] ; [16 13],[64.19512195 29.80487805] ; [19.80487805  9.19512195],0
d1,1,0.101494,2.68191,[42 52] ; [18 11],[45.85365854 48.14634146] ; [14.14634146 14.85365854],0
a4,1,0.108769,2.572013,[33 61] ; [15 14],[36.68292683 57.31707317] ; [11.31707317 17.68292683],0
r2,1,0.117971,2.444057,[91  3] ; [26  3],[89.41463415  4.58536585] ; [27.58536585  1.41463415],0
d2,1,0.145817,2.115468,[34 59] ; [15 14],[37.35245902 55.64754098] ; [11.64754098 17.35245902],0
r1,1,0.166334,1.915678,[83 10] ; [23  6],[80.80327869 12.19672131] ; [25.19672131  3.80327869],0
n5,1,0.202467,1.624488,[34 59] ; [14 14],[36.89256198 56.10743802] ; [11.10743802 16.89256198],0
p1,1,0.208271,1.583402,[ 6 87] ; [ 4 25],[ 7.62295082 85.37704918] ; [ 2.37704918 26.62295082],0
n1,1,0.243878,1.358036,[11 17] ; [5 3],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
