Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000233,13.546793,[27 84] ; [16 10],[34.83941606 76.16058394] ; [ 8.16058394 17.83941606],1
s6,1,0.002595,9.072026,[50 60] ; [21  6],[57.00729927 52.99270073] ; [13.99270073 13.00729927],0
s7,1,0.010617,6.528261,[26 78] ; [14 14],[31.51515152 72.48484848] ; [ 8.48484848 19.51515152],0
s5,1,0.030285,4.693016,[14 97] ; [ 8 19],[17.69565217 93.30434783] ; [ 4.30434783 22.69565217],0
u1,1,0.047104,3.941666,[  1 110] ; [ 2 27],[  2.37857143 108.62142857] ; [ 0.62142857 28.37857143],0
s3,1,0.077975,3.106614,[48 61] ; [17 10],[52.09558824 56.90441176] ; [12.90441176 14.09558824],0
n6,1,0.17026,1.88065,[77 33] ; [24  5],[79.92805755 30.07194245] ; [21.07194245  7.92805755],0
b1,1,0.172293,1.862879,[46 65] ; [ 8 21],[42.81428571 68.18571429] ; [11.18571429 17.81428571],0
n1,1,0.207024,1.592119,[16 19] ; [3 9],[14.14893617 20.85106383] ; [4.85106383 7.14893617],0
d3,1,0.224997,1.472215,[26 85] ; [10 19],[28.54285714 82.45714286] ; [ 7.45714286 21.54285714],0
v3,1,0.236392,1.401983,[31 76] ; [ 5 23],[28.53333333 78.46666667] ; [ 7.46666667 20.53333333],0
v2,1,0.277885,1.177403,[37 66] ; [ 7 21],[34.59541985 68.40458015] ; [ 9.40458015 18.59541985],0
a6,1,0.330642,0.946382,[61 50] ; [13 16],[58.67142857 52.32857143] ; [15.32857143 13.67142857],0
a5,1,0.338853,0.914765,[57 54] ; [12 17],[54.70714286 56.29285714] ; [14.29285714 14.70714286],0
p7,1,0.37967,0.771769,[46 62] ; [15 14],[48.08759124 59.91240876] ; [12.91240876 16.08759124],0
v1,1,0.381147,0.767,[42 65] ; [14 15],[44.05882353 62.94117647] ; [11.94117647 17.05882353],0
v4,1,0.418016,0.655885,[95 13] ; [23  5],[93.70588235 14.29411765] ; [24.29411765  3.70588235],0
r3,1,0.434134,0.611739,[87 22] ; [25  4],[88.46376812 20.53623188] ; [23.53623188  5.46376812],0
n4,1,0.460075,0.545713,[71 38] ; [21  8],[72.66666667 36.33333333] ; [19.33333333  9.66666667],0
n3,1,0.493655,0.468551,[25  9] ; [10  2],[25.86956522  8.13043478] ; [9.13043478 2.86956522],0
s8,1,0.508025,0.438133,[31 79] ; [10 19],[32.44604317 77.55395683] ; [ 8.55395683 20.44604317],0
d5,1,0.520758,0.412391,[50 61] ; [15 14],[51.53571429 59.46428571] ; [13.46428571 15.53571429],0
p2,1,0.535627,0.383706,[73 37] ; [21  8],[74.38848921 35.61151079] ; [19.61151079  9.38848921],0
u3,1,0.550144,0.357059,[25 35] ; [8 8],[26.05263158 33.94736842] ; [6.94736842 9.05263158],0
p12,1,0.585614,0.297247,[  2 109] ; [ 1 28],[  2.37857143 108.62142857] ; [ 0.62142857 28.37857143],0
n5,1,0.597412,0.278916,[78 32] ; [22  7],[79.13669065 30.86330935] ; [20.86330935  8.13669065],0
b5,1,0.598692,0.276974,[59 52] ; [17 12],[60.25714286 50.74285714] ; [15.74285714 13.25714286],0
p9,1,0.636122,0.22385,[75 32] ; [19 10],[73.95588235 33.04411765] ; [20.04411765  8.95588235],0
r2,1,0.636133,0.223835,[94 15] ; [24  5],[93.20289855 15.79710145] ; [24.79710145  4.20289855],0
u2,1,0.687501,0.161804,[22 38] ; [ 5 11],[21.31578947 38.68421053] ; [ 5.68421053 10.31578947],0
p1,1,0.712164,0.136125,[  9 101] ; [ 3 26],[  9.49640288 100.50359712] ; [ 2.50359712 26.49640288],0
p8,1,0.730678,0.11849,[41 67] ; [10 19],[40.20437956 67.79562044] ; [10.79562044 18.20437956],0
b4,1,0.779089,0.078684,[53 58] ; [13 16],[52.32857143 58.67142857] ; [13.67142857 15.32857143],0
r1,1,0.784039,0.075108,[64 44] ; [18 11],[64.64233577 43.35766423] ; [17.35766423 11.64233577],0
p3,1,0.791092,0.070168,[37 73] ; [ 9 20],[36.4028777 73.5971223] ; [ 9.5971223 19.4028777],0
p11,1,0.81445,0.055079,[74 37] ; [20  9],[74.52857143 36.47142857] ; [19.47142857  9.52857143],0
r4,1,0.827328,0.047581,[82 29] ; [22  7],[82.45714286 28.54285714] ; [21.54285714  7.45714286],0
a2,1,0.829056,0.046618,[  9 102] ; [ 2 27],[  8.72142857 102.27857143] ; [ 2.27857143 26.72142857],0
d1,1,0.830085,0.04605,[  3 108] ; [ 1 28],[  3.17142857 107.82857143] ; [ 0.82857143 28.17142857],0
a3,1,0.850688,0.035434,[51 58] ; [13 16],[50.55072464 58.44927536] ; [13.44927536 15.55072464],0
p4,1,0.866776,0.028142,[44 67] ; [11 18],[43.60714286 67.39285714] ; [11.39285714 17.60714286],0
p10,1,0.917901,0.010625,[69 38] ; [19 10],[69.23529412 37.76470588] ; [18.76470588 10.23529412],0
d2,1,0.935664,0.006516,[26 85] ; [ 7 22],[26.16428571 84.83571429] ; [ 6.83571429 22.16428571],0
s1,1,0.971545,0.001272,[  8 101] ; [ 2 26],[  7.95620438 101.04379562] ; [ 2.04379562 25.95620438],0
a7,1,0.978308,0.000739,[61 49] ; [16 13],[60.9352518 49.0647482] ; [16.0647482 12.9352518],0
a4,1,0.97936,0.000669,[23 87] ; [ 6 23],[22.94964029 87.05035971] ; [ 6.05035971 22.94964029],0
n2,1,1.0,0.0,[27  9] ; [9 3],[27.  9.] ; [9. 3.],0
