Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,48.065271,[ 5 33] ; [52 10],[21.66 16.34] ; [35.34 26.66],1
s7,1,5e-06,20.677193,[14 19] ; [53  8],[23.5212766  9.4787234] ; [43.4787234 17.5212766],1
s8,1,3.7e-05,17.042839,[13 24] ; [47 14],[22.65306122 14.34693878] ; [37.34693878 23.65306122],1
s6,1,3.8e-05,16.97237,[21 13] ; [57  3],[28.21276596  5.78723404] ; [49.78723404 10.21276596],1
d1,1,0.005363,7.752774,[17 21] ; [45 17],[23.56 14.44] ; [38.44 23.56],0
r2,1,0.00756,7.134829,[32  6] ; [60  1],[35.31313131  2.68686869] ; [56.68686869  4.31313131],0
n4,1,0.02919,4.756392,[30  8] ; [58  4],[33.44  4.56] ; [54.56  7.44],0
p6,1,0.038835,4.268059,[18 20] ; [41 19],[22.87755102 15.12244898] ; [36.12244898 23.87755102],0
d5,1,0.046432,3.965857,[26 12] ; [52  9],[29.93939394  8.06060606] ; [48.06060606 12.93939394],0
r1,1,0.047132,3.940667,[27 11] ; [54  8],[30.78  7.22] ; [50.22 11.78],0
p1,1,0.048056,3.908025,[ 6 32] ; [21 41],[10.26 27.74] ; [16.74 45.26],0
p4,1,0.057516,3.607593,[29  8] ; [56  5],[32.09183673  4.90816327] ; [52.90816327  8.09183673],0
b5,1,0.061703,3.491001,[22 16] ; [24 38],[17.48 20.52] ; [28.52 33.48],0
n5,1,0.063337,3.447785,[31  7] ; [58  4],[33.82  4.18] ; [55.18  6.82],0
d3,1,0.067628,3.339667,[22 16] ; [46 15],[26.1010101 11.8989899] ; [41.8989899 19.1010101],0
v2,1,0.072823,3.218208,[25 11] ; [31 30],[20.78350515 15.21649485] ; [35.21649485 25.78350515],0
p10,1,0.083593,2.993627,[36  1] ; [53  8],[33.60204082  3.39795918] ; [55.39795918  5.60204082],0
a5,1,0.095863,2.773062,[32  6] ; [43 19],[28.5  9.5] ; [46.5 15.5],0
u2,1,0.099924,2.706755,[9 2] ; [7 7],[7.04 3.96] ; [8.96 5.04],0
d2,1,0.115475,2.477641,[15 23] ; [34 27],[18.80808081 19.19191919] ; [30.19191919 30.80808081],0
a6,1,0.171374,1.870884,[27 11] ; [35 26],[23.7979798 14.2020202] ; [38.2020202 22.7979798],0
p8,1,0.191359,1.707123,[27 10] ; [52 10],[29.52525253  7.47474747] ; [49.47474747 12.52525253],0
a8,1,0.209417,1.575449,[ 3 30] ; [11 47],[ 5.07692308 27.92307692] ; [ 8.92307692 49.07692308],0
b2,1,0.215028,1.537246,[15 11] ; [20 27],[12.46575342 13.53424658] ; [22.53424658 24.46575342],0
b3,1,0.215028,1.537246,[15 11] ; [20 27],[12.46575342 13.53424658] ; [22.53424658 24.46575342],0
b4,1,0.21662,1.52662,[25 13] ; [33 29],[22.04 15.96] ; [35.96 26.04],0
s5,1,0.266327,1.235565,[21 15] ; [39 17],[23.47826087 12.52173913] ; [36.52173913 19.47826087],0
s4,1,0.272722,1.203007,[ 3 33] ; [10 52],[ 4.7755102 31.2244898] ; [ 8.2244898 53.7755102],0
p9,1,0.279384,1.170086,[36  1] ; [57  5],[34.75757576  2.24242424] ; [58.24242424  3.75757576],0
n6,1,0.289749,1.120786,[34  4] ; [58  3],[35.31313131  2.68686869] ; [56.68686869  4.31313131],0
p11,1,0.326663,0.962083,[34  4] ; [51 11],[32.3  5.7] ; [52.7  9.3],0
p3,1,0.326887,0.961192,[28 10] ; [50 11],[29.93939394  8.06060606] ; [48.06060606 12.93939394],0
p12,1,0.329406,0.951231,[ 8 29] ; [19 43],[10.09090909 26.90909091] ; [16.90909091 45.09090909],0
a4,1,0.330171,0.948229,[14 24] ; [29 33],[16.34 21.66] ; [26.66 35.34],0
n1,1,0.374857,0.7875,[2 3] ; [10  6],[2.85714286 2.14285714] ; [9.14285714 6.85714286],0
d4,1,0.419015,0.653077,[30  8] ; [52  9],[31.47474747  6.52525253] ; [50.52525253 10.47474747],0
a3,1,0.475426,0.509338,[27 11] ; [48 14],[28.5  9.5] ; [46.5 15.5],0
r3,1,0.53223,0.390131,[35  3] ; [59  3],[35.72  2.28] ; [58.28  3.72],0
a1,1,0.564717,0.331603,[ 4 34] ; [ 9 53],[ 4.94 33.06] ; [ 8.06 53.94],0
n3,1,0.59536,0.282051,[3 3] ; [10  6],[3.54545455 2.45454545] ; [9.45454545 6.54545455],0
v3,1,0.604761,0.267875,[22 14] ; [34 27],[20.78350515 15.21649485] ; [35.21649485 25.78350515],0
a2,1,0.652385,0.202907,[ 6 32] ; [12 50],[ 6.84 31.16] ; [11.16 50.84],0
v1,1,0.693745,0.155061,[24 12] ; [43 18],[24.86597938 11.13402062] ; [42.13402062 18.86597938],0
u3,1,0.742174,0.108225,[7 4] ; [8 6],[6.6 4.4] ; [8.4 5.6],0
a7,1,0.769017,0.086237,[28 10] ; [44 18],[27.36 10.64] ; [44.64 17.36],0
p2,1,0.78028,0.077816,[33  5] ; [55  7],[33.44  4.56] ; [54.56  7.44],0
b1,1,0.783583,0.075434,[17 21] ; [26 36],[16.34 21.66] ; [26.66 35.34],0
r4,1,0.783672,0.075371,[35  3] ; [58  4],[35.34  2.66] ; [57.66  4.34],0
u1,1,0.908021,0.013348,[ 7 31] ; [12 50],[ 7.22 30.78] ; [11.78 50.22],0
n2,1,0.910162,0.012731,[5 1] ; [13  3],[4.90909091 1.09090909] ; [13.09090909  2.90909091],0
p7,1,0.932415,0.007192,[30  8] ; [47 12],[30.16494845  7.83505155] ; [46.83505155 12.16494845],0
