Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,29.222611,[135 106] ; [ 45 113],[108.72180451 132.27819549] ; [71.27819549 86.72180451],1
v2,1,0.0,27.456125,[168  74] ; [65 87],[143.11167513  98.88832487] ; [89.88832487 62.11167513],1
b3,1,1.6e-05,18.621798,[76 83] ; [17 69],[60.35510204 98.64489796] ; [32.64489796 53.35510204],1
b2,1,1.6e-05,18.621798,[76 83] ; [17 69],[60.35510204 98.64489796] ; [32.64489796 53.35510204],1
n5,1,3.1e-05,17.373228,[217  28] ; [115  44],[201.33663366  43.66336634] ; [130.66336634  28.33663366],1
p9,1,5.9e-05,16.145434,[242   4] ; [142  17],[233.24444444  12.75555556] ; [150.75555556   8.24444444],1
d1,1,0.000331,12.888298,[169  77] ; [81 78],[151.85185185  94.14814815] ; [98.14814815 60.85185185],1
p4,1,0.000475,12.213023,[199  46] ; [104  54],[184.20595533  60.79404467] ; [118.79404467  39.20595533],1
a3,1,0.002333,9.267325,[189  55] ; [101  58],[175.58312655  68.41687345] ; [114.41687345  44.58312655],0
s5,1,0.002438,9.186325,[112 125] ; [ 49 105],[ 97.58823529 139.41176471] ; [63.41176471 90.58823529],0
s8,1,0.002525,9.122233,[139 104] ; [66 92],[124.22693267 118.77306733] ; [80.77306733 77.22693267],0
n4,1,0.003622,8.46413,[211  35] ; [118  41],[199.83703704  46.16296296] ; [129.16296296  29.83703704],0
d4,1,0.003823,8.365951,[214  30] ; [122  37],[203.43424318  40.56575682] ; [132.56575682  26.43424318],0
r4,1,0.004942,7.900384,[236  10] ; [141  18],[228.99259259  17.00740741] ; [148.00740741  10.99259259],0
n1,1,0.00525,7.79122,[18 15] ; [ 7 26],[12.5 20.5] ; [12.5 20.5],0
p6,1,0.005872,7.589097,[134 110] ; [65 94],[120.48635236 123.51364764] ; [78.51364764 80.48635236],0
r2,1,0.008211,6.986882,[236   7] ; [143  14],[230.2425  12.7575] ; [148.7575   8.2425],0
p3,1,0.01726,5.669781,[171  74] ; [92 66],[159.88833747  85.11166253] ; [103.11166253  54.88833747],0
d5,1,0.017312,5.664465,[206  38] ; [119  40],[196.77419355  47.22580645] ; [128.22580645  30.77419355],0
a5,1,0.017981,5.598005,[201  45] ; [114  45],[191.33333333  54.66666667] ; [123.66666667  35.33333333],0
p5,1,0.033987,4.495362,[ 53 193] ; [ 21 138],[ 44.94814815 201.05185185] ; [ 29.05185185 129.94814815],0
r1,1,0.04884,3.880831,[211  34] ; [125  34],[203.76237624  41.23762376] ; [132.23762376  26.76237624],0
b5,1,0.055601,3.66397,[143 103] ; [77 82],[133.62962963 112.37037037] ; [86.37037037 72.62962963],0
n6,1,0.062828,3.461119,[221  22] ; [135  24],[215.19402985  27.80597015] ; [140.80597015  18.19402985],0
a2,1,0.065518,3.391896,[ 59 187] ; [ 26 133],[ 51.62962963 194.37037037] ; [ 33.37037037 125.62962963],0
u1,1,0.070755,3.265415,[ 46 200] ; [ 19 140],[ 39.48148148 206.51851852] ; [ 25.51851852 133.48148148],0
r3,1,0.079221,3.08081,[237   9] ; [145  12],[233.18114144  12.81885856] ; [148.81885856   8.18114144],0
a4,1,0.081151,3.041696,[114 131] ; [60 99],[105.51980198 139.48019802] ; [68.48019802 90.51980198],0
s6,1,0.121283,2.400676,[175  63] ; [102  52],[168.17857143  69.82142857] ; [108.82142857  45.17857143],0
u3,1,0.131052,2.28,[36 21] ; [28 29],[32. 25.] ; [32. 25.],0
