Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,9e-06,19.66745,[229  29] ; [35 19],[218.30769231  39.69230769] ; [45.69230769  8.30769231],1
p10,1,1.6e-05,18.640706,[207  48] ; [29 25],[194.75728155  60.24271845] ; [41.24271845 12.75728155],1
p4,1,0.019402,5.464943,[154 103] ; [23 31],[146.26688103 110.73311897] ; [30.73311897 23.26688103],0
p9,1,0.02694,4.894627,[207  47] ; [36 17],[201.04885993  52.95114007] ; [41.95114007 11.04885993],0
p8,1,0.038119,4.299704,[132 119] ; [20 34],[125.08852459 125.91147541] ; [26.91147541 27.08852459],0
s6,1,0.040551,4.194669,[121 134] ; [17 36],[114.25324675 140.74675325] ; [23.74675325 29.25324675],0
d4,1,0.048219,3.90234,[199  60] ; [48  6],[204.38658147  54.61341853] ; [42.61341853 11.38658147],0
v1,1,0.056627,3.633525,[143 113] ; [22 31],[136.69902913 119.30097087] ; [28.30097087 24.69902913],0
n1,1,0.083666,2.992208,[26 34] ; [ 2 10],[23.33333333 36.66666667] ; [4.66666667 7.33333333],0
p7,1,0.109016,2.568434,[153 102] ; [26 28],[147.7184466 107.2815534] ; [31.2815534 22.7184466],0
r3,1,0.119691,2.421355,[231  27] ; [52  2],[234.01923077  23.98076923] ; [48.98076923  5.01923077],0
u1,1,0.126297,2.337438,[ 46 214] ; [ 5 49],[ 42.22929936 217.77070064] ; [ 8.77070064 45.22929936],0
p2,1,0.147593,2.096955,[204  53] ; [38 16],[199.9807074  57.0192926] ; [42.0192926 11.9807074],0
a1,1,0.154956,2.022772,[ 18 242] ; [ 1 53],[ 15.73248408 244.26751592] ; [ 3.26751592 50.73248408],0
s5,1,0.159748,1.976612,[ 63 191] ; [ 8 43],[ 59.12786885 194.87213115] ; [11.87213115 39.12786885],0
p5,1,0.165954,1.919121,[ 31 227] ; [ 3 51],[ 28.11538462 229.88461538] ; [ 5.88461538 48.11538462],0
p12,1,0.226434,1.463121,[ 15 241] ; [ 1 53],[ 13.21290323 242.78709677] ; [ 2.78709677 51.21290323],0
s4,1,0.275754,1.187897,[ 21 233] ; [ 7 47],[ 23.09090909 230.90909091] ; [ 4.90909091 49.09090909],0
b1,1,0.275838,1.187482,[ 95 165] ; [24 30],[ 98.53503185 161.46496815] ; [20.46496815 33.53503185],0
r1,1,0.302947,1.061178,[194  65] ; [44 10],[196.93929712  62.06070288] ; [41.06070288 12.93929712],0
b4,1,0.306455,1.045892,[144 116] ; [34 20],[147.38853503 112.61146497] ; [30.61146497 23.38853503],0
s2,1,0.3091,1.03452,[ 38 220] ; [ 5 48],[ 35.67202572 222.32797428] ; [ 7.32797428 45.67202572],0
n3,1,0.331193,0.944228,[41 18] ; [10  2],[42.38028169 16.61971831] ; [8.61971831 3.38028169],0
v3,1,0.335596,0.927185,[103 151] ; [17 34],[ 99.93442623 154.06557377] ; [20.06557377 30.93442623],0
a2,1,0.365866,0.817657,[ 63 197] ; [10 44],[ 60.44585987 199.55414013] ; [12.55414013 41.44585987],0
d2,1,0.383098,0.760735,[131 126] ; [24 30],[128.08681672 128.91318328] ; [26.91318328 27.08681672],0
p3,1,0.403483,0.69792,[126 132] ; [23 31],[123.21153846 134.78846154] ; [25.78846154 28.21153846],0
u4,1,0.456761,0.553819,[  2 258] ; [ 1 53],[  2.48407643 257.51592357] ; [ 0.51592357 53.48407643],0
a5,1,0.46099,0.54349,[200  60] ; [39 15],[197.89808917  62.10191083] ; [41.10191083 12.89808917],0
a7,1,0.469311,0.523598,[179  80] ; [40 14],[181.2172524  77.7827476] ; [37.7827476 16.2172524],0
n2,1,0.528202,0.397849,[42 20] ; [7 5],[41.05405405 20.94594595] ; [7.94594595 4.05405405],0
r4,1,0.556568,0.345682,[218  42] ; [47  7],[219.42675159  40.57324841] ; [45.57324841  8.42675159],0
a3,1,0.56311,0.334348,[176  82] ; [39 15],[177.78846154  80.21153846] ; [37.21153846 16.78846154],0
u3,1,0.585762,0.297012,[40 44] ; [6 9],[39.03030303 44.96969697] ; [6.96969697 8.03030303],0
b5,1,0.610645,0.259237,[154 106] ; [34 20],[155.66878981 104.33121019] ; [32.33121019 21.66878981],0
v2,1,0.61793,0.248788,[142 109] ; [28 25],[140.36184211 110.63815789] ; [29.63815789 23.36184211],0
d3,1,0.65521,0.199394,[165  95] ; [36 18],[166.43312102  93.56687898] ; [34.56687898 19.43312102],0
d5,1,0.660718,0.192653,[210  50] ; [45  9],[211.14649682  48.85350318] ; [43.85350318 10.14649682],0
v4,1,0.668851,0.182949,[236  24] ; [48  6],[235.15923567  24.84076433] ; [48.84076433  5.15923567],0
s8,1,0.676746,0.173812,[ 69 188] ; [16 38],[ 70.24115756 186.75884244] ; [14.75884244 39.24115756],0
a8,1,0.6837,0.165991,[ 31 194] ; [ 8 42],[ 31.90909091 193.09090909] ; [ 7.09090909 42.90909091],0
b2,1,0.724261,0.124446,[66 95] ; [14 23],[65.05050505 95.94949495] ; [14.94949495 22.05050505],0
b3,1,0.724261,0.124446,[66 95] ; [14 23],[65.05050505 95.94949495] ; [14.94949495 22.05050505],0
a6,1,0.741677,0.108658,[184  76] ; [37 17],[182.99363057  77.00636943] ; [38.00636943 15.99363057],0
p11,1,0.752767,0.099221,[197  63] ; [42 12],[197.89808917  62.10191083] ; [41.10191083 12.89808917],0
u2,1,0.812339,0.056363,[41 41] ; [7 8],[40.57731959 41.42268041] ; [7.42268041 7.57731959],0
s1,1,0.827879,0.047273,[  6 251] ; [ 1 53],[  5.78456592 251.21543408] ; [ 1.21543408 52.78456592],0
a4,1,0.835797,0.042962,[125 133] ; [27 27],[125.69230769 132.30769231] ; [26.30769231 27.69230769],0
r2,1,0.878737,0.023278,[234  23] ; [47  5],[233.71197411  23.28802589] ; [47.28802589  4.71197411],0
s7,1,0.929684,0.007787,[ 71 170] ; [15 37],[ 70.73720137 170.26279863] ; [15.26279863 36.73720137],0
d1,1,0.935756,0.006497,[146 114] ; [30 24],[145.73248408 114.26751592] ; [30.26751592 23.73248408],0
p1,1,0.962912,0.002162,[ 24 236] ; [ 5 48],[ 24.08945687 235.91054313] ; [ 4.91054313 48.08945687],0
p6,1,0.988391,0.000212,[ 86 168] ; [18 35],[ 86.04560261 167.95439739] ; [17.95439739 35.04560261],0
