Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,28.157422,[134  16] ; [16 16],[123.62637363  26.37362637] ; [26.37362637  5.62637363],1
d2,1,1e-06,23.947622,[94 55] ; [ 5 27],[81.49723757 67.50276243] ; [17.50276243 14.49723757],1
d1,1,1e-06,23.341569,[117  34] ; [11 21],[105.61748634  45.38251366] ; [22.38251366  9.61748634],1
n6,1,0.000102,15.101146,[136  11] ; [21 10],[129.65730337  17.34269663] ; [27.34269663  3.65730337],1
a4,1,0.000103,15.087849,[90 61] ; [ 7 25],[80.03825137 70.96174863] ; [16.96174863 15.03825137],1
s8,1,0.002938,8.845403,[106  43] ; [14 18],[98.78453039 50.21546961] ; [21.21546961 10.78453039],0
r2,1,0.005047,7.8624,[147   3] ; [28  4],[144.23076923   5.76923077] ; [30.76923077  1.23076923],0
u1,1,0.007995,7.034628,[ 43 108] ; [ 2 30],[ 37.13114754 113.86885246] ; [ 7.86885246 24.13114754],0
p9,1,0.008162,6.99767,[141   8] ; [25  6],[137.41111111  11.58888889] ; [28.58888889  2.41111111],0
b3,1,0.009749,6.680217,[52 45] ; [ 3 13],[47.21238938 49.78761062] ; [7.78761062 8.21238938],0
b2,1,0.009749,6.680217,[52 45] ; [ 3 13],[47.21238938 49.78761062] ; [7.78761062 8.21238938],0
a7,1,0.014281,6.003102,[109  42] ; [16 16],[103.1420765  47.8579235] ; [21.8579235 10.1420765],0
p10,1,0.038097,4.300691,[138  11] ; [25  6],[134.92777778  14.07222222] ; [28.07222222  2.92777778],0
n5,1,0.042305,4.12297,[128  21] ; [22  9],[124.16666667  24.83333333] ; [25.83333333  5.16666667],0
r4,1,0.053894,3.715973,[145   6] ; [28  4],[142.74863388   8.25136612] ; [30.25136612  1.74863388],0
v2,1,0.064644,3.414044,[103  44] ; [17 15],[98.54748603 48.45251397] ; [21.45251397 10.54748603],0
d4,1,0.065552,3.391019,[140   9] ; [27  5],[137.47513812  11.52486188] ; [29.52486188  2.47513812],0
p11,1,0.069713,3.289756,[125  26] ; [22 10],[121.29508197  29.70491803] ; [25.70491803  6.29508197],0
n4,1,0.087804,2.914183,[126  23] ; [23  9],[122.65745856  26.34254144] ; [26.34254144  5.65745856],0
p3,1,0.094632,2.793759,[96 53] ; [15 16],[91.88333333 57.11666667] ; [19.11666667 11.88333333],0
a6,1,0.109525,2.561061,[97 52] ; [16 16],[93.02209945 55.97790055] ; [19.97790055 12.02209945],0
r1,1,0.14512,2.122812,[131  18] ; [25  7],[128.4198895  20.5801105] ; [27.5801105  4.4198895],0
p7,1,0.147402,2.098937,[116  31] ; [20 10],[112.94915254  34.05084746] ; [23.05084746  6.94915254],0
p2,1,0.219529,1.507445,[128  22] ; [29  2],[130.11049724  19.88950276] ; [26.88950276  4.11049724],0
s2,1,0.234906,1.410906,[121  28] ; [23  9],[118.54143646  30.45856354] ; [25.45856354  6.54143646],0
n1,1,0.236219,1.403017,[13 14] ; [7 3],[14.59459459 12.40540541] ; [5.40540541 4.59459459],0
d3,1,0.257874,1.280136,[113  37] ; [21 11],[110.43956044  39.56043956] ; [23.56043956  8.43956044],0
s3,1,0.268335,1.225241,[109  36] ; [21 11],[106.49717514  38.50282486] ; [23.50282486  8.49717514],0
s6,1,0.289031,1.124129,[131  19] ; [24  6],[129.16666667  20.83333333] ; [25.83333333  4.16666667],0
d5,1,0.296938,1.087894,[135  14] ; [27  5],[133.35911602  15.64088398] ; [28.64088398  3.35911602],0
s7,1,0.339094,0.913853,[99 47] ; [17 12],[96.77714286 49.22285714] ; [19.22285714  9.77714286],0
v3,1,0.341126,0.906194,[79 70] ; [14 18],[76.55801105 72.44198895] ; [16.44198895 15.55801105],0
p6,1,0.3629,0.827831,[80 68] ; [13 16],[77.76271186 70.23728814] ; [15.23728814 13.76271186],0
a8,1,0.375734,0.784614,[ 19 120] ; [ 6 24],[ 20.56213018 118.43786982] ; [ 4.43786982 25.56213018],0
p4,1,0.385548,0.752938,[107  41] ; [20 11],[105.00558659  42.99441341] ; [21.99441341  9.00558659],0
a1,1,0.387855,0.745657,[ 11 140] ; [ 1 31],[  9.90163934 141.09836066] ; [ 2.09836066 29.90163934],0
p12,1,0.41372,0.668086,[ 23 127] ; [ 3 28],[ 21.54696133 128.45303867] ; [ 4.45303867 26.54696133],0
b4,1,0.437299,0.60336,[96 55] ; [18 14],[94.06557377 56.93442623] ; [19.93442623 12.06557377],0
v4,1,0.473578,0.513616,[147   2] ; [31  1],[146.53038674   2.46961326] ; [31.46961326  0.53038674],0
b5,1,0.518849,0.416182,[85 66] ; [20 12],[86.63934426 64.36065574] ; [18.36065574 13.63934426],0
b1,1,0.574365,0.315434,[58 93] ; [14 18],[59.40983607 91.59016393] ; [12.59016393 19.40983607],0
u3,1,0.618698,0.247702,[13  4] ; [11  5],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
n3,1,0.705998,0.142308,[18  9] ; [6 4],[17.51351351  9.48648649] ; [6.48648649 3.51351351],0
s4,1,0.740982,0.109265,[ 33 115] ; [ 8 24],[ 33.71111111 114.28888889] ; [ 7.28888889 24.71111111],0
r3,1,0.820174,0.051675,[145   6] ; [31  1],[145.22404372   5.77595628] ; [30.77595628  1.22404372],0
p1,1,0.822926,0.050079,[ 21 129] ; [ 4 28],[ 20.6043956 129.3956044] ; [ 4.3956044 27.6043956],0
u2,1,0.848698,0.036397,[9 8] ; [9 7],[9.27272727 7.72727273] ; [8.72727273 7.27272727],0
p5,1,0.893669,0.017866,[ 37 113] ; [ 8 23],[ 37.29281768 112.70718232] ; [ 7.70718232 23.29281768],0
p8,1,0.913203,0.011881,[97 51] ; [20 11],[96.73743017 51.26256983] ; [20.26256983 10.73743017],0
n2,1,0.922995,0.009343,[24  3] ; [9 1],[24.08108108  2.91891892] ; [8.91891892 1.08108108],0
