Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.3e-05,17.955906,[19  8] ; [34 90],[ 9.47682119 17.52317881] ; [43.52317881 80.47682119],1
s6,1,0.000274,13.240507,[20  6] ; [47 77],[11.61333333 14.38666667] ; [55.38666667 68.61333333],1
b4,1,0.002244,9.338043,[22  5] ; [61 63],[14.8410596 12.1589404] ; [68.1589404 55.8410596],0
p5,1,0.005254,7.789901,[ 5 21] ; [  5 117],[ 1.75675676 24.24324324] ; [  8.24324324 113.75675676],0
s3,1,0.010113,6.614814,[17 10] ; [44 78],[11.05369128 15.94630872] ; [49.94630872 72.05369128],0
s7,1,0.027965,4.830194,[11 14] ; [27 92],[ 6.59722222 18.40277778] ; [31.40277778 87.59722222],0
s4,1,0.0291,4.76171,[ 9 18] ; [ 19 105],[ 5.00662252 21.99337748] ; [ 22.99337748 101.00662252],0
d4,1,0.03288,4.552011,[22  5] ; [74 50],[17.16556291  9.83443709] ; [78.83443709 45.16556291],0
v4,1,0.043089,4.091912,[24  2] ; [91 32],[20.06711409  5.93288591] ; [94.93288591 28.06711409],0
p2,1,0.098337,2.73231,[20  6] ; [74 50],[16.29333333  9.70666667] ; [77.70666667 46.29333333],0
a6,1,0.11845,2.437692,[11 16] ; [71 53],[14.66225166 12.33774834] ; [67.33774834 56.66225166],0
v1,1,0.139815,2.179991,[12 13] ; [39 81],[ 8.79310345 16.20689655] ; [42.20689655 77.79310345],0
r4,1,0.21042,1.568534,[16 11] ; [57 67],[13.05298013 13.94701987] ; [59.94701987 64.05298013],0
d3,1,0.21042,1.568534,[16 11] ; [57 67],[13.05298013 13.94701987] ; [59.94701987 64.05298013],0
p9,1,0.227069,1.459128,[21  5] ; [82 37],[18.46896552  7.53103448] ; [84.53103448 34.46896552],0
n5,1,0.261558,1.26049,[15 12] ; [83 41],[17.52317881  9.47682119] ; [80.47682119 43.52317881],0
d1,1,0.352673,0.863815,[11 16] ; [39 85],[ 8.94039735 18.05960265] ; [41.05960265 82.94039735],0
d2,1,0.354371,0.857743,[12 15] ; [43 80],[ 9.9 17.1] ; [45.1 77.9],0
n6,1,0.413495,0.668731,[21  6] ; [86 37],[19.26  7.74] ; [87.74 35.26],0
n3,1,0.437373,0.603165,[4 4] ; [29 16],[4.98113208 3.01886792] ; [28.01886792 16.98113208],0
s8,1,0.515921,0.422039,[ 6 21] ; [ 21 103],[ 4.82781457 22.17218543] ; [ 22.17218543 101.82781457],0
p11,1,0.527859,0.398511,[15 12] ; [77 47],[16.45033113 10.54966887] ; [75.54966887 48.45033113],0
n1,1,0.534296,0.386215,[2 6] ; [16 28],[2.76923077 5.23076923] ; [15.23076923 28.76923077],0
a3,1,0.547415,0.361968,[13 13] ; [70 54],[14.38666667 11.61333333] ; [68.61333333 55.38666667],0
a2,1,0.552489,0.352878,[ 2 25] ; [ 14 110],[ 2.86092715 24.13907285] ; [ 13.13907285 110.86092715],0
a4,1,0.553736,0.350666,[ 9 18] ; [34 89],[ 7.74 19.26] ; [35.26 87.74],0
r2,1,0.585871,0.296838,[20  6] ; [86 34],[18.87671233  7.12328767] ; [87.12328767 32.87671233],0
b1,1,0.585908,0.29678,[10 17] ; [53 71],[11.26490066 15.73509934] ; [51.73509934 72.26490066],0
u2,1,0.629651,0.232535,[6 8] ; [19 34],[5.2238806 8.7761194] ; [19.7761194 33.2238806],0
n4,1,0.636266,0.223659,[15 12] ; [75 49],[16.09271523 10.90728477] ; [73.90728477 50.09271523],0
p4,1,0.664407,0.188214,[11 16] ; [45 79],[10.01324503 16.98675497] ; [45.98675497 78.01324503],0
v3,1,0.680607,0.169444,[ 6 19] ; [25 98],[ 5.23648649 19.76351351] ; [25.76351351 97.23648649],0
