Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.01243,6.248521,[92 51] ; [ 8 14],[86.66666667 56.33333333] ; [13.33333333  8.66666667],0
n4,1,0.016892,5.707564,[91 53] ; [ 8 14],[85.87951807 58.12048193] ; [13.12048193  8.87951807],0
p9,1,0.040776,4.185315,[73 66] ; [ 6 15],[68.63125 70.36875] ; [10.36875 10.63125],0
u3,1,0.052668,3.754425,[25 33] ; [7 2],[27.70149254 30.29850746] ; [4.29850746 4.70149254],0
a4,1,0.137141,2.20975,[56 87] ; [ 5 17],[52.86666667 90.13333333] ; [ 8.13333333 13.86666667],0
a2,1,0.177409,1.819195,[ 31 114] ; [ 2 20],[ 28.65269461 116.34730539] ; [ 4.34730539 17.65269461],0
s2,1,0.179919,1.798294,[ 45 100] ; [10 12],[47.75449102 97.24550898] ; [ 7.24550898 14.75449102],0
d5,1,0.188034,1.732957,[96 48] ; [17  4],[98.61818182 45.38181818] ; [14.38181818  6.61818182],0
b4,1,0.234748,1.411861,[79 66] ; [ 9 13],[76.40718563 68.59281437] ; [11.59281437 10.40718563],0
p2,1,0.240313,1.378756,[79 65] ; [15  7],[81.54216867 62.45783133] ; [12.45783133  9.54216867],0
s6,1,0.271632,1.208485,[61 84] ; [12 10],[63.38323353 81.61676647] ; [ 9.61676647 12.38323353],0
n2,1,0.273409,1.199564,[34 24] ; [4 6],[32.41176471 25.58823529] ; [5.58823529 4.41176471],0
b3,1,0.307937,1.039502,[29 51] ; [2 8],[27.55555556 52.44444444] ; [3.44444444 6.55555556],0
b2,1,0.307937,1.039502,[29 51] ; [2 8],[27.55555556 52.44444444] ; [3.44444444 6.55555556],0
d3,1,0.323921,0.973051,[79 64] ; [14  7],[81.09146341 61.90853659] ; [11.90853659  9.09146341],0
s3,1,0.38243,0.762876,[57 85] ; [11 11],[58.87804878 83.12195122] ; [ 9.12195122 12.87804878],0
s8,1,0.400675,0.7063,[ 31 114] ; [ 3 19],[ 29.52095808 115.47904192] ; [ 4.47904192 17.52095808],0
r3,1,0.416382,0.660503,[108  36] ; [14  7],[106.47272727  37.52727273] ; [15.52727273  5.47272727],0
p6,1,0.466501,0.530253,[ 30 112] ; [ 3 18],[ 28.74846626 113.25153374] ; [ 4.25153374 16.74846626],0
p8,1,0.476511,0.506838,[45 98] ; [ 5 16],[43.59756098 99.40243902] ; [ 6.40243902 14.59756098],0
v3,1,0.477243,0.505156,[41 95] ; [ 5 17],[39.59493671 96.40506329] ; [ 6.40506329 15.59493671],0
a1,1,0.485763,0.485897,[ 13 132] ; [ 1 21],[ 12.15568862 132.84431138] ; [ 1.84431138 20.15568862],0
n6,1,0.509293,0.43552,[87 56] ; [15  7],[88.4 54.6] ; [13.6  8.4],0
a5,1,0.523446,0.407098,[83 62] ; [11 11],[81.61676647 63.38323353] ; [12.38323353  9.61676647],0
n1,1,0.535557,0.383837,[23 34] ; [3 7],[22.11940299 34.88059701] ; [3.88059701 6.11940299],0
a7,1,0.537715,0.379791,[93 51] ; [15  6],[94.25454545 49.74545455] ; [13.74545455  7.25454545],0
a6,1,0.541069,0.373562,[82 62] ; [11 11],[80.6746988 63.3253012] ; [12.3253012  9.6746988],0
d4,1,0.552051,0.353656,[100  43] ; [14  8],[98.8 44.2] ; [15.2  6.8],0
p4,1,0.63402,0.226648,[53 90] ; [ 7 15],[52. 91.] ; [ 8. 14.],0
u1,1,0.654661,0.200074,[ 18 127] ; [ 2 20],[ 17.36526946 127.63473054] ; [ 2.63473054 19.36526946],0
v1,1,0.741614,0.108713,[51 93] ; [ 7 15],[50.31325301 93.68674699] ; [ 7.68674699 14.31325301],0
b5,1,0.745122,0.105676,[87 58] ; [14  8],[87.69461078 57.30538922] ; [13.30538922  8.69461078],0
d2,1,0.757383,0.095431,[60 83] ; [10 12],[60.66666667 82.33333333] ; [ 9.33333333 12.66666667],0
b1,1,0.758816,0.094271,[74 71] ; [12 10],[74.67065868 70.32934132] ; [11.32934132 10.67065868],0
v4,1,0.791605,0.069816,[114  29] ; [17  5],[113.53333333  29.46666667] ; [17.46666667  4.53333333],0
p1,1,0.806104,0.060248,[ 11 134] ; [ 2 20],[ 11.28742515 133.71257485] ; [ 1.71257485 20.28742515],0
r2,1,0.807716,0.059231,[118  24] ; [17  4],[117.60736196  24.39263804] ; [17.39263804  3.60736196],0
p10,1,0.812903,0.056019,[57 85] ; [ 9 12],[57.49693252 84.50306748] ; [ 8.50306748 12.49693252],0
u2,1,0.816442,0.053881,[23 34] ; [4 5],[23.31818182 33.68181818] ; [3.68181818 5.31818182],0
r1,1,0.821429,0.050944,[94 49] ; [15  7],[94.46666667 48.53333333] ; [14.53333333  7.46666667],0
n3,1,0.83085,0.04563,[31 24] ; [6 4],[31.30769231 23.69230769] ; [5.69230769 4.30769231],0
d1,1,0.90778,0.013419,[64 81] ; [10 12],[64.25149701 80.74850299] ; [ 9.74850299 12.25149701],0
p3,1,0.921047,0.009824,[44 99] ; [ 7 15],[44.2 98.8] ; [ 6.8 15.2],0
s1,1,0.941116,0.005456,[ 13 131] ; [ 2 19],[ 13.09090909 130.90909091] ; [ 1.90909091 19.09090909],0
