Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,4.5e-05,16.628598,[ 6 67] ; [11 14],[12.66326531 60.33673469] ; [ 4.33673469 20.66326531],1
s2,1,0.000803,11.233748,[15 58] ; [14 11],[21.60204082 51.39795918] ; [ 7.39795918 17.60204082],1
s5,1,0.001393,10.215282,[ 7 66] ; [ 9 15],[12.04123711 60.95876289] ; [ 3.95876289 20.04123711],0
s3,1,0.002502,9.138955,[24 48] ; [17  8],[30.43298969 41.56701031] ; [10.56701031 14.43298969],0
p10,1,0.005431,7.729906,[10 62] ; [10 15],[14.84536082 57.15463918] ; [ 5.15463918 19.84536082],0
p11,1,0.01252,6.235685,[29 45] ; [17  8],[34.38383838 39.61616162] ; [11.61616162 13.38383838],0
p6,1,0.014815,5.938323,[12 61] ; [10 15],[16.3877551 56.6122449] ; [ 5.6122449 19.3877551],0
s6,1,0.01679,5.718169,[24 49] ; [15 10],[29.05102041 43.94897959] ; [ 9.94897959 15.05102041],0
n1,1,0.031305,4.636173,[ 9 16] ; [7 2],[11.76470588 13.23529412] ; [4.23529412 4.76470588],0
p2,1,0.073105,3.211884,[35 39] ; [17  8],[38.86868687 35.13131313] ; [13.13131313 11.86868687],0
v4,1,0.086374,2.940688,[55 18] ; [22  2],[57.94845361 15.05154639] ; [19.05154639  4.94845361],0
p4,1,0.088695,2.897894,[24 49] ; [13 12],[27.56122449 45.43877551] ; [ 9.43877551 15.56122449],0
u1,1,0.093612,2.811132,[ 1 73] ; [ 2 23],[ 2.24242424 71.75757576] ; [ 0.75757576 24.24242424],0
s4,1,0.096817,2.757213,[10 64] ; [ 7 18],[12.70707071 61.29292929] ; [ 4.29292929 20.70707071],0
u2,1,0.113712,2.501861,[16 27] ; [7 4],[18.31481481 24.68518519] ; [4.68518519 6.31481481],0
n2,1,0.139696,2.181302,[17  9] ; [9 1],[18.77777778  7.22222222] ; [7.22222222 2.77777778],0
d3,1,0.148786,2.084656,[21 53] ; [11 14],[23.91919192 50.08080808] ; [ 8.08080808 16.91919192],0
v1,1,0.148786,2.084656,[21 53] ; [11 14],[23.91919192 50.08080808] ; [ 8.08080808 16.91919192],0
d2,1,0.15503,2.022046,[19 55] ; [ 3 22],[16.44444444 57.55555556] ; [ 5.55555556 19.44444444],0
a3,1,0.195981,1.67207,[30 43] ; [14 11],[32.7755102 40.2244898] ; [11.2244898 13.7755102],0
n4,1,0.200122,1.641482,[42 31] ; [18  7],[44.69387755 28.30612245] ; [15.30612245  9.69387755],0
r2,1,0.226812,1.46074,[56 17] ; [22  3],[58.10204082 14.89795918] ; [19.89795918  5.10204082],0
v2,1,0.238715,1.388169,[22 49] ; [11 14],[24.40625 46.59375] ; [ 8.59375 16.40625],0
p5,1,0.251277,1.316188,[ 2 71] ; [ 2 23],[ 2.97959184 70.02040816] ; [ 1.02040816 23.97959184],0
v3,1,0.254648,1.297623,[20 52] ; [10 15],[22.26804124 49.73195876] ; [ 7.73195876 17.26804124],0
a5,1,0.262494,1.255556,[29 45] ; [13 12],[31.39393939 42.60606061] ; [10.60606061 14.39393939],0
s1,1,0.277436,1.179609,[ 6 66] ; [ 4 21],[ 7.42268041 64.57731959] ; [ 2.57731959 22.42268041],0
d5,1,0.323479,0.974826,[33 41] ; [14 11],[35.13131313 38.86868687] ; [11.86868687 13.13131313],0
p7,1,0.356029,0.851852,[36 37] ; [15 10],[37.98979592 35.01020408] ; [13.01020408 11.98979592],0
r4,1,0.373698,0.791331,[46 28] ; [18  7],[47.83838384 26.16161616] ; [16.16161616  8.83838384],0
p3,1,0.413429,0.668919,[23 51] ; [10 15],[24.66666667 49.33333333] ; [ 8.33333333 16.66666667],0
u3,1,0.414687,0.665323,[18 26] ; [6 5],[19.2 24.8] ; [4.8 6.2],0
